Scenario,Features,Model,balanced_accuracy,sensitivity,specificity,f1_score,AUC,accuracy,precision,Model_Class,Hyperparams,Estimator,Estimator_Class,Estimator_Hyperparams,fit_time,train_balanced_accuracy,train_sensitivity,train_specificity,train_f1_score,train_AUC,train_accuracy,train_precision
Ensemble_Imbalance,without_Diagnosis_Delay,Balanced Random Forest,0.82,0.89,0.74,0.47,0.88,0.76,0.32,BalancedRandomForestClassifier,"{'criterion':'gini','max_depth':5,'n_estimators':19,'random_state':42,'replacement':False,'sampling_strategy':'all','warm_start':True}",,,,0.01,0.78,0.78,0.78,0.48,0.85,0.78,0.35
Ensemble_Imbalance,without_Diagnosis_Delay,Balanced Random Forest,0.82,0.89,0.74,0.47,0.88,0.76,0.32,BalancedRandomForestClassifier,"{'criterion':'gini','max_depth':5,'n_estimators':19,'random_state':42,'replacement':False,'sampling_strategy':'all','warm_start':False}",,,,0.01,0.78,0.78,0.78,0.48,0.85,0.78,0.35
Ensemble_Imbalance,without_Diagnosis_Delay,Balanced Random Forest,0.82,0.89,0.76,0.48,0.89,0.77,0.33,BalancedRandomForestClassifier,"{'criterion':'gini','max_depth':5,'n_estimators':25,'random_state':42,'replacement':False,'sampling_strategy':'all','warm_start':True}",,,,0.01,0.78,0.78,0.78,0.48,0.85,0.78,0.35
Ensemble_Imbalance,without_Diagnosis_Delay,Balanced Random Forest,0.82,0.89,0.76,0.48,0.89,0.77,0.33,BalancedRandomForestClassifier,"{'criterion':'gini','max_depth':5,'n_estimators':25,'random_state':42,'replacement':False,'sampling_strategy':'all','warm_start':False}",,,,0.01,0.78,0.78,0.78,0.48,0.85,0.78,0.35
Ensemble_Imbalance,without_Diagnosis_Delay,Balanced Random Forest,0.82,0.87,0.76,0.48,0.87,0.77,0.33,BalancedRandomForestClassifier,"{'criterion':'gini','max_depth':10,'n_estimators':51,'random_state':42,'replacement':False,'sampling_strategy':'all','warm_start':False}",,,,0.01,0.78,0.79,0.77,0.47,0.85,0.77,0.34
Ensemble_Imbalance,without_Diagnosis_Delay,Balanced Random Forest,0.82,0.87,0.76,0.48,0.87,0.77,0.33,BalancedRandomForestClassifier,"{'criterion':'gini','max_depth':10,'n_estimators':51,'random_state':42,'replacement':False,'sampling_strategy':'all','warm_start':True}",,,,0.01,0.78,0.79,0.77,0.47,0.85,0.77,0.34
Ensemble_Imbalance,without_Diagnosis_Delay,Balanced Random Forest,0.81,0.85,0.77,0.48,0.89,0.78,0.33,BalancedRandomForestClassifier,"{'criterion':'entropy','max_depth':7,'n_estimators':51,'random_state':42,'replacement':False,'sampling_strategy':'auto','warm_start':True}",,,,0.01,0.78,0.77,0.79,0.48,0.85,0.79,0.35
Ensemble_Imbalance,without_Diagnosis_Delay,Balanced Random Forest,0.81,0.85,0.77,0.48,0.89,0.78,0.33,BalancedRandomForestClassifier,"{'criterion':'entropy','max_depth':7,'n_estimators':51,'random_state':42,'replacement':False,'sampling_strategy':'majority','warm_start':True}",,,,0.01,0.78,0.77,0.79,0.48,0.85,0.79,0.35
Ensemble_Imbalance,without_Diagnosis_Delay,Balanced Random Forest,0.81,0.85,0.77,0.48,0.89,0.78,0.33,BalancedRandomForestClassifier,"{'criterion':'entropy','max_depth':7,'n_estimators':51,'random_state':42,'replacement':False,'sampling_strategy':'auto','warm_start':False}",,,,0.01,0.78,0.77,0.79,0.48,0.85,0.79,0.35
Ensemble_Imbalance,without_Diagnosis_Delay,Balanced Random Forest,0.81,0.85,0.77,0.48,0.89,0.78,0.33,BalancedRandomForestClassifier,"{'criterion':'entropy','max_depth':7,'n_estimators':51,'random_state':42,'replacement':False,'sampling_strategy':'majority','warm_start':False}",,,,0.01,0.78,0.77,0.79,0.48,0.85,0.79,0.35
