Scenario,Features,Model,balanced_accuracy,sensitivity,specificity,f1_score,AUC,accuracy,precision,Model_Class,Hyperparams,Estimator,Estimator_Class,Estimator_Hyperparams,fit_time,train_balanced_accuracy,train_sensitivity,train_specificity,train_f1_score,train_AUC,train_accuracy,train_precision
Ensemble_Imbalance,without_Diagnosis_Delay,Balanced Bagging,0.85,0.87,0.82,0.54,0.88,0.82,0.39,BalancedBaggingClassifier,"{'estimator':DecisionTreeClassifier(class_weight='balanced',criterion='entropy',max_depth=7,random_state=42),'n_estimators':19,'random_state':42,'replacement':True,'sampling_strategy':'all','warm_start':False}",Decision Tree,DecisionTreeClassifier,"{'ccp_alpha':0.0,'class_weight':'balanced','criterion':'entropy','max_depth':7,'max_features':None,'max_leaf_nodes':None,'min_impurity_decrease':0.0,'min_samples_leaf':1,'min_samples_split':2,'min_weight_fraction_leaf':0.0,'random_state':42,'splitter':'best'}",0.01,0.75,0.66,0.84,0.49,0.84,0.82,0.39
Ensemble_Imbalance,without_Diagnosis_Delay,Balanced Bagging,0.85,0.87,0.82,0.54,0.88,0.82,0.39,BalancedBaggingClassifier,"{'estimator':DecisionTreeClassifier(class_weight='balanced',criterion='entropy',max_depth=7,random_state=42),'n_estimators':19,'random_state':42,'replacement':True,'sampling_strategy':'all','warm_start':True}",Decision Tree,DecisionTreeClassifier,"{'ccp_alpha':0.0,'class_weight':'balanced','criterion':'entropy','max_depth':7,'max_features':None,'max_leaf_nodes':None,'min_impurity_decrease':0.0,'min_samples_leaf':1,'min_samples_split':2,'min_weight_fraction_leaf':0.0,'random_state':42,'splitter':'best'}",0.01,0.75,0.66,0.84,0.49,0.84,0.82,0.39
Ensemble_Imbalance,without_Diagnosis_Delay,Balanced Bagging,0.84,0.89,0.79,0.52,0.89,0.8,0.36,BalancedBaggingClassifier,"{'estimator':DecisionTreeClassifier(class_weight='balanced',criterion='entropy',max_depth=5,random_state=42),'n_estimators':25,'random_state':42,'replacement':True,'sampling_strategy':'all','warm_start':False}",Decision Tree,DecisionTreeClassifier,"{'ccp_alpha':0.0,'class_weight':'balanced','criterion':'entropy','max_depth':5,'max_features':None,'max_leaf_nodes':None,'min_impurity_decrease':0.0,'min_samples_leaf':1,'min_samples_split':2,'min_weight_fraction_leaf':0.0,'random_state':42,'splitter':'best'}",0.01,0.77,0.7,0.83,0.49,0.85,0.81,0.38
Ensemble_Imbalance,without_Diagnosis_Delay,Balanced Bagging,0.84,0.89,0.79,0.52,0.89,0.8,0.36,BalancedBaggingClassifier,"{'estimator':DecisionTreeClassifier(class_weight='balanced',criterion='entropy',max_depth=5,random_state=42),'n_estimators':25,'random_state':42,'replacement':True,'sampling_strategy':'all','warm_start':True}",Decision Tree,DecisionTreeClassifier,"{'ccp_alpha':0.0,'class_weight':'balanced','criterion':'entropy','max_depth':5,'max_features':None,'max_leaf_nodes':None,'min_impurity_decrease':0.0,'min_samples_leaf':1,'min_samples_split':2,'min_weight_fraction_leaf':0.0,'random_state':42,'splitter':'best'}",0.01,0.77,0.7,0.83,0.49,0.85,0.81,0.38
Ensemble_Imbalance,without_Diagnosis_Delay,Balanced Bagging,0.84,0.89,0.79,0.52,0.89,0.8,0.37,BalancedBaggingClassifier,"{'estimator':DecisionTreeClassifier(class_weight='balanced',criterion='entropy',max_depth=5,random_state=42),'n_estimators':31,'random_state':42,'replacement':True,'sampling_strategy':'all','warm_start':True}",Decision Tree,DecisionTreeClassifier,"{'ccp_alpha':0.0,'class_weight':'balanced','criterion':'entropy','max_depth':5,'max_features':None,'max_leaf_nodes':None,'min_impurity_decrease':0.0,'min_samples_leaf':1,'min_samples_split':2,'min_weight_fraction_leaf':0.0,'random_state':42,'splitter':'best'}",0.01,0.76,0.7,0.83,0.49,0.85,0.81,0.38
Ensemble_Imbalance,without_Diagnosis_Delay,Balanced Bagging,0.84,0.89,0.79,0.52,0.89,0.8,0.37,BalancedBaggingClassifier,"{'estimator':DecisionTreeClassifier(class_weight='balanced',criterion='entropy',max_depth=5,random_state=42),'n_estimators':31,'random_state':42,'replacement':True,'sampling_strategy':'all','warm_start':False}",Decision Tree,DecisionTreeClassifier,"{'ccp_alpha':0.0,'class_weight':'balanced','criterion':'entropy','max_depth':5,'max_features':None,'max_leaf_nodes':None,'min_impurity_decrease':0.0,'min_samples_leaf':1,'min_samples_split':2,'min_weight_fraction_leaf':0.0,'random_state':42,'splitter':'best'}",0.01,0.76,0.7,0.83,0.49,0.85,0.81,0.38
Ensemble_Imbalance,without_Diagnosis_Delay,Balanced Bagging,0.84,0.89,0.79,0.52,0.89,0.8,0.37,BalancedBaggingClassifier,"{'estimator':DecisionTreeClassifier(class_weight='balanced',criterion='entropy',max_depth=5,random_state=42),'n_estimators':51,'random_state':42,'replacement':True,'sampling_strategy':'all','warm_start':True}",Decision Tree,DecisionTreeClassifier,"{'ccp_alpha':0.0,'class_weight':'balanced','criterion':'entropy','max_depth':5,'max_features':None,'max_leaf_nodes':None,'min_impurity_decrease':0.0,'min_samples_leaf':1,'min_samples_split':2,'min_weight_fraction_leaf':0.0,'random_state':42,'splitter':'best'}",0.02,0.77,0.71,0.84,0.5,0.85,0.82,0.39
Ensemble_Imbalance,without_Diagnosis_Delay,Balanced Bagging,0.84,0.89,0.79,0.52,0.89,0.8,0.37,BalancedBaggingClassifier,"{'estimator':DecisionTreeClassifier(class_weight='balanced',criterion='entropy',max_depth=5,random_state=42),'n_estimators':51,'random_state':42,'replacement':True,'sampling_strategy':'all','warm_start':False}",Decision Tree,DecisionTreeClassifier,"{'ccp_alpha':0.0,'class_weight':'balanced','criterion':'entropy','max_depth':5,'max_features':None,'max_leaf_nodes':None,'min_impurity_decrease':0.0,'min_samples_leaf':1,'min_samples_split':2,'min_weight_fraction_leaf':0.0,'random_state':42,'splitter':'best'}",0.02,0.77,0.71,0.84,0.5,0.85,0.82,0.39
Ensemble_Imbalance,without_Diagnosis_Delay,Balanced Bagging,0.84,0.89,0.78,0.51,0.88,0.8,0.36,BalancedBaggingClassifier,"{'estimator':DecisionTreeClassifier(class_weight='balanced',max_depth=5,random_state=42),'n_estimators':25,'random_state':42,'replacement':True,'sampling_strategy':'all','warm_start':False}",Decision Tree,DecisionTreeClassifier,"{'ccp_alpha':0.0,'class_weight':'balanced','criterion':'gini','max_depth':5,'max_features':None,'max_leaf_nodes':None,'min_impurity_decrease':0.0,'min_samples_leaf':1,'min_samples_split':2,'min_weight_fraction_leaf':0.0,'random_state':42,'splitter':'best'}",0.01,0.77,0.71,0.84,0.51,0.85,0.82,0.39
Ensemble_Imbalance,without_Diagnosis_Delay,Balanced Bagging,0.84,0.89,0.78,0.51,0.88,0.8,0.36,BalancedBaggingClassifier,"{'estimator':DecisionTreeClassifier(class_weight='balanced',max_depth=5,random_state=42),'n_estimators':25,'random_state':42,'replacement':True,'sampling_strategy':'all','warm_start':True}",Decision Tree,DecisionTreeClassifier,"{'ccp_alpha':0.0,'class_weight':'balanced','criterion':'gini','max_depth':5,'max_features':None,'max_leaf_nodes':None,'min_impurity_decrease':0.0,'min_samples_leaf':1,'min_samples_split':2,'min_weight_fraction_leaf':0.0,'random_state':42,'splitter':'best'}",0.01,0.77,0.71,0.84,0.51,0.85,0.82,0.39
Ensemble_Imbalance,without_Diagnosis_Delay,Balanced Bagging,0.84,0.89,0.78,0.51,0.88,0.79,0.35,BalancedBaggingClassifier,"{'estimator':DecisionTreeClassifier(class_weight='balanced',criterion='entropy',max_depth=5,random_state=42),'n_estimators':11,'random_state':42,'replacement':True,'sampling_strategy':'all','warm_start':False}",Decision Tree,DecisionTreeClassifier,"{'ccp_alpha':0.0,'class_weight':'balanced','criterion':'entropy','max_depth':5,'max_features':None,'max_leaf_nodes':None,'min_impurity_decrease':0.0,'min_samples_leaf':1,'min_samples_split':2,'min_weight_fraction_leaf':0.0,'random_state':42,'splitter':'best'}",0.01,0.76,0.68,0.83,0.48,0.84,0.81,0.38
Ensemble_Imbalance,without_Diagnosis_Delay,Balanced Bagging,0.84,0.89,0.78,0.51,0.88,0.79,0.35,BalancedBaggingClassifier,"{'estimator':DecisionTreeClassifier(class_weight='balanced',criterion='entropy',max_depth=5,random_state=42),'n_estimators':11,'random_state':42,'replacement':True,'sampling_strategy':'all','warm_start':True}",Decision Tree,DecisionTreeClassifier,"{'ccp_alpha':0.0,'class_weight':'balanced','criterion':'entropy','max_depth':5,'max_features':None,'max_leaf_nodes':None,'min_impurity_decrease':0.0,'min_samples_leaf':1,'min_samples_split':2,'min_weight_fraction_leaf':0.0,'random_state':42,'splitter':'best'}",0.01,0.76,0.68,0.83,0.48,0.84,0.81,0.38
Ensemble_Imbalance,without_Diagnosis_Delay,Balanced Bagging,0.84,0.89,0.78,0.51,0.88,0.79,0.35,BalancedBaggingClassifier,"{'estimator':DecisionTreeClassifier(class_weight='balanced',max_depth=5,random_state=42),'n_estimators':51,'random_state':42,'replacement':True,'sampling_strategy':'majority','warm_start':True}",Decision Tree,DecisionTreeClassifier,"{'ccp_alpha':0.0,'class_weight':'balanced','criterion':'gini','max_depth':5,'max_features':None,'max_leaf_nodes':None,'min_impurity_decrease':0.0,'min_samples_leaf':1,'min_samples_split':2,'min_weight_fraction_leaf':0.0,'random_state':42,'splitter':'best'}",0.02,0.78,0.74,0.81,0.49,0.85,0.8,0.37
Ensemble_Imbalance,without_Diagnosis_Delay,Balanced Bagging,0.84,0.89,0.78,0.51,0.88,0.79,0.35,BalancedBaggingClassifier,"{'estimator':DecisionTreeClassifier(class_weight='balanced',max_depth=5,random_state=42),'n_estimators':51,'random_state':42,'replacement':True,'sampling_strategy':'auto','warm_start':False}",Decision Tree,DecisionTreeClassifier,"{'ccp_alpha':0.0,'class_weight':'balanced','criterion':'gini','max_depth':5,'max_features':None,'max_leaf_nodes':None,'min_impurity_decrease':0.0,'min_samples_leaf':1,'min_samples_split':2,'min_weight_fraction_leaf':0.0,'random_state':42,'splitter':'best'}",0.02,0.78,0.74,0.81,0.49,0.85,0.8,0.37
Ensemble_Imbalance,without_Diagnosis_Delay,Balanced Bagging,0.84,0.89,0.78,0.51,0.88,0.79,0.35,BalancedBaggingClassifier,"{'estimator':DecisionTreeClassifier(class_weight='balanced',max_depth=5,random_state=42),'n_estimators':51,'random_state':42,'replacement':True,'sampling_strategy':'auto','warm_start':True}",Decision Tree,DecisionTreeClassifier,"{'ccp_alpha':0.0,'class_weight':'balanced','criterion':'gini','max_depth':5,'max_features':None,'max_leaf_nodes':None,'min_impurity_decrease':0.0,'min_samples_leaf':1,'min_samples_split':2,'min_weight_fraction_leaf':0.0,'random_state':42,'splitter':'best'}",0.02,0.78,0.74,0.81,0.49,0.85,0.8,0.37
Ensemble_Imbalance,without_Diagnosis_Delay,Balanced Bagging,0.84,0.89,0.78,0.51,0.88,0.79,0.35,BalancedBaggingClassifier,"{'estimator':DecisionTreeClassifier(class_weight='balanced',max_depth=5,random_state=42),'n_estimators':51,'random_state':42,'replacement':True,'sampling_strategy':'majority','warm_start':False}",Decision Tree,DecisionTreeClassifier,"{'ccp_alpha':0.0,'class_weight':'balanced','criterion':'gini','max_depth':5,'max_features':None,'max_leaf_nodes':None,'min_impurity_decrease':0.0,'min_samples_leaf':1,'min_samples_split':2,'min_weight_fraction_leaf':0.0,'random_state':42,'splitter':'best'}",0.02,0.78,0.74,0.81,0.49,0.85,0.8,0.37
Ensemble_Imbalance,without_Diagnosis_Delay,Balanced Bagging,0.83,0.89,0.78,0.5,0.88,0.79,0.35,BalancedBaggingClassifier,"{'estimator':DecisionTreeClassifier(class_weight='balanced',max_depth=5,random_state=42),'n_estimators':31,'random_state':42,'replacement':True,'sampling_strategy':'all','warm_start':False}",Decision Tree,DecisionTreeClassifier,"{'ccp_alpha':0.0,'class_weight':'balanced','criterion':'gini','max_depth':5,'max_features':None,'max_leaf_nodes':None,'min_impurity_decrease':0.0,'min_samples_leaf':1,'min_samples_split':2,'min_weight_fraction_leaf':0.0,'random_state':42,'splitter':'best'}",0.01,0.77,0.71,0.84,0.51,0.85,0.82,0.4
Ensemble_Imbalance,without_Diagnosis_Delay,Balanced Bagging,0.83,0.89,0.78,0.5,0.88,0.79,0.35,BalancedBaggingClassifier,"{'estimator':DecisionTreeClassifier(class_weight='balanced',max_depth=5,random_state=42),'n_estimators':31,'random_state':42,'replacement':True,'sampling_strategy':'all','warm_start':True}",Decision Tree,DecisionTreeClassifier,"{'ccp_alpha':0.0,'class_weight':'balanced','criterion':'gini','max_depth':5,'max_features':None,'max_leaf_nodes':None,'min_impurity_decrease':0.0,'min_samples_leaf':1,'min_samples_split':2,'min_weight_fraction_leaf':0.0,'random_state':42,'splitter':'best'}",0.01,0.77,0.71,0.84,0.51,0.85,0.82,0.4
Ensemble_Imbalance,without_Diagnosis_Delay,Balanced Bagging,0.83,0.89,0.77,0.5,0.88,0.78,0.34,BalancedBaggingClassifier,"{'estimator':DecisionTreeClassifier(class_weight='balanced',max_depth=4,random_state=42),'n_estimators':15,'random_state':42,'replacement':True,'sampling_strategy':'all','warm_start':True}",Decision Tree,DecisionTreeClassifier,"{'ccp_alpha':0.0,'class_weight':'balanced','criterion':'gini','max_depth':4,'max_features':None,'max_leaf_nodes':None,'min_impurity_decrease':0.0,'min_samples_leaf':1,'min_samples_split':2,'min_weight_fraction_leaf':0.0,'random_state':42,'splitter':'best'}",0.01,0.77,0.72,0.82,0.49,0.84,0.8,0.37
Ensemble_Imbalance,without_Diagnosis_Delay,Balanced Bagging,0.83,0.89,0.77,0.5,0.88,0.78,0.34,BalancedBaggingClassifier,"{'estimator':DecisionTreeClassifier(class_weight='balanced',max_depth=4,random_state=42),'n_estimators':15,'random_state':42,'replacement':True,'sampling_strategy':'all','warm_start':False}",Decision Tree,DecisionTreeClassifier,"{'ccp_alpha':0.0,'class_weight':'balanced','criterion':'gini','max_depth':4,'max_features':None,'max_leaf_nodes':None,'min_impurity_decrease':0.0,'min_samples_leaf':1,'min_samples_split':2,'min_weight_fraction_leaf':0.0,'random_state':42,'splitter':'best'}",0.01,0.77,0.72,0.82,0.49,0.84,0.8,0.37
Ensemble_Imbalance,without_Diagnosis_Delay,Balanced Bagging,0.83,0.89,0.77,0.5,0.88,0.78,0.34,BalancedBaggingClassifier,"{'estimator':DecisionTreeClassifier(class_weight='balanced',max_depth=4,random_state=42),'n_estimators':19,'random_state':42,'replacement':True,'sampling_strategy':'all','warm_start':False}",Decision Tree,DecisionTreeClassifier,"{'ccp_alpha':0.0,'class_weight':'balanced','criterion':'gini','max_depth':4,'max_features':None,'max_leaf_nodes':None,'min_impurity_decrease':0.0,'min_samples_leaf':1,'min_samples_split':2,'min_weight_fraction_leaf':0.0,'random_state':42,'splitter':'best'}",0.01,0.76,0.7,0.82,0.48,0.85,0.81,0.37
Ensemble_Imbalance,without_Diagnosis_Delay,Balanced Bagging,0.83,0.89,0.77,0.5,0.88,0.78,0.34,BalancedBaggingClassifier,"{'estimator':DecisionTreeClassifier(class_weight='balanced',max_depth=4,random_state=42),'n_estimators':19,'random_state':42,'replacement':True,'sampling_strategy':'all','warm_start':True}",Decision Tree,DecisionTreeClassifier,"{'ccp_alpha':0.0,'class_weight':'balanced','criterion':'gini','max_depth':4,'max_features':None,'max_leaf_nodes':None,'min_impurity_decrease':0.0,'min_samples_leaf':1,'min_samples_split':2,'min_weight_fraction_leaf':0.0,'random_state':42,'splitter':'best'}",0.01,0.76,0.7,0.82,0.48,0.85,0.81,0.37
Ensemble_Imbalance,without_Diagnosis_Delay,Balanced Bagging,0.83,0.89,0.77,0.5,0.88,0.79,0.35,BalancedBaggingClassifier,"{'estimator':DecisionTreeClassifier(class_weight='balanced',max_depth=4,random_state=42),'n_estimators':11,'random_state':42,'replacement':True,'sampling_strategy':'all','warm_start':True}",Decision Tree,DecisionTreeClassifier,"{'ccp_alpha':0.0,'class_weight':'balanced','criterion':'gini','max_depth':4,'max_features':None,'max_leaf_nodes':None,'min_impurity_decrease':0.0,'min_samples_leaf':1,'min_samples_split':2,'min_weight_fraction_leaf':0.0,'random_state':42,'splitter':'best'}",0.01,0.76,0.7,0.82,0.48,0.84,0.8,0.37
