Scenario,Features,Model,balanced_accuracy,sensitivity,specificity,f1_score,AUC,accuracy,precision,Model_Class,Hyperparams,Estimator,Estimator_Class,Estimator_Hyperparams,fit_time,train_balanced_accuracy,train_sensitivity,train_specificity,train_f1_score,train_AUC,train_accuracy,train_precision
Ensemble_Imbalance,without_Diagnosis_Delay,Balanced Bagging,0.85,0.91,0.79,0.53,0.89,0.8,0.37,BalancedBaggingClassifier,"{'estimator':SVC(C=0.5,class_weight='balanced',gamma='auto',kernel='linear',probability=True,random_state=42),'n_estimators':31,'random_state':42,'replacement':True,'sampling_strategy':'all','warm_start':False}",SVM,SVC,"{'C':0.5,'break_ties':False,'cache_size':200,'class_weight':'balanced','coef0':0.0,'decision_function_shape':'ovr','degree':3,'gamma':'auto','kernel':'linear','max_iter':-1,'probability':True,'random_state':42,'shrinking':True,'tol':0.001,'verbose':False}",0.14,0.79,0.77,0.82,0.51,0.86,0.81,0.39
Ensemble_Imbalance,without_Diagnosis_Delay,Balanced Bagging,0.85,0.91,0.79,0.53,0.89,0.8,0.37,BalancedBaggingClassifier,"{'estimator':SVC(C=0.5,class_weight='balanced',gamma='auto',kernel='linear',probability=True,random_state=42),'n_estimators':31,'random_state':42,'replacement':True,'sampling_strategy':'all','warm_start':True}",SVM,SVC,"{'C':0.5,'break_ties':False,'cache_size':200,'class_weight':'balanced','coef0':0.0,'decision_function_shape':'ovr','degree':3,'gamma':'auto','kernel':'linear','max_iter':-1,'probability':True,'random_state':42,'shrinking':True,'tol':0.001,'verbose':False}",0.14,0.79,0.77,0.82,0.51,0.86,0.81,0.39
Ensemble_Imbalance,without_Diagnosis_Delay,Balanced Bagging,0.85,0.91,0.79,0.53,0.89,0.8,0.37,BalancedBaggingClassifier,"{'estimator':SVC(C=0.5,class_weight='balanced',kernel='linear',probability=True,random_state=42),'n_estimators':31,'random_state':42,'replacement':True,'sampling_strategy':'all','warm_start':False}",SVM,SVC,"{'C':0.5,'break_ties':False,'cache_size':200,'class_weight':'balanced','coef0':0.0,'decision_function_shape':'ovr','degree':3,'gamma':'scale','kernel':'linear','max_iter':-1,'probability':True,'random_state':42,'shrinking':True,'tol':0.001,'verbose':False}",0.14,0.79,0.77,0.82,0.51,0.86,0.81,0.39
Ensemble_Imbalance,without_Diagnosis_Delay,Balanced Bagging,0.85,0.91,0.79,0.53,0.89,0.8,0.37,BalancedBaggingClassifier,"{'estimator':SVC(C=0.5,class_weight='balanced',kernel='linear',probability=True,random_state=42),'n_estimators':31,'random_state':42,'replacement':True,'sampling_strategy':'all','warm_start':True}",SVM,SVC,"{'C':0.5,'break_ties':False,'cache_size':200,'class_weight':'balanced','coef0':0.0,'decision_function_shape':'ovr','degree':3,'gamma':'scale','kernel':'linear','max_iter':-1,'probability':True,'random_state':42,'shrinking':True,'tol':0.001,'verbose':False}",0.14,0.79,0.77,0.82,0.51,0.86,0.81,0.39
Ensemble_Imbalance,without_Diagnosis_Delay,Balanced Bagging,0.85,0.91,0.78,0.51,0.89,0.79,0.36,BalancedBaggingClassifier,"{'estimator':SVC(C=0.5,class_weight='balanced',kernel='linear',probability=True,random_state=42),'n_estimators':11,'random_state':42,'replacement':False,'sampling_strategy':'all','warm_start':True}",SVM,SVC,"{'C':0.5,'break_ties':False,'cache_size':200,'class_weight':'balanced','coef0':0.0,'decision_function_shape':'ovr','degree':3,'gamma':'scale','kernel':'linear','max_iter':-1,'probability':True,'random_state':42,'shrinking':True,'tol':0.001,'verbose':False}",0.06,0.8,0.8,0.81,0.51,0.86,0.81,0.38
Ensemble_Imbalance,without_Diagnosis_Delay,Balanced Bagging,0.85,0.91,0.78,0.51,0.89,0.79,0.36,BalancedBaggingClassifier,"{'estimator':SVC(C=0.5,class_weight='balanced',kernel='linear',probability=True,random_state=42),'n_estimators':11,'random_state':42,'replacement':False,'sampling_strategy':'all','warm_start':False}",SVM,SVC,"{'C':0.5,'break_ties':False,'cache_size':200,'class_weight':'balanced','coef0':0.0,'decision_function_shape':'ovr','degree':3,'gamma':'scale','kernel':'linear','max_iter':-1,'probability':True,'random_state':42,'shrinking':True,'tol':0.001,'verbose':False}",0.06,0.8,0.8,0.81,0.51,0.86,0.81,0.38
Ensemble_Imbalance,without_Diagnosis_Delay,Balanced Bagging,0.85,0.91,0.78,0.51,0.89,0.79,0.36,BalancedBaggingClassifier,"{'estimator':SVC(C=0.5,class_weight='balanced',gamma='auto',kernel='linear',probability=True,random_state=42),'n_estimators':11,'random_state':42,'replacement':False,'sampling_strategy':'all','warm_start':False}",SVM,SVC,"{'C':0.5,'break_ties':False,'cache_size':200,'class_weight':'balanced','coef0':0.0,'decision_function_shape':'ovr','degree':3,'gamma':'auto','kernel':'linear','max_iter':-1,'probability':True,'random_state':42,'shrinking':True,'tol':0.001,'verbose':False}",0.06,0.8,0.8,0.81,0.51,0.86,0.81,0.38
Ensemble_Imbalance,without_Diagnosis_Delay,Balanced Bagging,0.85,0.91,0.78,0.51,0.89,0.79,0.36,BalancedBaggingClassifier,"{'estimator':SVC(C=0.5,class_weight='balanced',gamma='auto',kernel='linear',probability=True,random_state=42),'n_estimators':11,'random_state':42,'replacement':False,'sampling_strategy':'all','warm_start':True}",SVM,SVC,"{'C':0.5,'break_ties':False,'cache_size':200,'class_weight':'balanced','coef0':0.0,'decision_function_shape':'ovr','degree':3,'gamma':'auto','kernel':'linear','max_iter':-1,'probability':True,'random_state':42,'shrinking':True,'tol':0.001,'verbose':False}",0.06,0.8,0.8,0.81,0.51,0.86,0.81,0.38
Ensemble_Imbalance,without_Diagnosis_Delay,Balanced Bagging,0.85,0.91,0.78,0.51,0.89,0.79,0.36,BalancedBaggingClassifier,"{'estimator':SVC(C=0.5,class_weight='balanced',gamma='auto',kernel='linear',probability=True,random_state=42),'n_estimators':11,'random_state':42,'replacement':False,'sampling_strategy':'majority','warm_start':True}",SVM,SVC,"{'C':0.5,'break_ties':False,'cache_size':200,'class_weight':'balanced','coef0':0.0,'decision_function_shape':'ovr','degree':3,'gamma':'auto','kernel':'linear','max_iter':-1,'probability':True,'random_state':42,'shrinking':True,'tol':0.001,'verbose':False}",0.06,0.8,0.8,0.81,0.51,0.86,0.8,0.38
Ensemble_Imbalance,without_Diagnosis_Delay,Balanced Bagging,0.85,0.91,0.78,0.51,0.89,0.79,0.36,BalancedBaggingClassifier,"{'estimator':SVC(C=0.5,class_weight='balanced',gamma='auto',kernel='linear',probability=True,random_state=42),'n_estimators':11,'random_state':42,'replacement':False,'sampling_strategy':'majority','warm_start':False}",SVM,SVC,"{'C':0.5,'break_ties':False,'cache_size':200,'class_weight':'balanced','coef0':0.0,'decision_function_shape':'ovr','degree':3,'gamma':'auto','kernel':'linear','max_iter':-1,'probability':True,'random_state':42,'shrinking':True,'tol':0.001,'verbose':False}",0.06,0.8,0.8,0.81,0.51,0.86,0.8,0.38
