Scenario,Features,Model,balanced_accuracy,sensitivity,specificity,f1_score,AUC,accuracy,precision,Model_Class,Hyperparams,Estimator,Estimator_Class,Estimator_Hyperparams,fit_time,train_balanced_accuracy,train_sensitivity,train_specificity,train_f1_score,train_AUC,train_accuracy,train_precision
Single_Model,without_Diagnosis_Delay,SVM,0.68,0.4,0.95,0.46,0.8,0.89,0.54,SVC,"{'C':5,'class_weight':None,'gamma':'scale','kernel':'rbf','probability':True,'random_state':42}",,,,0.03,0.66,0.34,0.97,0.44,0.78,0.89,0.64
Single_Model,without_Diagnosis_Delay,SVM,0.66,0.36,0.96,0.44,0.82,0.89,0.55,SVC,"{'C':3,'class_weight':None,'gamma':'scale','kernel':'rbf','probability':True,'random_state':42}",,,,0.03,0.65,0.32,0.98,0.43,0.79,0.89,0.69
Single_Model,without_Diagnosis_Delay,SVM,0.65,0.34,0.95,0.4,0.78,0.88,0.48,SVC,"{'C':10,'class_weight':None,'gamma':'scale','kernel':'rbf','probability':True,'random_state':42}",,,,0.03,0.67,0.37,0.96,0.46,0.78,0.89,0.6
Single_Model,without_Diagnosis_Delay,SVM,0.65,0.32,0.97,0.42,0.9,0.9,0.62,SVC,"{'C':10,'class_weight':None,'gamma':'auto','kernel':'linear','probability':True,'random_state':42}",,,,0.02,0.63,0.28,0.98,0.4,0.85,0.89,0.73
Single_Model,without_Diagnosis_Delay,SVM,0.65,0.32,0.97,0.42,0.9,0.9,0.62,SVC,"{'C':10,'class_weight':None,'gamma':'scale','kernel':'linear','probability':True,'random_state':42}",,,,0.02,0.63,0.28,0.98,0.4,0.85,0.89,0.73
Single_Model,without_Diagnosis_Delay,SVM,0.65,0.32,0.97,0.42,0.9,0.9,0.62,SVC,"{'C':5,'class_weight':None,'gamma':'auto','kernel':'linear','probability':True,'random_state':42}",,,,0.02,0.63,0.28,0.98,0.4,0.85,0.89,0.73
Single_Model,without_Diagnosis_Delay,SVM,0.65,0.32,0.97,0.42,0.9,0.9,0.62,SVC,"{'C':5,'class_weight':None,'gamma':'scale','kernel':'linear','probability':True,'random_state':42}",,,,0.02,0.63,0.28,0.98,0.4,0.85,0.89,0.73
Single_Model,without_Diagnosis_Delay,SVM,0.65,0.32,0.97,0.42,0.9,0.9,0.62,SVC,"{'C':3,'class_weight':None,'gamma':'scale','kernel':'linear','probability':True,'random_state':42}",,,,0.02,0.63,0.27,0.98,0.39,0.85,0.89,0.74
Single_Model,without_Diagnosis_Delay,SVM,0.65,0.32,0.97,0.42,0.9,0.9,0.62,SVC,"{'C':3,'class_weight':None,'gamma':'auto','kernel':'linear','probability':True,'random_state':42}",,,,0.02,0.63,0.27,0.98,0.39,0.85,0.89,0.74
Single_Model,without_Diagnosis_Delay,SVM,0.65,0.32,0.97,0.42,0.9,0.9,0.62,SVC,"{'C':1,'class_weight':None,'gamma':'auto','kernel':'linear','probability':True,'random_state':42}",,,,0.02,0.62,0.25,0.99,0.37,0.85,0.89,0.75
Single_Model,without_Diagnosis_Delay,SVM,0.65,0.32,0.97,0.42,0.9,0.9,0.62,SVC,"{'C':1,'class_weight':None,'gamma':'scale','kernel':'linear','probability':True,'random_state':42}",,,,0.02,0.62,0.25,0.99,0.37,0.85,0.89,0.75
Single_Model,without_Diagnosis_Delay,SVM,0.64,0.3,0.99,0.42,0.89,0.9,0.74,SVC,"{'C':5,'class_weight':None,'gamma':'auto','kernel':'rbf','probability':True,'random_state':42}",,,,0.03,0.62,0.25,0.99,0.38,0.83,0.89,0.8
Single_Model,without_Diagnosis_Delay,SVM,0.64,0.3,0.98,0.41,0.9,0.9,0.64,SVC,"{'C':0.7,'class_weight':None,'gamma':'scale','kernel':'linear','probability':True,'random_state':42}",,,,0.02,0.62,0.24,0.99,0.36,0.85,0.89,0.77
Single_Model,without_Diagnosis_Delay,SVM,0.64,0.3,0.98,0.41,0.9,0.9,0.64,SVC,"{'C':0.7,'class_weight':None,'gamma':'auto','kernel':'linear','probability':True,'random_state':42}",,,,0.02,0.62,0.24,0.99,0.36,0.85,0.89,0.77
Single_Model,without_Diagnosis_Delay,SVM,0.64,0.3,0.98,0.41,0.9,0.9,0.67,SVC,"{'C':0.5,'class_weight':None,'gamma':'scale','kernel':'linear','probability':True,'random_state':42}",,,,0.02,0.61,0.23,0.99,0.35,0.85,0.89,0.77
Single_Model,without_Diagnosis_Delay,SVM,0.64,0.3,0.98,0.41,0.9,0.9,0.67,SVC,"{'C':0.5,'class_weight':None,'gamma':'auto','kernel':'linear','probability':True,'random_state':42}",,,,0.02,0.61,0.23,0.99,0.35,0.85,0.89,0.77
Single_Model,without_Diagnosis_Delay,SVM,0.64,0.3,0.98,0.42,0.88,0.9,0.7,SVC,"{'C':10,'class_weight':None,'gamma':'auto','kernel':'rbf','probability':True,'random_state':42}",,,,0.03,0.64,0.28,0.99,0.42,0.82,0.9,0.81
Single_Model,without_Diagnosis_Delay,SVM,0.64,0.3,0.98,0.42,0.85,0.9,0.7,SVC,"{'C':1,'class_weight':None,'gamma':'scale','kernel':'rbf','probability':True,'random_state':42}",,,,0.03,0.62,0.25,0.99,0.38,0.8,0.89,0.78
Single_Model,without_Diagnosis_Delay,SVM,0.63,0.28,0.98,0.39,0.86,0.9,0.68,SVC,"{'C':0.7,'class_weight':None,'gamma':'scale','kernel':'rbf','probability':True,'random_state':42}",,,,0.03,0.61,0.22,0.99,0.34,0.81,0.89,0.78
Single_Model,without_Diagnosis_Delay,SVM,0.62,0.26,0.99,0.39,0.9,0.91,0.86,SVC,"{'C':0.3,'class_weight':None,'gamma':'scale','kernel':'linear','probability':True,'random_state':42}",,,,0.02,0.59,0.19,0.99,0.3,0.85,0.89,0.76
Single_Model,without_Diagnosis_Delay,SVM,0.62,0.26,0.99,0.39,0.9,0.91,0.86,SVC,"{'C':0.3,'class_weight':None,'gamma':'auto','kernel':'linear','probability':True,'random_state':42}",,,,0.02,0.59,0.19,0.99,0.3,0.85,0.89,0.76
Single_Model,without_Diagnosis_Delay,SVM,0.62,0.26,0.99,0.39,0.89,0.9,0.8,SVC,"{'C':3,'class_weight':None,'gamma':'auto','kernel':'rbf','probability':True,'random_state':42}",,,,0.03,0.61,0.22,0.99,0.34,0.84,0.89,0.8
Single_Model,without_Diagnosis_Delay,SVM,0.62,0.23,1.0,0.37,0.86,0.91,0.92,SVC,"{'C':0.5,'class_weight':None,'gamma':'scale','kernel':'rbf','probability':True,'random_state':42}",,,,0.03,0.59,0.19,0.99,0.31,0.81,0.89,0.81
Single_Model,without_Diagnosis_Delay,SVM,0.57,0.15,1.0,0.26,0.87,0.9,1.0,SVC,"{'C':0.3,'class_weight':None,'gamma':'scale','kernel':'rbf','probability':True,'random_state':42}",,,,0.03,0.55,0.1,1.0,0.17,0.81,0.88,0.83
Single_Model,without_Diagnosis_Delay,SVM,0.57,0.15,1.0,0.26,0.91,0.9,1.0,SVC,"{'C':1,'class_weight':None,'gamma':'auto','kernel':'rbf','probability':True,'random_state':42}",,,,0.03,0.52,0.05,1.0,0.08,0.85,0.88,0.66
Single_Model,without_Diagnosis_Delay,SVM,0.55,0.11,1.0,0.19,0.9,0.89,1.0,SVC,"{'C':0.1,'class_weight':None,'gamma':'auto','kernel':'linear','probability':True,'random_state':42}",,,,0.02,0.52,0.03,1.0,0.06,0.85,0.87,0.46
Single_Model,without_Diagnosis_Delay,SVM,0.55,0.11,1.0,0.19,0.9,0.89,1.0,SVC,"{'C':0.1,'class_weight':None,'gamma':'scale','kernel':'linear','probability':True,'random_state':42}",,,,0.02,0.52,0.03,1.0,0.06,0.85,0.87,0.46
Single_Model,without_Diagnosis_Delay,SVM,0.53,0.06,1.0,0.12,0.9,0.89,1.0,SVC,"{'C':0.7,'class_weight':None,'gamma':'auto','kernel':'rbf','probability':True,'random_state':42}",,,,0.03,0.5,0.01,1.0,0.02,0.85,0.87,0.29
Single_Model,without_Diagnosis_Delay,SVM,0.5,0.0,1.0,0.0,0.9,0.88,0.0,SVC,"{'C':0.5,'class_weight':None,'gamma':'auto','kernel':'rbf','probability':True,'random_state':42}",,,,0.03,0.5,0.0,1.0,0.0,0.85,0.87,0.0
Single_Model,without_Diagnosis_Delay,SVM,0.5,0.0,1.0,0.0,0.9,0.88,0.0,SVC,"{'C':0.3,'class_weight':None,'gamma':'auto','kernel':'rbf','probability':True,'random_state':42}",,,,0.03,0.5,0.0,1.0,0.0,0.85,0.87,0.0
Single_Model,without_Diagnosis_Delay,SVM,0.5,0.0,1.0,0.0,0.91,0.88,0.0,SVC,"{'C':0.1,'class_weight':None,'gamma':'auto','kernel':'rbf','probability':True,'random_state':42}",,,,0.03,0.5,0.0,1.0,0.0,0.85,0.87,0.0
Single_Model,without_Diagnosis_Delay,SVM,0.5,0.0,1.0,0.0,0.87,0.88,0.0,SVC,"{'C':0.1,'class_weight':None,'gamma':'scale','kernel':'rbf','probability':True,'random_state':42}",,,,0.04,0.5,0.0,1.0,0.0,0.81,0.87,0.0
