Scenario,Features,Model,balanced_accuracy,sensitivity,specificity,f1_score,AUC,accuracy,precision,Model_Class,Hyperparams,Estimator,Estimator_Class,Estimator_Hyperparams,fit_time,train_balanced_accuracy,train_sensitivity,train_specificity,train_f1_score,train_AUC,train_accuracy,train_precision
Single_Model,without_Diagnosis_Delay,k-NN,0.71,0.72,0.69,0.36,0.71,0.7,0.24,RadiusNeighborsClassifier,"{'leaf_size':500,'metric':'euclidean','outlier_label':1,'radius':0.7,'weights':'uniform'}",,,,0.01,0.73,0.77,0.69,0.4,0.73,0.7,0.27
Single_Model,without_Diagnosis_Delay,k-NN,0.71,0.72,0.69,0.36,0.71,0.7,0.24,RadiusNeighborsClassifier,"{'leaf_size':100,'metric':'euclidean','outlier_label':1,'radius':0.7,'weights':'uniform'}",,,,0.01,0.73,0.77,0.69,0.4,0.73,0.7,0.27
Single_Model,without_Diagnosis_Delay,k-NN,0.71,0.72,0.69,0.36,0.71,0.7,0.24,RadiusNeighborsClassifier,"{'leaf_size':200,'metric':'euclidean','outlier_label':1,'radius':0.7,'weights':'uniform'}",,,,0.01,0.73,0.77,0.69,0.4,0.73,0.7,0.27
Single_Model,without_Diagnosis_Delay,k-NN,0.71,0.72,0.69,0.36,0.71,0.7,0.24,RadiusNeighborsClassifier,"{'leaf_size':300,'metric':'euclidean','outlier_label':1,'radius':0.7,'weights':'uniform'}",,,,0.01,0.73,0.77,0.69,0.4,0.73,0.7,0.27
Single_Model,without_Diagnosis_Delay,k-NN,0.71,0.72,0.69,0.36,0.71,0.7,0.24,RadiusNeighborsClassifier,"{'leaf_size':50,'metric':'euclidean','outlier_label':1,'radius':0.7,'weights':'uniform'}",,,,0.01,0.73,0.77,0.69,0.4,0.73,0.7,0.27
Single_Model,without_Diagnosis_Delay,k-NN,0.71,0.72,0.69,0.36,0.72,0.7,0.24,RadiusNeighborsClassifier,"{'leaf_size':100,'metric':'euclidean','outlier_label':1,'radius':0.7,'weights':'distance'}",,,,0.01,0.73,0.78,0.68,0.39,0.73,0.69,0.26
Single_Model,without_Diagnosis_Delay,k-NN,0.71,0.72,0.69,0.36,0.72,0.7,0.24,RadiusNeighborsClassifier,"{'leaf_size':500,'metric':'euclidean','outlier_label':1,'radius':0.7,'weights':'distance'}",,,,0.02,0.73,0.78,0.68,0.39,0.73,0.69,0.26
Single_Model,without_Diagnosis_Delay,k-NN,0.71,0.72,0.69,0.36,0.72,0.7,0.24,RadiusNeighborsClassifier,"{'leaf_size':200,'metric':'euclidean','outlier_label':1,'radius':0.7,'weights':'distance'}",,,,0.02,0.73,0.78,0.68,0.39,0.73,0.69,0.26
Single_Model,without_Diagnosis_Delay,k-NN,0.71,0.72,0.69,0.36,0.72,0.7,0.24,RadiusNeighborsClassifier,"{'leaf_size':50,'metric':'euclidean','outlier_label':1,'radius':0.7,'weights':'distance'}",,,,0.02,0.73,0.78,0.68,0.39,0.73,0.69,0.26
Single_Model,without_Diagnosis_Delay,k-NN,0.71,0.72,0.69,0.36,0.72,0.7,0.24,RadiusNeighborsClassifier,"{'leaf_size':300,'metric':'euclidean','outlier_label':1,'radius':0.7,'weights':'distance'}",,,,0.02,0.73,0.78,0.68,0.39,0.73,0.69,0.26
Single_Model,without_Diagnosis_Delay,k-NN,0.72,0.72,0.73,0.39,0.73,0.73,0.26,RadiusNeighborsClassifier,"{'leaf_size':50,'metric':'manhattan','outlier_label':1,'radius':1.0,'weights':'uniform'}",,,,0.02,0.72,0.72,0.71,0.39,0.71,0.71,0.27
Single_Model,without_Diagnosis_Delay,k-NN,0.72,0.72,0.73,0.39,0.73,0.73,0.26,RadiusNeighborsClassifier,"{'leaf_size':500,'metric':'manhattan','outlier_label':1,'radius':1.0,'weights':'uniform'}",,,,0.02,0.72,0.72,0.71,0.39,0.71,0.71,0.27
Single_Model,without_Diagnosis_Delay,k-NN,0.72,0.72,0.73,0.39,0.73,0.73,0.26,RadiusNeighborsClassifier,"{'leaf_size':200,'metric':'manhattan','outlier_label':1,'radius':1.0,'weights':'uniform'}",,,,0.03,0.72,0.72,0.71,0.39,0.71,0.71,0.27
Single_Model,without_Diagnosis_Delay,k-NN,0.72,0.72,0.73,0.39,0.73,0.73,0.26,RadiusNeighborsClassifier,"{'leaf_size':300,'metric':'manhattan','outlier_label':1,'radius':1.0,'weights':'uniform'}",,,,0.03,0.72,0.72,0.71,0.39,0.71,0.71,0.27
Single_Model,without_Diagnosis_Delay,k-NN,0.72,0.72,0.73,0.39,0.73,0.73,0.26,RadiusNeighborsClassifier,"{'leaf_size':100,'metric':'manhattan','outlier_label':1,'radius':1.0,'weights':'uniform'}",,,,0.03,0.72,0.72,0.71,0.39,0.71,0.71,0.27
Single_Model,without_Diagnosis_Delay,k-NN,0.72,0.72,0.72,0.38,0.75,0.72,0.26,RadiusNeighborsClassifier,"{'leaf_size':50,'metric':'manhattan','outlier_label':1,'radius':1.0,'weights':'distance'}",,,,0.02,0.72,0.73,0.7,0.39,0.72,0.71,0.27
Single_Model,without_Diagnosis_Delay,k-NN,0.72,0.72,0.72,0.38,0.75,0.72,0.26,RadiusNeighborsClassifier,"{'leaf_size':100,'metric':'manhattan','outlier_label':1,'radius':1.0,'weights':'distance'}",,,,0.02,0.72,0.73,0.7,0.39,0.72,0.71,0.27
Single_Model,without_Diagnosis_Delay,k-NN,0.72,0.72,0.72,0.38,0.75,0.72,0.26,RadiusNeighborsClassifier,"{'leaf_size':200,'metric':'manhattan','outlier_label':1,'radius':1.0,'weights':'distance'}",,,,0.03,0.72,0.73,0.7,0.39,0.72,0.71,0.27
Single_Model,without_Diagnosis_Delay,k-NN,0.72,0.72,0.72,0.38,0.75,0.72,0.26,RadiusNeighborsClassifier,"{'leaf_size':500,'metric':'manhattan','outlier_label':1,'radius':1.0,'weights':'distance'}",,,,0.03,0.72,0.73,0.7,0.39,0.72,0.71,0.27
Single_Model,without_Diagnosis_Delay,k-NN,0.72,0.72,0.72,0.38,0.75,0.72,0.26,RadiusNeighborsClassifier,"{'leaf_size':300,'metric':'manhattan','outlier_label':1,'radius':1.0,'weights':'distance'}",,,,0.03,0.72,0.73,0.7,0.39,0.72,0.71,0.27
Single_Model,without_Diagnosis_Delay,k-NN,0.7,0.83,0.57,0.33,0.71,0.6,0.21,RadiusNeighborsClassifier,"{'leaf_size':100,'metric':'manhattan','outlier_label':1,'radius':0.7,'weights':'distance'}",,,,0.03,0.7,0.85,0.54,0.34,0.7,0.58,0.22
Single_Model,without_Diagnosis_Delay,k-NN,0.7,0.83,0.57,0.33,0.71,0.6,0.21,RadiusNeighborsClassifier,"{'leaf_size':200,'metric':'manhattan','outlier_label':1,'radius':0.7,'weights':'distance'}",,,,0.03,0.7,0.85,0.54,0.34,0.7,0.58,0.22
Single_Model,without_Diagnosis_Delay,k-NN,0.7,0.83,0.57,0.33,0.71,0.6,0.21,RadiusNeighborsClassifier,"{'leaf_size':50,'metric':'manhattan','outlier_label':1,'radius':0.7,'weights':'distance'}",,,,0.03,0.7,0.85,0.54,0.34,0.7,0.58,0.22
Single_Model,without_Diagnosis_Delay,k-NN,0.7,0.83,0.57,0.33,0.71,0.6,0.21,RadiusNeighborsClassifier,"{'leaf_size':300,'metric':'manhattan','outlier_label':1,'radius':0.7,'weights':'distance'}",,,,0.03,0.7,0.85,0.54,0.34,0.7,0.58,0.22
Single_Model,without_Diagnosis_Delay,k-NN,0.7,0.83,0.57,0.33,0.71,0.6,0.21,RadiusNeighborsClassifier,"{'leaf_size':500,'metric':'manhattan','outlier_label':1,'radius':0.7,'weights':'distance'}",,,,0.03,0.7,0.85,0.54,0.34,0.7,0.58,0.22
Single_Model,without_Diagnosis_Delay,k-NN,0.7,0.83,0.58,0.33,0.7,0.61,0.21,RadiusNeighborsClassifier,"{'leaf_size':50,'metric':'manhattan','outlier_label':1,'radius':0.7,'weights':'uniform'}",,,,0.02,0.7,0.84,0.55,0.34,0.69,0.59,0.22
Single_Model,without_Diagnosis_Delay,k-NN,0.7,0.83,0.58,0.33,0.7,0.61,0.21,RadiusNeighborsClassifier,"{'leaf_size':200,'metric':'manhattan','outlier_label':1,'radius':0.7,'weights':'uniform'}",,,,0.02,0.7,0.84,0.55,0.34,0.69,0.59,0.22
Single_Model,without_Diagnosis_Delay,k-NN,0.7,0.83,0.58,0.33,0.7,0.61,0.21,RadiusNeighborsClassifier,"{'leaf_size':500,'metric':'manhattan','outlier_label':1,'radius':0.7,'weights':'uniform'}",,,,0.02,0.7,0.84,0.55,0.34,0.69,0.59,0.22
Single_Model,without_Diagnosis_Delay,k-NN,0.7,0.83,0.58,0.33,0.7,0.61,0.21,RadiusNeighborsClassifier,"{'leaf_size':300,'metric':'manhattan','outlier_label':1,'radius':0.7,'weights':'uniform'}",,,,0.03,0.7,0.84,0.55,0.34,0.69,0.59,0.22
Single_Model,without_Diagnosis_Delay,k-NN,0.7,0.83,0.58,0.33,0.7,0.61,0.21,RadiusNeighborsClassifier,"{'leaf_size':100,'metric':'manhattan','outlier_label':1,'radius':0.7,'weights':'uniform'}",,,,0.03,0.7,0.84,0.55,0.34,0.69,0.59,0.22
Single_Model,without_Diagnosis_Delay,k-NN,0.7,0.83,0.56,0.33,0.7,0.59,0.2,RadiusNeighborsClassifier,"{'leaf_size':300,'metric':'euclidean','outlier_label':1,'radius':0.5,'weights':'distance'}",,,,0.01,0.69,0.85,0.54,0.34,0.69,0.58,0.21
Single_Model,without_Diagnosis_Delay,k-NN,0.7,0.83,0.56,0.33,0.7,0.59,0.2,RadiusNeighborsClassifier,"{'leaf_size':500,'metric':'euclidean','outlier_label':1,'radius':0.5,'weights':'distance'}",,,,0.01,0.69,0.85,0.54,0.34,0.69,0.58,0.21
Single_Model,without_Diagnosis_Delay,k-NN,0.7,0.83,0.56,0.33,0.7,0.59,0.2,RadiusNeighborsClassifier,"{'leaf_size':200,'metric':'euclidean','outlier_label':1,'radius':0.5,'weights':'distance'}",,,,0.01,0.69,0.85,0.54,0.34,0.69,0.58,0.21
Single_Model,without_Diagnosis_Delay,k-NN,0.7,0.83,0.56,0.33,0.7,0.59,0.2,RadiusNeighborsClassifier,"{'leaf_size':50,'metric':'euclidean','outlier_label':1,'radius':0.5,'weights':'distance'}",,,,0.02,0.69,0.85,0.54,0.34,0.69,0.58,0.21
Single_Model,without_Diagnosis_Delay,k-NN,0.7,0.83,0.56,0.33,0.7,0.59,0.2,RadiusNeighborsClassifier,"{'leaf_size':100,'metric':'euclidean','outlier_label':1,'radius':0.5,'weights':'distance'}",,,,0.02,0.69,0.85,0.54,0.34,0.69,0.58,0.21
Single_Model,without_Diagnosis_Delay,k-NN,0.7,0.83,0.56,0.33,0.7,0.6,0.21,RadiusNeighborsClassifier,"{'leaf_size':500,'metric':'euclidean','outlier_label':1,'radius':0.5,'weights':'uniform'}",,,,0.01,0.69,0.85,0.54,0.34,0.69,0.58,0.22
Single_Model,without_Diagnosis_Delay,k-NN,0.7,0.83,0.56,0.33,0.7,0.6,0.21,RadiusNeighborsClassifier,"{'leaf_size':200,'metric':'euclidean','outlier_label':1,'radius':0.5,'weights':'uniform'}",,,,0.01,0.69,0.85,0.54,0.34,0.69,0.58,0.22
Single_Model,without_Diagnosis_Delay,k-NN,0.7,0.83,0.56,0.33,0.7,0.6,0.21,RadiusNeighborsClassifier,"{'leaf_size':50,'metric':'euclidean','outlier_label':1,'radius':0.5,'weights':'uniform'}",,,,0.01,0.69,0.85,0.54,0.34,0.69,0.58,0.22
Single_Model,without_Diagnosis_Delay,k-NN,0.7,0.83,0.56,0.33,0.7,0.6,0.21,RadiusNeighborsClassifier,"{'leaf_size':300,'metric':'euclidean','outlier_label':1,'radius':0.5,'weights':'uniform'}",,,,0.01,0.69,0.85,0.54,0.34,0.69,0.58,0.22
Single_Model,without_Diagnosis_Delay,k-NN,0.7,0.83,0.56,0.33,0.7,0.6,0.21,RadiusNeighborsClassifier,"{'leaf_size':100,'metric':'euclidean','outlier_label':1,'radius':0.5,'weights':'uniform'}",,,,0.01,0.69,0.85,0.54,0.34,0.69,0.58,0.22
Single_Model,without_Diagnosis_Delay,k-NN,0.73,0.6,0.86,0.46,0.75,0.83,0.37,RadiusNeighborsClassifier,"{'leaf_size':200,'metric':'manhattan','outlier_label':1,'radius':1.5,'weights':'distance'}",,,,0.03,0.69,0.55,0.84,0.41,0.7,0.8,0.34
Single_Model,without_Diagnosis_Delay,k-NN,0.73,0.6,0.86,0.46,0.75,0.83,0.37,RadiusNeighborsClassifier,"{'leaf_size':50,'metric':'manhattan','outlier_label':1,'radius':1.5,'weights':'distance'}",,,,0.03,0.69,0.55,0.84,0.41,0.7,0.8,0.34
Single_Model,without_Diagnosis_Delay,k-NN,0.73,0.6,0.86,0.46,0.75,0.83,0.37,RadiusNeighborsClassifier,"{'leaf_size':100,'metric':'manhattan','outlier_label':1,'radius':1.5,'weights':'distance'}",,,,0.03,0.69,0.55,0.84,0.41,0.7,0.8,0.34
