Dataset,Features,Model,BalAcc,Sens,Spec,f1,AUC,Acc,Prec,Classifier,Hyperparams,Estimator_Desc,Estimator_Class,Estimator_Hyperparams
Ensemble-Imbalance,All Features,Balanced Bagging,0.82,0.81,0.83,0.55,0.9,0.83,0.41,BalancedBaggingClassifier,"{'n_estimators': 101, 'random_state': 42, 'sampling_strategy': 'all', 'warm_start': False}",Decision Tree,DecisionTreeClassifier,"{'ccp_alpha': 0.0, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 3, 'max_features': '', 'max_leaf_nodes': '', 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'random_state': 42, 'splitter': 'best'}"
Ensemble-Imbalance,All Features,Balanced Bagging,0.82,0.81,0.83,0.55,0.9,0.83,0.41,BalancedBaggingClassifier,"{'n_estimators': 101, 'random_state': 42, 'sampling_strategy': 'all', 'warm_start': True}",Decision Tree,DecisionTreeClassifier,"{'ccp_alpha': 0.0, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 3, 'max_features': '', 'max_leaf_nodes': '', 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'random_state': 42, 'splitter': 'best'}"
Ensemble-Imbalance,All Features,Balanced Bagging,0.82,0.81,0.83,0.55,0.9,0.83,0.41,BalancedBaggingClassifier,"{'n_estimators': 101, 'random_state': 42, 'sampling_strategy': 'majority', 'warm_start': False}",Decision Tree,DecisionTreeClassifier,"{'ccp_alpha': 0.0, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 3, 'max_features': '', 'max_leaf_nodes': '', 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'random_state': 42, 'splitter': 'best'}"
Ensemble-Imbalance,All Features,Balanced Bagging,0.82,0.81,0.83,0.55,0.9,0.83,0.41,BalancedBaggingClassifier,"{'n_estimators': 101, 'random_state': 42, 'sampling_strategy': 'majority', 'warm_start': True}",Decision Tree,DecisionTreeClassifier,"{'ccp_alpha': 0.0, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 3, 'max_features': '', 'max_leaf_nodes': '', 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'random_state': 42, 'splitter': 'best'}"
Ensemble-Imbalance,All Features,Balanced Bagging,0.82,0.81,0.83,0.55,0.9,0.83,0.41,BalancedBaggingClassifier,"{'n_estimators': 101, 'random_state': 42, 'sampling_strategy': 'auto', 'warm_start': False}",Decision Tree,DecisionTreeClassifier,"{'ccp_alpha': 0.0, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 3, 'max_features': '', 'max_leaf_nodes': '', 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'random_state': 42, 'splitter': 'best'}"
Ensemble-Imbalance,All Features,Balanced Bagging,0.82,0.81,0.83,0.55,0.9,0.83,0.41,BalancedBaggingClassifier,"{'n_estimators': 101, 'random_state': 42, 'sampling_strategy': 'auto', 'warm_start': True}",Decision Tree,DecisionTreeClassifier,"{'ccp_alpha': 0.0, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 3, 'max_features': '', 'max_leaf_nodes': '', 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'random_state': 42, 'splitter': 'best'}"
Ensemble-Imbalance,All Features,Balanced Bagging,0.82,0.81,0.83,0.55,0.9,0.83,0.42,BalancedBaggingClassifier,"{'n_estimators': 201, 'random_state': 42, 'sampling_strategy': 'all', 'warm_start': False}",Decision Tree,DecisionTreeClassifier,"{'ccp_alpha': 0.0, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 3, 'max_features': '', 'max_leaf_nodes': '', 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'random_state': 42, 'splitter': 'best'}"
Ensemble-Imbalance,All Features,Balanced Bagging,0.82,0.81,0.83,0.55,0.9,0.83,0.42,BalancedBaggingClassifier,"{'n_estimators': 201, 'random_state': 42, 'sampling_strategy': 'all', 'warm_start': True}",Decision Tree,DecisionTreeClassifier,"{'ccp_alpha': 0.0, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 3, 'max_features': '', 'max_leaf_nodes': '', 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'random_state': 42, 'splitter': 'best'}"
Ensemble-Imbalance,All Features,Balanced Bagging,0.82,0.81,0.83,0.55,0.9,0.83,0.42,BalancedBaggingClassifier,"{'n_estimators': 201, 'random_state': 42, 'sampling_strategy': 'majority', 'warm_start': False}",Decision Tree,DecisionTreeClassifier,"{'ccp_alpha': 0.0, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 3, 'max_features': '', 'max_leaf_nodes': '', 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'random_state': 42, 'splitter': 'best'}"
Ensemble-Imbalance,All Features,Balanced Bagging,0.82,0.81,0.83,0.55,0.9,0.83,0.42,BalancedBaggingClassifier,"{'n_estimators': 201, 'random_state': 42, 'sampling_strategy': 'majority', 'warm_start': True}",Decision Tree,DecisionTreeClassifier,"{'ccp_alpha': 0.0, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 3, 'max_features': '', 'max_leaf_nodes': '', 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'random_state': 42, 'splitter': 'best'}"
Ensemble-Imbalance,All Features,Balanced Bagging,0.82,0.81,0.83,0.55,0.9,0.83,0.42,BalancedBaggingClassifier,"{'n_estimators': 201, 'random_state': 42, 'sampling_strategy': 'auto', 'warm_start': False}",Decision Tree,DecisionTreeClassifier,"{'ccp_alpha': 0.0, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 3, 'max_features': '', 'max_leaf_nodes': '', 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'random_state': 42, 'splitter': 'best'}"
Ensemble-Imbalance,All Features,Balanced Bagging,0.82,0.81,0.83,0.55,0.9,0.83,0.42,BalancedBaggingClassifier,"{'n_estimators': 201, 'random_state': 42, 'sampling_strategy': 'auto', 'warm_start': True}",Decision Tree,DecisionTreeClassifier,"{'ccp_alpha': 0.0, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 3, 'max_features': '', 'max_leaf_nodes': '', 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'random_state': 42, 'splitter': 'best'}"
Ensemble-Imbalance,All Features,Balanced Bagging,0.82,0.81,0.83,0.55,0.9,0.83,0.42,BalancedBaggingClassifier,"{'n_estimators': 301, 'random_state': 42, 'sampling_strategy': 'all', 'warm_start': False}",Decision Tree,DecisionTreeClassifier,"{'ccp_alpha': 0.0, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 3, 'max_features': '', 'max_leaf_nodes': '', 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'random_state': 42, 'splitter': 'best'}"
Ensemble-Imbalance,All Features,Balanced Bagging,0.82,0.81,0.83,0.55,0.9,0.83,0.42,BalancedBaggingClassifier,"{'n_estimators': 301, 'random_state': 42, 'sampling_strategy': 'all', 'warm_start': True}",Decision Tree,DecisionTreeClassifier,"{'ccp_alpha': 0.0, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 3, 'max_features': '', 'max_leaf_nodes': '', 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'random_state': 42, 'splitter': 'best'}"
Ensemble-Imbalance,All Features,Balanced Bagging,0.82,0.81,0.83,0.55,0.9,0.83,0.42,BalancedBaggingClassifier,"{'n_estimators': 301, 'random_state': 42, 'sampling_strategy': 'majority', 'warm_start': False}",Decision Tree,DecisionTreeClassifier,"{'ccp_alpha': 0.0, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 3, 'max_features': '', 'max_leaf_nodes': '', 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'random_state': 42, 'splitter': 'best'}"
Ensemble-Imbalance,All Features,Balanced Bagging,0.82,0.81,0.83,0.55,0.9,0.83,0.42,BalancedBaggingClassifier,"{'n_estimators': 301, 'random_state': 42, 'sampling_strategy': 'majority', 'warm_start': True}",Decision Tree,DecisionTreeClassifier,"{'ccp_alpha': 0.0, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 3, 'max_features': '', 'max_leaf_nodes': '', 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'random_state': 42, 'splitter': 'best'}"
Ensemble-Imbalance,All Features,Balanced Bagging,0.82,0.81,0.83,0.55,0.9,0.83,0.42,BalancedBaggingClassifier,"{'n_estimators': 301, 'random_state': 42, 'sampling_strategy': 'auto', 'warm_start': False}",Decision Tree,DecisionTreeClassifier,"{'ccp_alpha': 0.0, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 3, 'max_features': '', 'max_leaf_nodes': '', 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'random_state': 42, 'splitter': 'best'}"
Ensemble-Imbalance,All Features,Balanced Bagging,0.82,0.81,0.83,0.55,0.9,0.83,0.42,BalancedBaggingClassifier,"{'n_estimators': 301, 'random_state': 42, 'sampling_strategy': 'auto', 'warm_start': True}",Decision Tree,DecisionTreeClassifier,"{'ccp_alpha': 0.0, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 3, 'max_features': '', 'max_leaf_nodes': '', 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'random_state': 42, 'splitter': 'best'}"
Ensemble-Imbalance,All Features,Balanced Bagging,0.82,0.81,0.83,0.55,0.9,0.83,0.42,BalancedBaggingClassifier,"{'n_estimators': 301, 'random_state': 42, 'sampling_strategy': 'all', 'warm_start': False}",Decision Tree,DecisionTreeClassifier,"{'ccp_alpha': 0.0, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 4, 'max_features': '', 'max_leaf_nodes': '', 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'random_state': 42, 'splitter': 'best'}"
Ensemble-Imbalance,All Features,Balanced Bagging,0.82,0.81,0.83,0.55,0.9,0.83,0.42,BalancedBaggingClassifier,"{'n_estimators': 301, 'random_state': 42, 'sampling_strategy': 'all', 'warm_start': True}",Decision Tree,DecisionTreeClassifier,"{'ccp_alpha': 0.0, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 4, 'max_features': '', 'max_leaf_nodes': '', 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'random_state': 42, 'splitter': 'best'}"
Ensemble-Imbalance,All Features,Balanced Bagging,0.82,0.81,0.83,0.55,0.9,0.83,0.42,BalancedBaggingClassifier,"{'n_estimators': 301, 'random_state': 42, 'sampling_strategy': 'majority', 'warm_start': False}",Decision Tree,DecisionTreeClassifier,"{'ccp_alpha': 0.0, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 4, 'max_features': '', 'max_leaf_nodes': '', 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'random_state': 42, 'splitter': 'best'}"
Ensemble-Imbalance,All Features,Balanced Bagging,0.82,0.81,0.83,0.55,0.9,0.83,0.42,BalancedBaggingClassifier,"{'n_estimators': 301, 'random_state': 42, 'sampling_strategy': 'majority', 'warm_start': True}",Decision Tree,DecisionTreeClassifier,"{'ccp_alpha': 0.0, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 4, 'max_features': '', 'max_leaf_nodes': '', 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'random_state': 42, 'splitter': 'best'}"
