Dataset,Features,Model,BalAcc,Sens,Spec,f1,AUC,Acc,Prec,Classifier,Hyperparams
Single-Model,All Features,Decision Tree,0.78,0.83,0.74,0.46,0.85,0.75,0.32,DecisionTreeClassifier,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 4, 'random_state': 42}"
Single-Model,All Features,Decision Tree,0.78,0.77,0.78,0.48,0.84,0.78,0.36,DecisionTreeClassifier,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 3, 'random_state': 42}"
Single-Model,All Features,Decision Tree,0.78,0.72,0.84,0.51,0.82,0.82,0.4,DecisionTreeClassifier,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 7, 'random_state': 42}"
Single-Model,All Features,Decision Tree,0.77,0.76,0.78,0.47,0.83,0.78,0.34,DecisionTreeClassifier,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 5, 'random_state': 42}"
Single-Model,All Features,Decision Tree,0.77,0.75,0.79,0.47,0.82,0.78,0.35,DecisionTreeClassifier,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 5, 'random_state': 42}"
Single-Model,All Features,Decision Tree,0.77,0.75,0.78,0.47,0.83,0.78,0.34,DecisionTreeClassifier,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 4, 'random_state': 42}"
Single-Model,All Features,Decision Tree,0.76,0.71,0.81,0.48,0.83,0.8,0.37,DecisionTreeClassifier,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 3, 'random_state': 42}"
Single-Model,All Features,Decision Tree,0.76,0.71,0.81,0.48,0.81,0.8,0.36,DecisionTreeClassifier,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 7, 'random_state': 42}"
Single-Model,All Features,Decision Tree,0.73,0.62,0.85,0.47,0.75,0.82,0.38,DecisionTreeClassifier,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 9, 'random_state': 42}"
Single-Model,All Features,Decision Tree,0.72,0.58,0.87,0.46,0.74,0.83,0.39,DecisionTreeClassifier,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 9, 'random_state': 42}"
