Dataset,Features,Model,BalAcc,Sens,Spec,f1,AUC,Acc,Prec,Classifier,Hyperparams,Estimator_Desc,Estimator_Class,Estimator_Hyperparams
Ensemble-Imbalance,All Features,Balanced Bagging,0.81,0.78,0.84,0.54,0.88,0.83,0.42,BalancedBaggingClassifier,"{'n_estimators': 15, 'random_state': 42, 'sampling_strategy': 'all', 'warm_start': False}",Naïve Bayes,ComplementNB,"{'alpha': 1.0, 'class_prior': '', 'fit_prior': 'True', 'norm': 'False'}"
Ensemble-Imbalance,All Features,Balanced Bagging,0.81,0.78,0.84,0.54,0.88,0.83,0.42,BalancedBaggingClassifier,"{'n_estimators': 15, 'random_state': 42, 'sampling_strategy': 'all', 'warm_start': True}",Naïve Bayes,ComplementNB,"{'alpha': 1.0, 'class_prior': '', 'fit_prior': 'True', 'norm': 'False'}"
Ensemble-Imbalance,All Features,Balanced Bagging,0.81,0.78,0.84,0.54,0.88,0.83,0.42,BalancedBaggingClassifier,"{'n_estimators': 15, 'random_state': 42, 'sampling_strategy': 'majority', 'warm_start': False}",Naïve Bayes,ComplementNB,"{'alpha': 1.0, 'class_prior': '', 'fit_prior': 'True', 'norm': 'False'}"
Ensemble-Imbalance,All Features,Balanced Bagging,0.81,0.78,0.84,0.54,0.88,0.83,0.42,BalancedBaggingClassifier,"{'n_estimators': 15, 'random_state': 42, 'sampling_strategy': 'majority', 'warm_start': True}",Naïve Bayes,ComplementNB,"{'alpha': 1.0, 'class_prior': '', 'fit_prior': 'True', 'norm': 'False'}"
Ensemble-Imbalance,All Features,Balanced Bagging,0.81,0.78,0.84,0.54,0.88,0.83,0.42,BalancedBaggingClassifier,"{'n_estimators': 15, 'random_state': 42, 'sampling_strategy': 'auto', 'warm_start': False}",Naïve Bayes,ComplementNB,"{'alpha': 1.0, 'class_prior': '', 'fit_prior': 'True', 'norm': 'False'}"
Ensemble-Imbalance,All Features,Balanced Bagging,0.81,0.78,0.84,0.54,0.88,0.83,0.42,BalancedBaggingClassifier,"{'n_estimators': 15, 'random_state': 42, 'sampling_strategy': 'auto', 'warm_start': True}",Naïve Bayes,ComplementNB,"{'alpha': 1.0, 'class_prior': '', 'fit_prior': 'True', 'norm': 'False'}"
Ensemble-Imbalance,All Features,Balanced Bagging,0.81,0.78,0.84,0.54,0.88,0.83,0.42,BalancedBaggingClassifier,"{'n_estimators': 15, 'random_state': 42, 'sampling_strategy': 'all', 'warm_start': False}",Naïve Bayes,ComplementNB,"{'alpha': 1.5, 'class_prior': '', 'fit_prior': 'True', 'norm': 'False'}"
Ensemble-Imbalance,All Features,Balanced Bagging,0.81,0.78,0.84,0.54,0.88,0.83,0.42,BalancedBaggingClassifier,"{'n_estimators': 15, 'random_state': 42, 'sampling_strategy': 'all', 'warm_start': True}",Naïve Bayes,ComplementNB,"{'alpha': 1.5, 'class_prior': '', 'fit_prior': 'True', 'norm': 'False'}"
Ensemble-Imbalance,All Features,Balanced Bagging,0.81,0.78,0.84,0.54,0.88,0.83,0.42,BalancedBaggingClassifier,"{'n_estimators': 15, 'random_state': 42, 'sampling_strategy': 'majority', 'warm_start': False}",Naïve Bayes,ComplementNB,"{'alpha': 1.5, 'class_prior': '', 'fit_prior': 'True', 'norm': 'False'}"
Ensemble-Imbalance,All Features,Balanced Bagging,0.81,0.78,0.84,0.54,0.88,0.83,0.42,BalancedBaggingClassifier,"{'n_estimators': 15, 'random_state': 42, 'sampling_strategy': 'majority', 'warm_start': True}",Naïve Bayes,ComplementNB,"{'alpha': 1.5, 'class_prior': '', 'fit_prior': 'True', 'norm': 'False'}"
