Dataset,Features,Model,BalAcc,Sens,Spec,f1,AUC,Acc,Prec,Classifier,Hyperparams
Single-Model,All Features,Naïve Bayes,0.81,0.78,0.83,0.53,0.88,0.82,0.41,ComplementNB,"{'alpha': 0.5, 'norm': False}"
Single-Model,All Features,Naïve Bayes,0.81,0.78,0.83,0.54,0.88,0.83,0.41,ComplementNB,"{'alpha': 1.0, 'norm': False}"
Single-Model,All Features,Naïve Bayes,0.81,0.78,0.83,0.54,0.88,0.82,0.41,ComplementNB,"{'alpha': 1.5, 'norm': False}"
Single-Model,All Features,Naïve Bayes,0.81,0.78,0.83,0.54,0.88,0.82,0.41,ComplementNB,"{'alpha': 2.0, 'norm': False}"
Single-Model,All Features,Naïve Bayes,0.81,0.78,0.83,0.54,0.88,0.82,0.41,ComplementNB,"{'alpha': 2.5, 'norm': False}"
Single-Model,All Features,Naïve Bayes,0.81,0.78,0.83,0.54,0.88,0.82,0.41,ComplementNB,"{'alpha': 3.0, 'norm': False}"
Single-Model,All Features,Naïve Bayes,0.81,0.78,0.83,0.54,0.88,0.82,0.41,ComplementNB,"{'alpha': 3.5, 'norm': False}"
Single-Model,All Features,Naïve Bayes,0.81,0.78,0.83,0.54,0.88,0.82,0.41,ComplementNB,"{'alpha': 4.0, 'norm': False}"
Single-Model,All Features,Naïve Bayes,0.8,0.77,0.83,0.53,0.88,0.83,0.41,ComplementNB,"{'alpha': 0.1, 'norm': False}"
Single-Model,All Features,Naïve Bayes,0.78,0.68,0.89,0.56,0.88,0.86,0.48,GaussianNB,{}
