Dataset,Features,Model,BalAcc,Sens,Spec,f1,AUC,Acc,Prec,Classifier,Hyperparams,Estimator_Desc,Estimator_Class,Estimator_Hyperparams
Ensemble-Imbalance,All Features,Balanced Bagging,0.82,0.79,0.85,0.56,0.9,0.84,0.43,BalancedBaggingClassifier,"{'n_estimators': 51, 'random_state': 42, 'sampling_strategy': 'all', 'warm_start': False}",Random Forest,RandomForestClassifier,"{'bootstrap': 'True', 'ccp_alpha': 0.0, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 10, 'max_features': 'auto', 'max_leaf_nodes': '', 'max_samples': '', 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_jobs': '', 'oob_score': 'False', 'random_state': 42, 'verbose': 0, 'warm_start': 'False'}"
Ensemble-Imbalance,All Features,Balanced Bagging,0.82,0.79,0.85,0.56,0.9,0.84,0.43,BalancedBaggingClassifier,"{'n_estimators': 51, 'random_state': 42, 'sampling_strategy': 'all', 'warm_start': True}",Random Forest,RandomForestClassifier,"{'bootstrap': 'True', 'ccp_alpha': 0.0, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 10, 'max_features': 'auto', 'max_leaf_nodes': '', 'max_samples': '', 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_jobs': '', 'oob_score': 'False', 'random_state': 42, 'verbose': 0, 'warm_start': 'False'}"
Ensemble-Imbalance,All Features,Balanced Bagging,0.82,0.79,0.85,0.56,0.9,0.84,0.43,BalancedBaggingClassifier,"{'n_estimators': 51, 'random_state': 42, 'sampling_strategy': 'all', 'warm_start': False}",Random Forest,RandomForestClassifier,"{'bootstrap': 'True', 'ccp_alpha': 0.0, 'class_weight': '', 'criterion': 'entropy', 'max_depth': 10, 'max_features': 'auto', 'max_leaf_nodes': '', 'max_samples': '', 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_jobs': '', 'oob_score': 'False', 'random_state': 42, 'verbose': 0, 'warm_start': 'False'}"
Ensemble-Imbalance,All Features,Balanced Bagging,0.82,0.79,0.85,0.56,0.9,0.84,0.43,BalancedBaggingClassifier,"{'n_estimators': 51, 'random_state': 42, 'sampling_strategy': 'all', 'warm_start': True}",Random Forest,RandomForestClassifier,"{'bootstrap': 'True', 'ccp_alpha': 0.0, 'class_weight': '', 'criterion': 'entropy', 'max_depth': 10, 'max_features': 'auto', 'max_leaf_nodes': '', 'max_samples': '', 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_jobs': '', 'oob_score': 'False', 'random_state': 42, 'verbose': 0, 'warm_start': 'False'}"
Ensemble-Imbalance,All Features,Balanced Bagging,0.82,0.79,0.84,0.56,0.9,0.84,0.43,BalancedBaggingClassifier,"{'n_estimators': 51, 'random_state': 42, 'sampling_strategy': 'all', 'warm_start': False}",Random Forest,RandomForestClassifier,"{'bootstrap': 'True', 'ccp_alpha': 0.0, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 10, 'max_features': 'auto', 'max_leaf_nodes': '', 'max_samples': '', 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 75, 'n_jobs': '', 'oob_score': 'False', 'random_state': 42, 'verbose': 0, 'warm_start': 'False'}"
Ensemble-Imbalance,All Features,Balanced Bagging,0.82,0.79,0.84,0.56,0.9,0.84,0.43,BalancedBaggingClassifier,"{'n_estimators': 51, 'random_state': 42, 'sampling_strategy': 'all', 'warm_start': True}",Random Forest,RandomForestClassifier,"{'bootstrap': 'True', 'ccp_alpha': 0.0, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 10, 'max_features': 'auto', 'max_leaf_nodes': '', 'max_samples': '', 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 75, 'n_jobs': '', 'oob_score': 'False', 'random_state': 42, 'verbose': 0, 'warm_start': 'False'}"
Ensemble-Imbalance,All Features,Balanced Bagging,0.82,0.79,0.84,0.55,0.89,0.83,0.42,BalancedBaggingClassifier,"{'n_estimators': 51, 'random_state': 42, 'sampling_strategy': 'all', 'warm_start': False}",Random Forest,RandomForestClassifier,"{'bootstrap': 'True', 'ccp_alpha': 0.0, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 10, 'max_features': 'auto', 'max_leaf_nodes': '', 'max_samples': '', 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_jobs': '', 'oob_score': 'False', 'random_state': 42, 'verbose': 0, 'warm_start': 'False'}"
Ensemble-Imbalance,All Features,Balanced Bagging,0.82,0.79,0.84,0.55,0.89,0.83,0.42,BalancedBaggingClassifier,"{'n_estimators': 51, 'random_state': 42, 'sampling_strategy': 'all', 'warm_start': True}",Random Forest,RandomForestClassifier,"{'bootstrap': 'True', 'ccp_alpha': 0.0, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 10, 'max_features': 'auto', 'max_leaf_nodes': '', 'max_samples': '', 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_jobs': '', 'oob_score': 'False', 'random_state': 42, 'verbose': 0, 'warm_start': 'False'}"
Ensemble-Imbalance,All Features,Balanced Bagging,0.82,0.79,0.84,0.56,0.89,0.84,0.43,BalancedBaggingClassifier,"{'n_estimators': 75, 'random_state': 42, 'sampling_strategy': 'all', 'warm_start': False}",Random Forest,RandomForestClassifier,"{'bootstrap': 'True', 'ccp_alpha': 0.0, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 10, 'max_features': 'auto', 'max_leaf_nodes': '', 'max_samples': '', 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_jobs': '', 'oob_score': 'False', 'random_state': 42, 'verbose': 0, 'warm_start': 'False'}"
Ensemble-Imbalance,All Features,Balanced Bagging,0.82,0.79,0.84,0.56,0.89,0.84,0.43,BalancedBaggingClassifier,"{'n_estimators': 75, 'random_state': 42, 'sampling_strategy': 'all', 'warm_start': True}",Random Forest,RandomForestClassifier,"{'bootstrap': 'True', 'ccp_alpha': 0.0, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 10, 'max_features': 'auto', 'max_leaf_nodes': '', 'max_samples': '', 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_jobs': '', 'oob_score': 'False', 'random_state': 42, 'verbose': 0, 'warm_start': 'False'}"
Ensemble-Imbalance,All Features,Balanced Bagging,0.82,0.79,0.84,0.56,0.89,0.84,0.43,BalancedBaggingClassifier,"{'n_estimators': 101, 'random_state': 42, 'sampling_strategy': 'all', 'warm_start': False}",Random Forest,RandomForestClassifier,"{'bootstrap': 'True', 'ccp_alpha': 0.0, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 10, 'max_features': 'auto', 'max_leaf_nodes': '', 'max_samples': '', 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_jobs': '', 'oob_score': 'False', 'random_state': 42, 'verbose': 0, 'warm_start': 'False'}"
Ensemble-Imbalance,All Features,Balanced Bagging,0.82,0.79,0.84,0.56,0.89,0.84,0.43,BalancedBaggingClassifier,"{'n_estimators': 101, 'random_state': 42, 'sampling_strategy': 'all', 'warm_start': True}",Random Forest,RandomForestClassifier,"{'bootstrap': 'True', 'ccp_alpha': 0.0, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 10, 'max_features': 'auto', 'max_leaf_nodes': '', 'max_samples': '', 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_jobs': '', 'oob_score': 'False', 'random_state': 42, 'verbose': 0, 'warm_start': 'False'}"
