Dataset,Features,Model,BalAcc,Sens,Spec,f1,AUC,Acc,Prec,Classifier,Hyperparams,Estimator_Desc,Estimator_Class,Estimator_Hyperparams
Ensemble-Imbalance,All Features,Balanced Bagging,0.83,0.82,0.84,0.57,0.9,0.84,0.43,BalancedBaggingClassifier,"{'n_estimators': 75, 'random_state': 42, 'sampling_strategy': 'all', 'warm_start': False}",SVM,SVC,"{'C': 0.5, 'break_ties': 'False', 'cache_size': 200, 'class_weight': 'balanced', 'coef0': 0.0, 'decision_function_shape': 'ovr', 'degree': 3, 'gamma': 'scale', 'kernel': 'rbf', 'max_iter': -1, 'probability': 'True', 'random_state': 42, 'shrinking': 'True', 'tol': 0.001, 'verbose': 'False'}"
Ensemble-Imbalance,All Features,Balanced Bagging,0.83,0.82,0.84,0.57,0.9,0.84,0.43,BalancedBaggingClassifier,"{'n_estimators': 75, 'random_state': 42, 'sampling_strategy': 'all', 'warm_start': True}",SVM,SVC,"{'C': 0.5, 'break_ties': 'False', 'cache_size': 200, 'class_weight': 'balanced', 'coef0': 0.0, 'decision_function_shape': 'ovr', 'degree': 3, 'gamma': 'scale', 'kernel': 'rbf', 'max_iter': -1, 'probability': 'True', 'random_state': 42, 'shrinking': 'True', 'tol': 0.001, 'verbose': 'False'}"
Ensemble-Imbalance,All Features,Balanced Bagging,0.83,0.82,0.84,0.57,0.9,0.84,0.43,BalancedBaggingClassifier,"{'n_estimators': 75, 'random_state': 42, 'sampling_strategy': 'all', 'warm_start': False}",SVM,SVC,"{'C': 0.5, 'break_ties': 'False', 'cache_size': 200, 'class_weight': '', 'coef0': 0.0, 'decision_function_shape': 'ovr', 'degree': 3, 'gamma': 'scale', 'kernel': 'rbf', 'max_iter': -1, 'probability': 'True', 'random_state': 42, 'shrinking': 'True', 'tol': 0.001, 'verbose': 'False'}"
Ensemble-Imbalance,All Features,Balanced Bagging,0.83,0.82,0.84,0.57,0.9,0.84,0.43,BalancedBaggingClassifier,"{'n_estimators': 75, 'random_state': 42, 'sampling_strategy': 'all', 'warm_start': True}",SVM,SVC,"{'C': 0.5, 'break_ties': 'False', 'cache_size': 200, 'class_weight': '', 'coef0': 0.0, 'decision_function_shape': 'ovr', 'degree': 3, 'gamma': 'scale', 'kernel': 'rbf', 'max_iter': -1, 'probability': 'True', 'random_state': 42, 'shrinking': 'True', 'tol': 0.001, 'verbose': 'False'}"
Ensemble-Imbalance,All Features,Balanced Bagging,0.83,0.81,0.85,0.57,0.9,0.84,0.44,BalancedBaggingClassifier,"{'n_estimators': 51, 'random_state': 42, 'sampling_strategy': 'all', 'warm_start': False}",SVM,SVC,"{'C': 0.7, 'break_ties': 'False', 'cache_size': 200, 'class_weight': 'balanced', 'coef0': 0.0, 'decision_function_shape': 'ovr', 'degree': 3, 'gamma': 'scale', 'kernel': 'rbf', 'max_iter': -1, 'probability': 'True', 'random_state': 42, 'shrinking': 'True', 'tol': 0.001, 'verbose': 'False'}"
Ensemble-Imbalance,All Features,Balanced Bagging,0.83,0.81,0.85,0.57,0.9,0.84,0.44,BalancedBaggingClassifier,"{'n_estimators': 51, 'random_state': 42, 'sampling_strategy': 'all', 'warm_start': True}",SVM,SVC,"{'C': 0.7, 'break_ties': 'False', 'cache_size': 200, 'class_weight': 'balanced', 'coef0': 0.0, 'decision_function_shape': 'ovr', 'degree': 3, 'gamma': 'scale', 'kernel': 'rbf', 'max_iter': -1, 'probability': 'True', 'random_state': 42, 'shrinking': 'True', 'tol': 0.001, 'verbose': 'False'}"
Ensemble-Imbalance,All Features,Balanced Bagging,0.83,0.81,0.85,0.57,0.9,0.84,0.44,BalancedBaggingClassifier,"{'n_estimators': 51, 'random_state': 42, 'sampling_strategy': 'majority', 'warm_start': False}",SVM,SVC,"{'C': 0.7, 'break_ties': 'False', 'cache_size': 200, 'class_weight': 'balanced', 'coef0': 0.0, 'decision_function_shape': 'ovr', 'degree': 3, 'gamma': 'scale', 'kernel': 'rbf', 'max_iter': -1, 'probability': 'True', 'random_state': 42, 'shrinking': 'True', 'tol': 0.001, 'verbose': 'False'}"
Ensemble-Imbalance,All Features,Balanced Bagging,0.83,0.81,0.85,0.57,0.9,0.84,0.44,BalancedBaggingClassifier,"{'n_estimators': 51, 'random_state': 42, 'sampling_strategy': 'majority', 'warm_start': True}",SVM,SVC,"{'C': 0.7, 'break_ties': 'False', 'cache_size': 200, 'class_weight': 'balanced', 'coef0': 0.0, 'decision_function_shape': 'ovr', 'degree': 3, 'gamma': 'scale', 'kernel': 'rbf', 'max_iter': -1, 'probability': 'True', 'random_state': 42, 'shrinking': 'True', 'tol': 0.001, 'verbose': 'False'}"
Ensemble-Imbalance,All Features,Balanced Bagging,0.83,0.81,0.85,0.57,0.9,0.84,0.44,BalancedBaggingClassifier,"{'n_estimators': 51, 'random_state': 42, 'sampling_strategy': 'auto', 'warm_start': False}",SVM,SVC,"{'C': 0.7, 'break_ties': 'False', 'cache_size': 200, 'class_weight': 'balanced', 'coef0': 0.0, 'decision_function_shape': 'ovr', 'degree': 3, 'gamma': 'scale', 'kernel': 'rbf', 'max_iter': -1, 'probability': 'True', 'random_state': 42, 'shrinking': 'True', 'tol': 0.001, 'verbose': 'False'}"
Ensemble-Imbalance,All Features,Balanced Bagging,0.83,0.81,0.85,0.57,0.9,0.84,0.44,BalancedBaggingClassifier,"{'n_estimators': 51, 'random_state': 42, 'sampling_strategy': 'auto', 'warm_start': True}",SVM,SVC,"{'C': 0.7, 'break_ties': 'False', 'cache_size': 200, 'class_weight': 'balanced', 'coef0': 0.0, 'decision_function_shape': 'ovr', 'degree': 3, 'gamma': 'scale', 'kernel': 'rbf', 'max_iter': -1, 'probability': 'True', 'random_state': 42, 'shrinking': 'True', 'tol': 0.001, 'verbose': 'False'}"
