Dataset,Features,Model,BalAcc,Sens,Spec,f1,AUC,Acc,Prec,Classifier,Hyperparams,Estimator_Desc,Estimator_Class,Estimator_Hyperparams
Ensemble-Imbalance,All Features,Balanced Bagging,0.79,0.75,0.83,0.51,0.85,0.82,0.39,BalancedBaggingClassifier,"{'n_estimators': 301, 'random_state': 42, 'sampling_strategy': 'all', 'warm_start': False}",k-NN,KNeighborsClassifier,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'manhattan', 'metric_params': '', 'n_jobs': '', 'n_neighbors': 3, 'p': 2, 'weights': 'distance'}"
Ensemble-Imbalance,All Features,Balanced Bagging,0.79,0.75,0.83,0.51,0.85,0.82,0.39,BalancedBaggingClassifier,"{'n_estimators': 301, 'random_state': 42, 'sampling_strategy': 'all', 'warm_start': True}",k-NN,KNeighborsClassifier,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'manhattan', 'metric_params': '', 'n_jobs': '', 'n_neighbors': 3, 'p': 2, 'weights': 'distance'}"
Ensemble-Imbalance,All Features,Balanced Bagging,0.79,0.75,0.83,0.51,0.85,0.82,0.39,BalancedBaggingClassifier,"{'n_estimators': 301, 'random_state': 42, 'sampling_strategy': 'majority', 'warm_start': False}",k-NN,KNeighborsClassifier,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'manhattan', 'metric_params': '', 'n_jobs': '', 'n_neighbors': 3, 'p': 2, 'weights': 'distance'}"
Ensemble-Imbalance,All Features,Balanced Bagging,0.79,0.75,0.83,0.51,0.85,0.82,0.39,BalancedBaggingClassifier,"{'n_estimators': 301, 'random_state': 42, 'sampling_strategy': 'majority', 'warm_start': True}",k-NN,KNeighborsClassifier,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'manhattan', 'metric_params': '', 'n_jobs': '', 'n_neighbors': 3, 'p': 2, 'weights': 'distance'}"
Ensemble-Imbalance,All Features,Balanced Bagging,0.79,0.75,0.83,0.51,0.85,0.82,0.39,BalancedBaggingClassifier,"{'n_estimators': 301, 'random_state': 42, 'sampling_strategy': 'auto', 'warm_start': False}",k-NN,KNeighborsClassifier,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'manhattan', 'metric_params': '', 'n_jobs': '', 'n_neighbors': 3, 'p': 2, 'weights': 'distance'}"
Ensemble-Imbalance,All Features,Balanced Bagging,0.79,0.75,0.83,0.51,0.85,0.82,0.39,BalancedBaggingClassifier,"{'n_estimators': 301, 'random_state': 42, 'sampling_strategy': 'auto', 'warm_start': True}",k-NN,KNeighborsClassifier,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'manhattan', 'metric_params': '', 'n_jobs': '', 'n_neighbors': 3, 'p': 2, 'weights': 'distance'}"
Ensemble-Imbalance,All Features,Balanced Bagging,0.79,0.75,0.83,0.52,0.85,0.82,0.4,BalancedBaggingClassifier,"{'n_estimators': 201, 'random_state': 42, 'sampling_strategy': 'all', 'warm_start': False}",k-NN,KNeighborsClassifier,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'manhattan', 'metric_params': '', 'n_jobs': '', 'n_neighbors': 3, 'p': 2, 'weights': 'uniform'}"
Ensemble-Imbalance,All Features,Balanced Bagging,0.79,0.75,0.83,0.52,0.85,0.82,0.4,BalancedBaggingClassifier,"{'n_estimators': 201, 'random_state': 42, 'sampling_strategy': 'all', 'warm_start': True}",k-NN,KNeighborsClassifier,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'manhattan', 'metric_params': '', 'n_jobs': '', 'n_neighbors': 3, 'p': 2, 'weights': 'uniform'}"
Ensemble-Imbalance,All Features,Balanced Bagging,0.79,0.75,0.83,0.52,0.85,0.82,0.4,BalancedBaggingClassifier,"{'n_estimators': 201, 'random_state': 42, 'sampling_strategy': 'majority', 'warm_start': False}",k-NN,KNeighborsClassifier,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'manhattan', 'metric_params': '', 'n_jobs': '', 'n_neighbors': 3, 'p': 2, 'weights': 'uniform'}"
Ensemble-Imbalance,All Features,Balanced Bagging,0.79,0.75,0.83,0.52,0.85,0.82,0.4,BalancedBaggingClassifier,"{'n_estimators': 201, 'random_state': 42, 'sampling_strategy': 'majority', 'warm_start': True}",k-NN,KNeighborsClassifier,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'manhattan', 'metric_params': '', 'n_jobs': '', 'n_neighbors': 3, 'p': 2, 'weights': 'uniform'}"
