Dataset,Features,Model,BalAcc,Sens,Spec,f1,AUC,Acc,Prec,Classifier,Hyperparams
Single-Model,All Features,k-NN,0.71,0.83,0.58,0.36,0.7,0.61,0.23,RadiusNeighborsClassifier,"{'leaf_size': 50, 'metric': 'euclidean', 'outlier_label': 1, 'radius': 0.7, 'weights': 'uniform'}"
Single-Model,All Features,k-NN,0.71,0.83,0.58,0.36,0.7,0.61,0.23,RadiusNeighborsClassifier,"{'leaf_size': 100, 'metric': 'euclidean', 'outlier_label': 1, 'radius': 0.7, 'weights': 'uniform'}"
Single-Model,All Features,k-NN,0.71,0.83,0.58,0.36,0.7,0.61,0.23,RadiusNeighborsClassifier,"{'leaf_size': 200, 'metric': 'euclidean', 'outlier_label': 1, 'radius': 0.7, 'weights': 'uniform'}"
Single-Model,All Features,k-NN,0.71,0.81,0.61,0.37,0.71,0.64,0.24,RadiusNeighborsClassifier,"{'leaf_size': 50, 'metric': 'manhattan', 'outlier_label': 1, 'radius': 1.0, 'weights': 'uniform'}"
Single-Model,All Features,k-NN,0.71,0.81,0.61,0.37,0.71,0.64,0.24,RadiusNeighborsClassifier,"{'leaf_size': 100, 'metric': 'manhattan', 'outlier_label': 1, 'radius': 1.0, 'weights': 'uniform'}"
Single-Model,All Features,k-NN,0.71,0.81,0.61,0.37,0.71,0.64,0.24,RadiusNeighborsClassifier,"{'leaf_size': 200, 'metric': 'manhattan', 'outlier_label': 1, 'radius': 1.0, 'weights': 'uniform'}"
Single-Model,All Features,k-NN,0.71,0.81,0.6,0.36,0.71,0.63,0.23,RadiusNeighborsClassifier,"{'leaf_size': 50, 'metric': 'manhattan', 'outlier_label': 1, 'radius': 1.0, 'weights': 'distance'}"
Single-Model,All Features,k-NN,0.71,0.81,0.6,0.36,0.71,0.63,0.23,RadiusNeighborsClassifier,"{'leaf_size': 100, 'metric': 'manhattan', 'outlier_label': 1, 'radius': 1.0, 'weights': 'distance'}"
Single-Model,All Features,k-NN,0.71,0.81,0.6,0.36,0.71,0.63,0.23,RadiusNeighborsClassifier,"{'leaf_size': 200, 'metric': 'manhattan', 'outlier_label': 1, 'radius': 1.0, 'weights': 'distance'}"
Single-Model,All Features,k-NN,0.7,0.83,0.57,0.35,0.7,0.61,0.22,RadiusNeighborsClassifier,"{'leaf_size': 50, 'metric': 'euclidean', 'outlier_label': 1, 'radius': 0.7, 'weights': 'distance'}"
Single-Model,All Features,k-NN,0.7,0.83,0.57,0.35,0.7,0.61,0.22,RadiusNeighborsClassifier,"{'leaf_size': 100, 'metric': 'euclidean', 'outlier_label': 1, 'radius': 0.7, 'weights': 'distance'}"
Single-Model,All Features,k-NN,0.7,0.83,0.57,0.35,0.7,0.61,0.22,RadiusNeighborsClassifier,"{'leaf_size': 200, 'metric': 'euclidean', 'outlier_label': 1, 'radius': 0.7, 'weights': 'distance'}"
Single-Model,All Features,k-NN,0.69,0.55,0.83,0.41,0.7,0.79,0.32,RadiusNeighborsClassifier,"{'leaf_size': 50, 'metric': 'euclidean', 'outlier_label': 1, 'radius': 1.0, 'weights': 'distance'}"
Single-Model,All Features,k-NN,0.69,0.55,0.83,0.41,0.7,0.79,0.32,RadiusNeighborsClassifier,"{'leaf_size': 100, 'metric': 'euclidean', 'outlier_label': 1, 'radius': 1.0, 'weights': 'distance'}"
Single-Model,All Features,k-NN,0.69,0.55,0.83,0.41,0.7,0.79,0.32,RadiusNeighborsClassifier,"{'leaf_size': 200, 'metric': 'euclidean', 'outlier_label': 1, 'radius': 1.0, 'weights': 'distance'}"
Single-Model,All Features,k-NN,0.68,0.53,0.84,0.4,0.7,0.8,0.33,RadiusNeighborsClassifier,"{'leaf_size': 50, 'metric': 'euclidean', 'outlier_label': 1, 'radius': 1.0, 'weights': 'uniform'}"
Single-Model,All Features,k-NN,0.68,0.53,0.84,0.4,0.7,0.8,0.33,RadiusNeighborsClassifier,"{'leaf_size': 100, 'metric': 'euclidean', 'outlier_label': 1, 'radius': 1.0, 'weights': 'uniform'}"
Single-Model,All Features,k-NN,0.68,0.53,0.84,0.4,0.7,0.8,0.33,RadiusNeighborsClassifier,"{'leaf_size': 200, 'metric': 'euclidean', 'outlier_label': 1, 'radius': 1.0, 'weights': 'uniform'}"
Single-Model,All Features,k-NN,0.67,0.9,0.44,0.32,0.67,0.5,0.19,RadiusNeighborsClassifier,"{'leaf_size': 50, 'metric': 'manhattan', 'outlier_label': 1, 'radius': 0.7, 'weights': 'uniform'}"
Single-Model,All Features,k-NN,0.67,0.9,0.44,0.31,0.67,0.49,0.19,RadiusNeighborsClassifier,"{'leaf_size': 50, 'metric': 'manhattan', 'outlier_label': 1, 'radius': 0.7, 'weights': 'distance'}"
Single-Model,All Features,k-NN,0.67,0.9,0.44,0.32,0.67,0.5,0.19,RadiusNeighborsClassifier,"{'leaf_size': 100, 'metric': 'manhattan', 'outlier_label': 1, 'radius': 0.7, 'weights': 'uniform'}"
Single-Model,All Features,k-NN,0.67,0.9,0.44,0.31,0.67,0.49,0.19,RadiusNeighborsClassifier,"{'leaf_size': 100, 'metric': 'manhattan', 'outlier_label': 1, 'radius': 0.7, 'weights': 'distance'}"
Single-Model,All Features,k-NN,0.67,0.9,0.44,0.32,0.67,0.5,0.19,RadiusNeighborsClassifier,"{'leaf_size': 200, 'metric': 'manhattan', 'outlier_label': 1, 'radius': 0.7, 'weights': 'uniform'}"
Single-Model,All Features,k-NN,0.67,0.9,0.44,0.31,0.67,0.49,0.19,RadiusNeighborsClassifier,"{'leaf_size': 200, 'metric': 'manhattan', 'outlier_label': 1, 'radius': 0.7, 'weights': 'distance'}"
Single-Model,All Features,k-NN,0.66,0.9,0.43,0.31,0.66,0.49,0.19,RadiusNeighborsClassifier,"{'leaf_size': 50, 'metric': 'euclidean', 'outlier_label': 1, 'radius': 0.5, 'weights': 'uniform'}"
