Scenario,Features,Model,balanced_accuracy,sensitivity,specificity,f1_score,AUC,accuracy,precision,Model_Class,Hyperparams,Estimator,Estimator_Class,Estimator_Hyperparams,fit_time,train_balanced_accuracy,train_sensitivity,train_specificity,train_f1_score,train_AUC,train_accuracy,train_precision
Single_Model,without_Diagnosis_Delay,k-NN,0.62,0.28,0.95,0.34,0.74,0.87,0.45,KNeighborsClassifier,"{'metric':'euclidean','n_neighbors':3,'weights':'distance'}",,,,0.01,0.63,0.31,0.96,0.38,0.72,0.87,0.5
Single_Model,without_Diagnosis_Delay,k-NN,0.64,0.32,0.96,0.39,0.75,0.88,0.52,KNeighborsClassifier,"{'metric':'manhattan','n_neighbors':3,'weights':'uniform'}",,,,0.03,0.63,0.29,0.97,0.38,0.74,0.88,0.57
Single_Model,without_Diagnosis_Delay,k-NN,0.62,0.28,0.96,0.35,0.73,0.88,0.46,KNeighborsClassifier,"{'metric':'euclidean','n_neighbors':3,'weights':'uniform'}",,,,0.05,0.63,0.29,0.96,0.38,0.73,0.88,0.54
Single_Model,without_Diagnosis_Delay,k-NN,0.64,0.32,0.96,0.39,0.76,0.88,0.5,KNeighborsClassifier,"{'metric':'manhattan','n_neighbors':3,'weights':'distance'}",,,,0.02,0.63,0.3,0.95,0.37,0.73,0.87,0.49
Single_Model,without_Diagnosis_Delay,k-NN,0.63,0.28,0.98,0.38,0.78,0.89,0.62,KNeighborsClassifier,"{'metric':'manhattan','n_neighbors':5,'weights':'uniform'}",,,,0.03,0.62,0.25,0.98,0.36,0.76,0.89,0.67
Single_Model,without_Diagnosis_Delay,k-NN,0.63,0.3,0.97,0.39,0.79,0.89,0.56,KNeighborsClassifier,"{'metric':'manhattan','n_neighbors':5,'weights':'distance'}",,,,0.02,0.62,0.27,0.97,0.36,0.75,0.88,0.54
Single_Model,without_Diagnosis_Delay,k-NN,0.6,0.23,0.96,0.31,0.79,0.88,0.46,KNeighborsClassifier,"{'metric':'euclidean','n_neighbors':5,'weights':'distance'}",,,,0.01,0.61,0.25,0.97,0.35,0.74,0.88,0.58
Single_Model,without_Diagnosis_Delay,k-NN,0.6,0.23,0.97,0.32,0.78,0.88,0.5,KNeighborsClassifier,"{'metric':'euclidean','n_neighbors':5,'weights':'uniform'}",,,,0.02,0.61,0.23,0.98,0.34,0.74,0.88,0.66
Single_Model,without_Diagnosis_Delay,k-NN,0.62,0.26,0.98,0.36,0.82,0.89,0.6,KNeighborsClassifier,"{'metric':'manhattan','n_neighbors':9,'weights':'distance'}",,,,0.02,0.61,0.24,0.97,0.33,0.77,0.88,0.57
Single_Model,without_Diagnosis_Delay,k-NN,0.61,0.23,0.98,0.34,0.82,0.89,0.65,KNeighborsClassifier,"{'metric':'manhattan','n_neighbors':9,'weights':'uniform'}",,,,0.04,0.6,0.22,0.98,0.32,0.78,0.89,0.66
Single_Model,without_Diagnosis_Delay,k-NN,0.6,0.21,0.98,0.31,0.81,0.89,0.59,KNeighborsClassifier,"{'metric':'euclidean','n_neighbors':9,'weights':'distance'}",,,,0.01,0.59,0.2,0.98,0.3,0.78,0.88,0.62
Single_Model,without_Diagnosis_Delay,k-NN,0.59,0.19,0.98,0.29,0.84,0.89,0.56,KNeighborsClassifier,"{'metric':'manhattan','n_neighbors':15,'weights':'distance'}",,,,0.03,0.59,0.19,0.98,0.29,0.79,0.88,0.63
