Scenario,Features,Model,balanced_accuracy,sensitivity,specificity,f1_score,AUC,accuracy,precision,Model_Class,Hyperparams,Estimator,Estimator_Class,Estimator_Hyperparams,fit_time,train_balanced_accuracy,train_sensitivity,train_specificity,train_f1_score,train_AUC,train_accuracy,train_precision
Single_Model,All_Features,k-NN,0.72,0.81,0.63,0.36,0.73,0.65,0.23,RadiusNeighborsClassifier,"{'leaf_size':100,'metric':'manhattan','outlier_label':1,'radius':1.0,'weights':'uniform'}",,,,0.03,0.71,0.81,0.6,0.36,0.7,0.63,0.23
Single_Model,All_Features,k-NN,0.72,0.81,0.63,0.36,0.73,0.65,0.23,RadiusNeighborsClassifier,"{'leaf_size':500,'metric':'manhattan','outlier_label':1,'radius':1.0,'weights':'uniform'}",,,,0.03,0.71,0.81,0.6,0.36,0.7,0.63,0.23
Single_Model,All_Features,k-NN,0.72,0.81,0.63,0.36,0.73,0.65,0.23,RadiusNeighborsClassifier,"{'leaf_size':50,'metric':'manhattan','outlier_label':1,'radius':1.0,'weights':'uniform'}",,,,0.03,0.71,0.81,0.6,0.36,0.7,0.63,0.23
Single_Model,All_Features,k-NN,0.72,0.81,0.63,0.36,0.73,0.65,0.23,RadiusNeighborsClassifier,"{'leaf_size':300,'metric':'manhattan','outlier_label':1,'radius':1.0,'weights':'uniform'}",,,,0.03,0.71,0.81,0.6,0.36,0.7,0.63,0.23
Single_Model,All_Features,k-NN,0.72,0.81,0.63,0.36,0.73,0.65,0.23,RadiusNeighborsClassifier,"{'leaf_size':200,'metric':'manhattan','outlier_label':1,'radius':1.0,'weights':'uniform'}",,,,0.03,0.71,0.81,0.6,0.36,0.7,0.63,0.23
Single_Model,All_Features,k-NN,0.73,0.83,0.63,0.36,0.74,0.65,0.23,RadiusNeighborsClassifier,"{'leaf_size':300,'metric':'manhattan','outlier_label':1,'radius':1.0,'weights':'distance'}",,,,0.03,0.7,0.82,0.59,0.36,0.7,0.62,0.23
Single_Model,All_Features,k-NN,0.73,0.83,0.63,0.36,0.74,0.65,0.23,RadiusNeighborsClassifier,"{'leaf_size':500,'metric':'manhattan','outlier_label':1,'radius':1.0,'weights':'distance'}",,,,0.03,0.7,0.82,0.59,0.36,0.7,0.62,0.23
Single_Model,All_Features,k-NN,0.73,0.83,0.63,0.36,0.74,0.65,0.23,RadiusNeighborsClassifier,"{'leaf_size':200,'metric':'manhattan','outlier_label':1,'radius':1.0,'weights':'distance'}",,,,0.03,0.7,0.82,0.59,0.36,0.7,0.62,0.23
Single_Model,All_Features,k-NN,0.73,0.83,0.63,0.36,0.74,0.65,0.23,RadiusNeighborsClassifier,"{'leaf_size':50,'metric':'manhattan','outlier_label':1,'radius':1.0,'weights':'distance'}",,,,0.03,0.7,0.82,0.59,0.36,0.7,0.62,0.23
Single_Model,All_Features,k-NN,0.73,0.83,0.63,0.36,0.74,0.65,0.23,RadiusNeighborsClassifier,"{'leaf_size':100,'metric':'manhattan','outlier_label':1,'radius':1.0,'weights':'distance'}",,,,0.04,0.7,0.82,0.59,0.36,0.7,0.62,0.23
Single_Model,All_Features,k-NN,0.74,0.85,0.62,0.37,0.74,0.65,0.23,RadiusNeighborsClassifier,"{'leaf_size':100,'metric':'euclidean','outlier_label':1,'radius':0.7,'weights':'uniform'}",,,,0.01,0.7,0.83,0.56,0.35,0.69,0.6,0.22
Single_Model,All_Features,k-NN,0.74,0.85,0.62,0.37,0.74,0.65,0.23,RadiusNeighborsClassifier,"{'leaf_size':200,'metric':'euclidean','outlier_label':1,'radius':0.7,'weights':'uniform'}",,,,0.01,0.7,0.83,0.56,0.35,0.69,0.6,0.22
Single_Model,All_Features,k-NN,0.74,0.85,0.62,0.37,0.74,0.65,0.23,RadiusNeighborsClassifier,"{'leaf_size':500,'metric':'euclidean','outlier_label':1,'radius':0.7,'weights':'uniform'}",,,,0.01,0.7,0.83,0.56,0.35,0.69,0.6,0.22
Single_Model,All_Features,k-NN,0.74,0.85,0.62,0.37,0.74,0.65,0.23,RadiusNeighborsClassifier,"{'leaf_size':300,'metric':'euclidean','outlier_label':1,'radius':0.7,'weights':'uniform'}",,,,0.01,0.7,0.83,0.56,0.35,0.69,0.6,0.22
Single_Model,All_Features,k-NN,0.74,0.85,0.62,0.37,0.74,0.65,0.23,RadiusNeighborsClassifier,"{'leaf_size':50,'metric':'euclidean','outlier_label':1,'radius':0.7,'weights':'uniform'}",,,,0.01,0.7,0.83,0.56,0.35,0.69,0.6,0.22
Single_Model,All_Features,k-NN,0.71,0.57,0.84,0.42,0.77,0.81,0.33,RadiusNeighborsClassifier,"{'leaf_size':500,'metric':'euclidean','outlier_label':1,'radius':1.0,'weights':'distance'}",,,,0.02,0.7,0.57,0.82,0.41,0.72,0.79,0.32
Single_Model,All_Features,k-NN,0.71,0.57,0.84,0.42,0.77,0.81,0.33,RadiusNeighborsClassifier,"{'leaf_size':100,'metric':'euclidean','outlier_label':1,'radius':1.0,'weights':'distance'}",,,,0.02,0.7,0.57,0.82,0.41,0.72,0.79,0.32
Single_Model,All_Features,k-NN,0.71,0.57,0.84,0.42,0.77,0.81,0.33,RadiusNeighborsClassifier,"{'leaf_size':200,'metric':'euclidean','outlier_label':1,'radius':1.0,'weights':'distance'}",,,,0.02,0.7,0.57,0.82,0.41,0.72,0.79,0.32
Single_Model,All_Features,k-NN,0.71,0.57,0.84,0.42,0.77,0.81,0.33,RadiusNeighborsClassifier,"{'leaf_size':300,'metric':'euclidean','outlier_label':1,'radius':1.0,'weights':'distance'}",,,,0.02,0.7,0.57,0.82,0.41,0.72,0.79,0.32
Single_Model,All_Features,k-NN,0.71,0.57,0.84,0.42,0.77,0.81,0.33,RadiusNeighborsClassifier,"{'leaf_size':50,'metric':'euclidean','outlier_label':1,'radius':1.0,'weights':'distance'}",,,,0.02,0.7,0.57,0.82,0.41,0.72,0.79,0.32
Single_Model,All_Features,k-NN,0.74,0.85,0.62,0.37,0.74,0.65,0.23,RadiusNeighborsClassifier,"{'leaf_size':300,'metric':'euclidean','outlier_label':1,'radius':0.7,'weights':'distance'}",,,,0.02,0.7,0.84,0.56,0.35,0.69,0.59,0.22
Single_Model,All_Features,k-NN,0.74,0.85,0.62,0.37,0.74,0.65,0.23,RadiusNeighborsClassifier,"{'leaf_size':100,'metric':'euclidean','outlier_label':1,'radius':0.7,'weights':'distance'}",,,,0.02,0.7,0.84,0.56,0.35,0.69,0.59,0.22
Single_Model,All_Features,k-NN,0.74,0.85,0.62,0.37,0.74,0.65,0.23,RadiusNeighborsClassifier,"{'leaf_size':500,'metric':'euclidean','outlier_label':1,'radius':0.7,'weights':'distance'}",,,,0.02,0.7,0.84,0.56,0.35,0.69,0.59,0.22
Single_Model,All_Features,k-NN,0.74,0.85,0.62,0.37,0.74,0.65,0.23,RadiusNeighborsClassifier,"{'leaf_size':50,'metric':'euclidean','outlier_label':1,'radius':0.7,'weights':'distance'}",,,,0.02,0.7,0.84,0.56,0.35,0.69,0.59,0.22
Single_Model,All_Features,k-NN,0.74,0.85,0.62,0.37,0.74,0.65,0.23,RadiusNeighborsClassifier,"{'leaf_size':200,'metric':'euclidean','outlier_label':1,'radius':0.7,'weights':'distance'}",,,,0.02,0.7,0.84,0.56,0.35,0.69,0.59,0.22
Single_Model,All_Features,k-NN,0.68,0.51,0.85,0.39,0.76,0.81,0.32,RadiusNeighborsClassifier,"{'leaf_size':100,'metric':'euclidean','outlier_label':1,'radius':1.0,'weights':'uniform'}",,,,0.01,0.69,0.55,0.83,0.41,0.71,0.79,0.32
Single_Model,All_Features,k-NN,0.68,0.51,0.85,0.39,0.76,0.81,0.32,RadiusNeighborsClassifier,"{'leaf_size':50,'metric':'euclidean','outlier_label':1,'radius':1.0,'weights':'uniform'}",,,,0.01,0.69,0.55,0.83,0.41,0.71,0.79,0.32
Single_Model,All_Features,k-NN,0.68,0.51,0.85,0.39,0.76,0.81,0.32,RadiusNeighborsClassifier,"{'leaf_size':200,'metric':'euclidean','outlier_label':1,'radius':1.0,'weights':'uniform'}",,,,0.01,0.69,0.55,0.83,0.41,0.71,0.79,0.32
Single_Model,All_Features,k-NN,0.68,0.51,0.85,0.39,0.76,0.81,0.32,RadiusNeighborsClassifier,"{'leaf_size':500,'metric':'euclidean','outlier_label':1,'radius':1.0,'weights':'uniform'}",,,,0.01,0.69,0.55,0.83,0.41,0.71,0.79,0.32
Single_Model,All_Features,k-NN,0.68,0.51,0.85,0.39,0.76,0.81,0.32,RadiusNeighborsClassifier,"{'leaf_size':300,'metric':'euclidean','outlier_label':1,'radius':1.0,'weights':'uniform'}",,,,0.01,0.69,0.55,0.83,0.41,0.71,0.79,0.32
Single_Model,All_Features,k-NN,0.7,0.96,0.45,0.32,0.71,0.51,0.19,RadiusNeighborsClassifier,"{'leaf_size':50,'metric':'manhattan','outlier_label':1,'radius':0.7,'weights':'uniform'}",,,,0.03,0.66,0.9,0.42,0.31,0.66,0.48,0.19
Single_Model,All_Features,k-NN,0.7,0.96,0.45,0.32,0.71,0.51,0.19,RadiusNeighborsClassifier,"{'leaf_size':100,'metric':'manhattan','outlier_label':1,'radius':0.7,'weights':'uniform'}",,,,0.03,0.66,0.9,0.42,0.31,0.66,0.48,0.19
Single_Model,All_Features,k-NN,0.7,0.96,0.45,0.32,0.71,0.51,0.19,RadiusNeighborsClassifier,"{'leaf_size':300,'metric':'manhattan','outlier_label':1,'radius':0.7,'weights':'uniform'}",,,,0.03,0.66,0.9,0.42,0.31,0.66,0.48,0.19
Single_Model,All_Features,k-NN,0.7,0.96,0.45,0.32,0.71,0.51,0.19,RadiusNeighborsClassifier,"{'leaf_size':500,'metric':'manhattan','outlier_label':1,'radius':0.7,'weights':'uniform'}",,,,0.03,0.66,0.9,0.42,0.31,0.66,0.48,0.19
Single_Model,All_Features,k-NN,0.7,0.96,0.45,0.32,0.71,0.51,0.19,RadiusNeighborsClassifier,"{'leaf_size':200,'metric':'manhattan','outlier_label':1,'radius':0.7,'weights':'uniform'}",,,,0.03,0.66,0.9,0.42,0.31,0.66,0.48,0.19
Single_Model,All_Features,k-NN,0.7,0.96,0.45,0.32,0.71,0.51,0.19,RadiusNeighborsClassifier,"{'leaf_size':100,'metric':'euclidean','outlier_label':1,'radius':0.5,'weights':'distance'}",,,,0.01,0.66,0.91,0.41,0.31,0.66,0.47,0.19
Single_Model,All_Features,k-NN,0.7,0.96,0.45,0.32,0.71,0.51,0.19,RadiusNeighborsClassifier,"{'leaf_size':300,'metric':'euclidean','outlier_label':1,'radius':0.5,'weights':'distance'}",,,,0.02,0.66,0.91,0.41,0.31,0.66,0.47,0.19
Single_Model,All_Features,k-NN,0.7,0.96,0.45,0.32,0.71,0.51,0.19,RadiusNeighborsClassifier,"{'leaf_size':50,'metric':'euclidean','outlier_label':1,'radius':0.5,'weights':'distance'}",,,,0.02,0.66,0.91,0.41,0.31,0.66,0.47,0.19
Single_Model,All_Features,k-NN,0.7,0.96,0.45,0.32,0.71,0.51,0.19,RadiusNeighborsClassifier,"{'leaf_size':500,'metric':'euclidean','outlier_label':1,'radius':0.5,'weights':'distance'}",,,,0.02,0.66,0.91,0.41,0.31,0.66,0.47,0.19
Single_Model,All_Features,k-NN,0.7,0.96,0.45,0.32,0.71,0.51,0.19,RadiusNeighborsClassifier,"{'leaf_size':200,'metric':'euclidean','outlier_label':1,'radius':0.5,'weights':'distance'}",,,,0.02,0.66,0.91,0.41,0.31,0.66,0.47,0.19
Single_Model,All_Features,k-NN,0.7,0.96,0.45,0.32,0.71,0.51,0.19,RadiusNeighborsClassifier,"{'leaf_size':200,'metric':'manhattan','outlier_label':1,'radius':0.7,'weights':'distance'}",,,,0.03,0.66,0.9,0.42,0.31,0.66,0.48,0.19
Single_Model,All_Features,k-NN,0.7,0.96,0.45,0.32,0.71,0.51,0.19,RadiusNeighborsClassifier,"{'leaf_size':50,'metric':'manhattan','outlier_label':1,'radius':0.7,'weights':'distance'}",,,,0.03,0.66,0.9,0.42,0.31,0.66,0.48,0.19
Single_Model,All_Features,k-NN,0.7,0.96,0.45,0.32,0.71,0.51,0.19,RadiusNeighborsClassifier,"{'leaf_size':500,'metric':'manhattan','outlier_label':1,'radius':0.7,'weights':'distance'}",,,,0.03,0.66,0.9,0.42,0.31,0.66,0.48,0.19
Single_Model,All_Features,k-NN,0.7,0.96,0.45,0.32,0.71,0.51,0.19,RadiusNeighborsClassifier,"{'leaf_size':300,'metric':'manhattan','outlier_label':1,'radius':0.7,'weights':'distance'}",,,,0.03,0.66,0.9,0.42,0.31,0.66,0.48,0.19
Single_Model,All_Features,k-NN,0.7,0.96,0.45,0.32,0.71,0.51,0.19,RadiusNeighborsClassifier,"{'leaf_size':100,'metric':'manhattan','outlier_label':1,'radius':0.7,'weights':'distance'}",,,,0.04,0.66,0.9,0.42,0.31,0.66,0.48,0.19
Single_Model,All_Features,k-NN,0.7,0.96,0.45,0.32,0.71,0.51,0.19,RadiusNeighborsClassifier,"{'leaf_size':100,'metric':'euclidean','outlier_label':1,'radius':0.5,'weights':'uniform'}",,,,0.01,0.66,0.9,0.41,0.31,0.66,0.48,0.19
Single_Model,All_Features,k-NN,0.7,0.96,0.45,0.32,0.71,0.51,0.19,RadiusNeighborsClassifier,"{'leaf_size':500,'metric':'euclidean','outlier_label':1,'radius':0.5,'weights':'uniform'}",,,,0.01,0.66,0.9,0.41,0.31,0.66,0.48,0.19
Single_Model,All_Features,k-NN,0.7,0.96,0.45,0.32,0.71,0.51,0.19,RadiusNeighborsClassifier,"{'leaf_size':300,'metric':'euclidean','outlier_label':1,'radius':0.5,'weights':'uniform'}",,,,0.01,0.66,0.9,0.41,0.31,0.66,0.48,0.19
Single_Model,All_Features,k-NN,0.7,0.96,0.45,0.32,0.71,0.51,0.19,RadiusNeighborsClassifier,"{'leaf_size':50,'metric':'euclidean','outlier_label':1,'radius':0.5,'weights':'uniform'}",,,,0.01,0.66,0.9,0.41,0.31,0.66,0.48,0.19
Single_Model,All_Features,k-NN,0.7,0.96,0.45,0.32,0.71,0.51,0.19,RadiusNeighborsClassifier,"{'leaf_size':200,'metric':'euclidean','outlier_label':1,'radius':0.5,'weights':'uniform'}",,,,0.01,0.66,0.9,0.41,0.31,0.66,0.48,0.19
Single_Model,All_Features,k-NN,0.68,0.96,0.41,0.3,0.69,0.47,0.18,RadiusNeighborsClassifier,"{'leaf_size':50,'metric':'manhattan','outlier_label':1,'radius':0.5,'weights':'uniform'}",,,,0.03,0.64,0.92,0.37,0.3,0.64,0.44,0.18
Single_Model,All_Features,k-NN,0.68,0.96,0.41,0.3,0.69,0.47,0.18,RadiusNeighborsClassifier,"{'leaf_size':300,'metric':'manhattan','outlier_label':1,'radius':0.5,'weights':'uniform'}",,,,0.03,0.64,0.92,0.37,0.3,0.64,0.44,0.18
Single_Model,All_Features,k-NN,0.68,0.96,0.41,0.3,0.69,0.47,0.18,RadiusNeighborsClassifier,"{'leaf_size':500,'metric':'manhattan','outlier_label':1,'radius':0.5,'weights':'uniform'}",,,,0.03,0.64,0.92,0.37,0.3,0.64,0.44,0.18
Single_Model,All_Features,k-NN,0.68,0.96,0.41,0.3,0.69,0.47,0.18,RadiusNeighborsClassifier,"{'leaf_size':100,'metric':'manhattan','outlier_label':1,'radius':0.5,'weights':'uniform'}",,,,0.03,0.64,0.92,0.37,0.3,0.64,0.44,0.18
Single_Model,All_Features,k-NN,0.68,0.96,0.41,0.3,0.69,0.47,0.18,RadiusNeighborsClassifier,"{'leaf_size':200,'metric':'manhattan','outlier_label':1,'radius':0.5,'weights':'uniform'}",,,,0.03,0.64,0.92,0.37,0.3,0.64,0.44,0.18
