Dataset,Features,Model,BalAcc,Sens,Spec,f1,AUC,Acc,Prec,Classifier,Hyperparams,Estimator_Desc,Estimator_Class,Estimator_Hyperparams
Ensemble-Imbalance,All Features,Balanced Bagging,0.82,0.81,0.83,0.54,0.89,0.82,0.41,BalancedBaggingClassifier,"{'estimator': SVC(C=0.3, gamma='auto', probability=True, random_state=42), 'n_estimators': 3, 'random_state': 42, 'sampling_strategy': 'all', 'warm_start': False}",SVM,SVC,"{'C': '0.3', 'gamma': 'auto', 'probability': 'True', 'random_state': '42'}"
Ensemble-Imbalance,All Features,Balanced Bagging,0.82,0.81,0.83,0.54,0.89,0.82,0.41,BalancedBaggingClassifier,"{'estimator': SVC(C=0.3, gamma='auto', probability=True, random_state=42), 'n_estimators': 3, 'random_state': 42, 'sampling_strategy': 'majority', 'warm_start': False}",SVM,SVC,"{'C': '0.3', 'gamma': 'auto', 'probability': 'True', 'random_state': '42'}"
Ensemble-Imbalance,All Features,Balanced Bagging,0.82,0.81,0.83,0.54,0.89,0.82,0.41,BalancedBaggingClassifier,"{'estimator': SVC(C=0.3, gamma='auto', probability=True, random_state=42), 'n_estimators': 3, 'random_state': 42, 'sampling_strategy': 'auto', 'warm_start': False}",SVM,SVC,"{'C': '0.3', 'gamma': 'auto', 'probability': 'True', 'random_state': '42'}"
Ensemble-Imbalance,All Features,Balanced Bagging,0.82,0.79,0.85,0.57,0.9,0.84,0.45,BalancedBaggingClassifier,"{'estimator': SVC(C=0.3, gamma='auto', kernel='linear', probability=True, random_state=42), 'n_estimators': 3, 'random_state': 42, 'sampling_strategy': 'all', 'warm_start': False}",SVM,SVC,"{'C': '0.3', 'gamma': 'auto', 'kernel': 'linear', 'probability': 'True', 'random_state': '42'}"
Ensemble-Imbalance,All Features,Balanced Bagging,0.82,0.79,0.85,0.57,0.9,0.84,0.45,BalancedBaggingClassifier,"{'estimator': SVC(C=0.3, gamma='auto', kernel='linear', probability=True, random_state=42), 'n_estimators': 3, 'random_state': 42, 'sampling_strategy': 'majority', 'warm_start': False}",SVM,SVC,"{'C': '0.3', 'gamma': 'auto', 'kernel': 'linear', 'probability': 'True', 'random_state': '42'}"
Ensemble-Imbalance,All Features,Balanced Bagging,0.82,0.79,0.85,0.57,0.9,0.84,0.45,BalancedBaggingClassifier,"{'estimator': SVC(C=0.3, gamma='auto', kernel='linear', probability=True, random_state=42), 'n_estimators': 3, 'random_state': 42, 'sampling_strategy': 'auto', 'warm_start': False}",SVM,SVC,"{'C': '0.3', 'gamma': 'auto', 'kernel': 'linear', 'probability': 'True', 'random_state': '42'}"
Ensemble-Imbalance,All Features,Balanced Bagging,0.81,0.78,0.84,0.54,0.89,0.83,0.42,BalancedBaggingClassifier,"{'estimator': ComplementNB(alpha=0.1), 'n_estimators': 3, 'random_state': 42, 'sampling_strategy': 'all', 'warm_start': False}",Naïve Bayes,ComplementNB,{'alpha': '0.1'}
Ensemble-Imbalance,All Features,Balanced Bagging,0.81,0.78,0.84,0.54,0.89,0.83,0.42,BalancedBaggingClassifier,"{'estimator': ComplementNB(alpha=0.1), 'n_estimators': 3, 'random_state': 42, 'sampling_strategy': 'majority', 'warm_start': False}",Naïve Bayes,ComplementNB,{'alpha': '0.1'}
Ensemble-Imbalance,All Features,Balanced Bagging,0.81,0.78,0.84,0.54,0.89,0.83,0.42,BalancedBaggingClassifier,"{'estimator': ComplementNB(alpha=0.1), 'n_estimators': 3, 'random_state': 42, 'sampling_strategy': 'auto', 'warm_start': False}",Naïve Bayes,ComplementNB,{'alpha': '0.1'}
Ensemble-Imbalance,All Features,Balanced Bagging,0.81,0.78,0.84,0.55,0.9,0.84,0.43,BalancedBaggingClassifier,"{'estimator': SVC(C=0.1, gamma='auto', kernel='linear', probability=True, random_state=42), 'n_estimators': 3, 'random_state': 42, 'sampling_strategy': 'all', 'warm_start': False}",SVM,SVC,"{'C': '0.1', 'gamma': 'auto', 'kernel': 'linear', 'probability': 'True', 'random_state': '42'}"
