Scenario,Features,Model,balanced_accuracy,sensitivity,specificity,f1_score,AUC,accuracy,precision,Model_Class,Hyperparams,Estimator,Estimator_Class,Estimator_Hyperparams,fit_time,train_balanced_accuracy,train_sensitivity,train_specificity,train_f1_score,train_AUC,train_accuracy,train_precision
Single_Model,All_Features,Random Forest,0.76,0.55,0.97,0.61,0.91,0.92,0.68,RandomForestClassifier,"{'class_weight':None,'criterion':'entropy','max_depth':10,'n_estimators':11,'random_state':42}",,,,0.01,0.66,0.35,0.97,0.45,0.87,0.89,0.63
Single_Model,All_Features,Random Forest,0.75,0.53,0.97,0.6,0.91,0.91,0.68,RandomForestClassifier,"{'class_weight':None,'criterion':'entropy','max_depth':10,'n_estimators':15,'random_state':42}",,,,0.01,0.66,0.34,0.97,0.45,0.88,0.89,0.66
Single_Model,All_Features,Random Forest,0.74,0.51,0.97,0.59,0.92,0.92,0.71,RandomForestClassifier,"{'class_weight':None,'criterion':'entropy','max_depth':10,'n_estimators':21,'random_state':42}",,,,0.01,0.65,0.34,0.97,0.44,0.88,0.89,0.66
Single_Model,All_Features,Random Forest,0.71,0.47,0.96,0.52,0.9,0.9,0.59,RandomForestClassifier,"{'class_weight':None,'criterion':'gini','max_depth':15,'n_estimators':11,'random_state':42}",,,,0.01,0.66,0.37,0.96,0.45,0.86,0.89,0.6
Single_Model,All_Features,Random Forest,0.71,0.45,0.97,0.54,0.91,0.91,0.68,RandomForestClassifier,"{'class_weight':None,'criterion':'gini','max_depth':10,'n_estimators':21,'random_state':42}",,,,0.01,0.66,0.36,0.97,0.46,0.88,0.89,0.65
Single_Model,All_Features,Random Forest,0.71,0.45,0.97,0.54,0.91,0.91,0.68,RandomForestClassifier,"{'class_weight':None,'criterion':'gini','max_depth':10,'n_estimators':51,'random_state':42}",,,,0.01,0.66,0.34,0.97,0.45,0.89,0.89,0.67
Single_Model,All_Features,Random Forest,0.7,0.45,0.95,0.49,0.89,0.89,0.55,RandomForestClassifier,"{'class_weight':None,'criterion':'entropy','max_depth':15,'n_estimators':15,'random_state':42}",,,,0.01,0.68,0.39,0.97,0.48,0.87,0.89,0.64
Single_Model,All_Features,Random Forest,0.7,0.45,0.95,0.49,0.89,0.89,0.55,RandomForestClassifier,"{'class_weight':None,'criterion':'entropy','max_depth':15,'n_estimators':11,'random_state':42}",,,,0.01,0.67,0.38,0.96,0.47,0.87,0.89,0.63
Single_Model,All_Features,Random Forest,0.7,0.43,0.97,0.51,0.91,0.9,0.65,RandomForestClassifier,"{'class_weight':None,'criterion':'gini','max_depth':10,'n_estimators':15,'random_state':42}",,,,0.01,0.66,0.36,0.97,0.46,0.88,0.89,0.64
Single_Model,All_Features,Random Forest,0.7,0.43,0.97,0.52,0.9,0.91,0.67,RandomForestClassifier,"{'class_weight':None,'criterion':'gini','max_depth':10,'n_estimators':11,'random_state':42}",,,,0.01,0.65,0.34,0.97,0.43,0.87,0.89,0.63
