Model,balanced_accuracy,sensitivity,specificity,f1_score,AUC,accuracy,precision,Model_Class,Hyperparams,Estimator,fit_time
Balanced Bagging,0.82,0.85,0.79,0.5,0.9,0.8,0.36,BalancedBaggingClassifier,"{'bootstrap': True, 'n_estimators': 11, 'oob_score': False, 'random_state': 42, 'replacement': False, 'sampling_strategy': 'all', 'warm_start': False}","ComplementNB(alpha=3.0, force_alpha=True)",0.01
Balanced Bagging,0.82,0.85,0.79,0.5,0.9,0.8,0.36,BalancedBaggingClassifier,"{'bootstrap': True, 'n_estimators': 11, 'oob_score': False, 'random_state': 42, 'replacement': False, 'sampling_strategy': 'all', 'warm_start': True}","ComplementNB(alpha=3.0, force_alpha=True)",0.01
Balanced Bagging,0.82,0.85,0.79,0.5,0.9,0.8,0.36,BalancedBaggingClassifier,"{'bootstrap': True, 'n_estimators': 11, 'oob_score': False, 'random_state': 42, 'replacement': False, 'sampling_strategy': 'majority', 'warm_start': True}","ComplementNB(alpha=3.0, force_alpha=True)",0.01
Balanced Bagging,0.82,0.85,0.79,0.5,0.9,0.8,0.36,BalancedBaggingClassifier,"{'bootstrap': True, 'n_estimators': 11, 'oob_score': False, 'random_state': 42, 'replacement': False, 'sampling_strategy': 'auto', 'warm_start': True}","ComplementNB(alpha=3.0, force_alpha=True)",0.01
Balanced Bagging,0.82,0.85,0.79,0.5,0.9,0.8,0.36,BalancedBaggingClassifier,"{'bootstrap': True, 'n_estimators': 11, 'oob_score': True, 'random_state': 42, 'replacement': False, 'sampling_strategy': 'majority', 'warm_start': False}","ComplementNB(alpha=3.0, force_alpha=True)",0.01
Balanced Bagging,0.82,0.85,0.79,0.5,0.9,0.8,0.36,BalancedBaggingClassifier,"{'bootstrap': True, 'n_estimators': 11, 'oob_score': False, 'random_state': 42, 'replacement': False, 'sampling_strategy': 'auto', 'warm_start': False}","ComplementNB(alpha=4.0, force_alpha=False)",0.01
Balanced Bagging,0.82,0.85,0.79,0.5,0.9,0.8,0.36,BalancedBaggingClassifier,"{'bootstrap': True, 'n_estimators': 11, 'oob_score': True, 'random_state': 42, 'replacement': False, 'sampling_strategy': 'majority', 'warm_start': False}","ComplementNB(alpha=4.0, force_alpha=False)",0.01
Balanced Bagging,0.82,0.85,0.79,0.5,0.9,0.8,0.36,BalancedBaggingClassifier,"{'bootstrap': True, 'n_estimators': 11, 'oob_score': False, 'random_state': 42, 'replacement': False, 'sampling_strategy': 'all', 'warm_start': False}","ComplementNB(alpha=4.0, force_alpha=False)",0.01
Balanced Bagging,0.82,0.85,0.79,0.5,0.9,0.8,0.36,BalancedBaggingClassifier,"{'bootstrap': True, 'n_estimators': 11, 'oob_score': True, 'random_state': 42, 'replacement': False, 'sampling_strategy': 'auto', 'warm_start': False}","ComplementNB(alpha=4.0, force_alpha=False)",0.01
Balanced Bagging,0.82,0.85,0.79,0.5,0.9,0.8,0.36,BalancedBaggingClassifier,"{'bootstrap': True, 'n_estimators': 11, 'oob_score': False, 'random_state': 42, 'replacement': False, 'sampling_strategy': 'majority', 'warm_start': False}","ComplementNB(alpha=4.0, force_alpha=False)",0.01
Balanced Bagging,0.82,0.85,0.79,0.5,0.9,0.8,0.36,BalancedBaggingClassifier,"{'bootstrap': True, 'n_estimators': 11, 'oob_score': True, 'random_state': 42, 'replacement': False, 'sampling_strategy': 'auto', 'warm_start': False}","ComplementNB(alpha=4.0, force_alpha=True)",0.01
Balanced Bagging,0.82,0.85,0.79,0.5,0.9,0.8,0.36,BalancedBaggingClassifier,"{'bootstrap': True, 'n_estimators': 11, 'oob_score': False, 'random_state': 42, 'replacement': False, 'sampling_strategy': 'majority', 'warm_start': True}","ComplementNB(alpha=4.0, force_alpha=True)",0.01
Balanced Bagging,0.82,0.85,0.79,0.5,0.9,0.8,0.36,BalancedBaggingClassifier,"{'bootstrap': True, 'n_estimators': 11, 'oob_score': False, 'random_state': 42, 'replacement': False, 'sampling_strategy': 'all', 'warm_start': False}","ComplementNB(alpha=4.0, force_alpha=True)",0.01
Balanced Bagging,0.82,0.85,0.79,0.5,0.9,0.8,0.36,BalancedBaggingClassifier,"{'bootstrap': True, 'n_estimators': 11, 'oob_score': False, 'random_state': 42, 'replacement': False, 'sampling_strategy': 'majority', 'warm_start': False}","ComplementNB(alpha=4.0, force_alpha=True)",0.01
Balanced Bagging,0.82,0.85,0.79,0.5,0.9,0.8,0.36,BalancedBaggingClassifier,"{'bootstrap': True, 'n_estimators': 11, 'oob_score': False, 'random_state': 42, 'replacement': False, 'sampling_strategy': 'auto', 'warm_start': True}","ComplementNB(alpha=4.0, force_alpha=True)",0.01
Balanced Bagging,0.82,0.85,0.78,0.49,0.9,0.79,0.34,BalancedBaggingClassifier,"{'bootstrap': True, 'n_estimators': 21, 'oob_score': False, 'random_state': 42, 'replacement': False, 'sampling_strategy': 'auto', 'warm_start': False}",ComplementNB(force_alpha=False),0.01
Balanced Bagging,0.82,0.85,0.78,0.49,0.9,0.79,0.34,BalancedBaggingClassifier,"{'bootstrap': True, 'n_estimators': 21, 'oob_score': True, 'random_state': 42, 'replacement': False, 'sampling_strategy': 'auto', 'warm_start': False}",ComplementNB(force_alpha=False),0.01
Balanced Bagging,0.81,0.83,0.78,0.48,0.9,0.79,0.34,BalancedBaggingClassifier,"{'bootstrap': True, 'n_estimators': 7, 'oob_score': True, 'random_state': 42, 'replacement': True, 'sampling_strategy': 'all', 'warm_start': False}",ComplementNB(force_alpha=False),0.01
Balanced Bagging,0.81,0.83,0.78,0.48,0.9,0.79,0.34,BalancedBaggingClassifier,"{'bootstrap': True, 'n_estimators': 7, 'oob_score': False, 'random_state': 42, 'replacement': True, 'sampling_strategy': 'all', 'warm_start': True}",ComplementNB(force_alpha=False),0.01
Balanced Bagging,0.81,0.83,0.78,0.48,0.9,0.79,0.34,BalancedBaggingClassifier,"{'bootstrap': True, 'n_estimators': 7, 'oob_score': False, 'random_state': 42, 'replacement': True, 'sampling_strategy': 'all', 'warm_start': False}",ComplementNB(force_alpha=False),0.01
Balanced Bagging,0.82,0.85,0.78,0.49,0.9,0.79,0.34,BalancedBaggingClassifier,"{'bootstrap': True, 'n_estimators': 21, 'oob_score': False, 'random_state': 42, 'replacement': False, 'sampling_strategy': 'majority', 'warm_start': False}",ComplementNB(force_alpha=True),0.01
