Model,balanced_accuracy,sensitivity,specificity,f1_score,AUC,accuracy,precision,Model_Class,Hyperparams,Estimator,fit_time
Balanced Bagging,0.74,0.64,0.84,0.45,0.85,0.81,0.35,BalancedBaggingClassifier,"{'bootstrap': True, 'n_estimators': 25, 'oob_score': True, 'random_state': 42, 'replacement': True, 'sampling_strategy': 'all', 'warm_start': False}","KNeighborsClassifier(metric='manhattan', n_neighbors=3, weights='distance')",0.21
Balanced Bagging,0.74,0.64,0.84,0.45,0.85,0.81,0.35,BalancedBaggingClassifier,"{'bootstrap': True, 'n_estimators': 25, 'oob_score': False, 'random_state': 42, 'replacement': True, 'sampling_strategy': 'all', 'warm_start': True}","KNeighborsClassifier(metric='manhattan', n_neighbors=3, weights='distance')",0.23
Balanced Bagging,0.72,0.62,0.83,0.43,0.85,0.81,0.33,BalancedBaggingClassifier,"{'bootstrap': True, 'n_estimators': 21, 'oob_score': False, 'random_state': 42, 'replacement': True, 'sampling_strategy': 'all', 'warm_start': False}","KNeighborsClassifier(metric='manhattan', n_neighbors=3, weights='distance')",0.16
Balanced Bagging,0.72,0.62,0.83,0.43,0.85,0.81,0.33,BalancedBaggingClassifier,"{'bootstrap': True, 'n_estimators': 21, 'oob_score': False, 'random_state': 42, 'replacement': True, 'sampling_strategy': 'all', 'warm_start': True}","KNeighborsClassifier(metric='manhattan', n_neighbors=3, weights='distance')",0.18
Balanced Bagging,0.72,0.62,0.83,0.43,0.85,0.81,0.33,BalancedBaggingClassifier,"{'bootstrap': True, 'n_estimators': 21, 'oob_score': True, 'random_state': 42, 'replacement': True, 'sampling_strategy': 'all', 'warm_start': False}","KNeighborsClassifier(metric='manhattan', n_neighbors=3, weights='distance')",0.21
Balanced Bagging,0.73,0.66,0.8,0.42,0.85,0.78,0.3,BalancedBaggingClassifier,"{'bootstrap': True, 'n_estimators': 15, 'oob_score': False, 'random_state': 42, 'replacement': True, 'sampling_strategy': 'majority', 'warm_start': False}","KNeighborsClassifier(metric='manhattan', n_neighbors=3)",0.12
Balanced Bagging,0.73,0.66,0.8,0.42,0.85,0.78,0.3,BalancedBaggingClassifier,"{'bootstrap': True, 'n_estimators': 15, 'oob_score': False, 'random_state': 42, 'replacement': True, 'sampling_strategy': 'auto', 'warm_start': False}","KNeighborsClassifier(metric='manhattan', n_neighbors=3)",0.14
Balanced Bagging,0.73,0.66,0.8,0.42,0.85,0.78,0.3,BalancedBaggingClassifier,"{'bootstrap': True, 'n_estimators': 15, 'oob_score': False, 'random_state': 42, 'replacement': True, 'sampling_strategy': 'majority', 'warm_start': True}","KNeighborsClassifier(metric='manhattan', n_neighbors=3)",0.14
Balanced Bagging,0.73,0.66,0.8,0.42,0.85,0.78,0.3,BalancedBaggingClassifier,"{'bootstrap': True, 'n_estimators': 15, 'oob_score': False, 'random_state': 42, 'replacement': True, 'sampling_strategy': 'auto', 'warm_start': True}","KNeighborsClassifier(metric='manhattan', n_neighbors=3)",0.14
Balanced Bagging,0.73,0.66,0.8,0.42,0.85,0.78,0.3,BalancedBaggingClassifier,"{'bootstrap': True, 'n_estimators': 15, 'oob_score': True, 'random_state': 42, 'replacement': True, 'sampling_strategy': 'auto', 'warm_start': False}","KNeighborsClassifier(metric='manhattan', n_neighbors=3)",0.14
Balanced Bagging,0.76,0.7,0.82,0.46,0.85,0.8,0.34,BalancedBaggingClassifier,"{'bootstrap': True, 'n_estimators': 7, 'oob_score': False, 'random_state': 42, 'replacement': True, 'sampling_strategy': 'auto', 'warm_start': True}",KNeighborsClassifier(metric='manhattan'),0.06
Balanced Bagging,0.76,0.7,0.82,0.46,0.85,0.8,0.34,BalancedBaggingClassifier,"{'bootstrap': True, 'n_estimators': 7, 'oob_score': True, 'random_state': 42, 'replacement': True, 'sampling_strategy': 'auto', 'warm_start': False}",KNeighborsClassifier(metric='manhattan'),0.07
Balanced Bagging,0.76,0.7,0.82,0.46,0.85,0.8,0.34,BalancedBaggingClassifier,"{'bootstrap': True, 'n_estimators': 7, 'oob_score': False, 'random_state': 42, 'replacement': True, 'sampling_strategy': 'auto', 'warm_start': False}",KNeighborsClassifier(metric='manhattan'),0.07
