Model,balanced_accuracy,sensitivity,specificity,f1_score,AUC,accuracy,precision,Model_Class,Hyperparams,Estimator,fit_time
Balanced Bagging,0.83,0.85,0.81,0.53,0.88,0.82,0.38,BalancedBaggingClassifier,"{'bootstrap': False, 'n_estimators': 15, 'oob_score': False, 'random_state': 42, 'replacement': False, 'sampling_strategy': 'all', 'warm_start': False}","MLPClassifier(activation='tanh', alpha=0.1, hidden_layer_sizes=(22,),              learning_rate='adaptive', learning_rate_init=0.5, max_iter=2000,              random_state=42)",0.02
Balanced Bagging,0.83,0.85,0.81,0.53,0.88,0.82,0.38,BalancedBaggingClassifier,"{'bootstrap': False, 'n_estimators': 15, 'oob_score': False, 'random_state': 42, 'replacement': False, 'sampling_strategy': 'all', 'warm_start': True}","MLPClassifier(activation='tanh', alpha=0.1, hidden_layer_sizes=(22,),              learning_rate='adaptive', learning_rate_init=0.5, max_iter=2000,              random_state=42)",0.02
Balanced Bagging,0.82,0.85,0.78,0.49,0.89,0.79,0.35,BalancedBaggingClassifier,"{'bootstrap': False, 'n_estimators': 21, 'oob_score': False, 'random_state': 42, 'replacement': False, 'sampling_strategy': 'all', 'warm_start': False}","MLPClassifier(activation='tanh', alpha=0.1, hidden_layer_sizes=(22,),              learning_rate='adaptive', learning_rate_init=0.5, max_iter=2000,              random_state=42)",0.02
Balanced Bagging,0.81,0.85,0.77,0.48,0.89,0.78,0.34,BalancedBaggingClassifier,"{'bootstrap': False, 'n_estimators': 25, 'oob_score': False, 'random_state': 42, 'replacement': False, 'sampling_strategy': 'all', 'warm_start': True}","MLPClassifier(activation='tanh', alpha=0.1, hidden_layer_sizes=(22,),              learning_rate='adaptive', learning_rate_init=0.5, max_iter=2000,              random_state=42)",0.02
Balanced Bagging,0.81,0.85,0.77,0.48,0.89,0.78,0.34,BalancedBaggingClassifier,"{'bootstrap': False, 'n_estimators': 25, 'oob_score': False, 'random_state': 42, 'replacement': False, 'sampling_strategy': 'all', 'warm_start': False}","MLPClassifier(activation='tanh', alpha=0.1, hidden_layer_sizes=(22,),              learning_rate='adaptive', learning_rate_init=0.5, max_iter=2000,              random_state=42)",0.02
Balanced Bagging,0.83,0.85,0.81,0.53,0.88,0.82,0.38,BalancedBaggingClassifier,"{'bootstrap': False, 'n_estimators': 15, 'oob_score': False, 'random_state': 42, 'replacement': False, 'sampling_strategy': 'all', 'warm_start': True}","MLPClassifier(activation='tanh', alpha=0.1, hidden_layer_sizes=(22,),              learning_rate_init=0.5, max_iter=2000, random_state=42)",0.02
Balanced Bagging,0.83,0.85,0.81,0.53,0.88,0.82,0.38,BalancedBaggingClassifier,"{'bootstrap': False, 'n_estimators': 15, 'oob_score': False, 'random_state': 42, 'replacement': False, 'sampling_strategy': 'all', 'warm_start': False}","MLPClassifier(activation='tanh', alpha=0.1, hidden_layer_sizes=(22,),              learning_rate_init=0.5, max_iter=2000, random_state=42)",0.02
Balanced Bagging,0.82,0.85,0.78,0.49,0.89,0.79,0.35,BalancedBaggingClassifier,"{'bootstrap': False, 'n_estimators': 21, 'oob_score': False, 'random_state': 42, 'replacement': False, 'sampling_strategy': 'all', 'warm_start': False}","MLPClassifier(activation='tanh', alpha=0.1, hidden_layer_sizes=(22,),              learning_rate_init=0.5, max_iter=2000, random_state=42)",0.02
Balanced Bagging,0.81,0.85,0.77,0.48,0.89,0.78,0.34,BalancedBaggingClassifier,"{'bootstrap': False, 'n_estimators': 25, 'oob_score': False, 'random_state': 42, 'replacement': False, 'sampling_strategy': 'all', 'warm_start': False}","MLPClassifier(activation='tanh', alpha=0.1, hidden_layer_sizes=(22,),              learning_rate_init=0.5, max_iter=2000, random_state=42)",0.02
Balanced Bagging,0.81,0.85,0.77,0.48,0.89,0.78,0.34,BalancedBaggingClassifier,"{'bootstrap': False, 'n_estimators': 25, 'oob_score': False, 'random_state': 42, 'replacement': False, 'sampling_strategy': 'all', 'warm_start': True}","MLPClassifier(activation='tanh', alpha=0.1, hidden_layer_sizes=(22,),              learning_rate_init=0.5, max_iter=2000, random_state=42)",0.02
