Model,balanced_accuracy,sensitivity,specificity,f1_score,AUC,accuracy,precision,Model_Class,Hyperparams,Estimator,fit_time
Balanced Bagging,0.83,0.89,0.78,0.5,0.89,0.79,0.35,BalancedBaggingClassifier,"{'bootstrap': False, 'n_estimators': 15, 'oob_score': False, 'random_state': 42, 'replacement': True, 'sampling_strategy': 'all', 'warm_start': False}","SVC(C=0.1, class_weight='balanced', gamma='auto', kernel='linear',    probability=True, random_state=42)",0.09
Balanced Bagging,0.83,0.89,0.78,0.5,0.89,0.79,0.35,BalancedBaggingClassifier,"{'bootstrap': False, 'n_estimators': 15, 'oob_score': False, 'random_state': 42, 'replacement': True, 'sampling_strategy': 'all', 'warm_start': True}","SVC(C=0.1, class_weight='balanced', gamma='auto', kernel='linear',    probability=True, random_state=42)",0.09
Balanced Bagging,0.83,0.89,0.76,0.49,0.89,0.78,0.34,BalancedBaggingClassifier,"{'bootstrap': False, 'n_estimators': 7, 'oob_score': False, 'random_state': 42, 'replacement': True, 'sampling_strategy': 'majority', 'warm_start': False}","SVC(C=0.1, class_weight='balanced', gamma='auto', kernel='linear',    probability=True, random_state=42)",0.05
Balanced Bagging,0.83,0.89,0.76,0.49,0.89,0.78,0.34,BalancedBaggingClassifier,"{'bootstrap': False, 'n_estimators': 7, 'oob_score': False, 'random_state': 42, 'replacement': True, 'sampling_strategy': 'majority', 'warm_start': True}","SVC(C=0.1, class_weight='balanced', gamma='auto', kernel='linear',    probability=True, random_state=42)",0.05
Balanced Bagging,0.83,0.89,0.76,0.49,0.89,0.78,0.34,BalancedBaggingClassifier,"{'bootstrap': False, 'n_estimators': 7, 'oob_score': False, 'random_state': 42, 'replacement': True, 'sampling_strategy': 'auto', 'warm_start': True}","SVC(C=0.1, class_weight='balanced', gamma='auto', kernel='linear',    probability=True, random_state=42)",0.05
Balanced Bagging,0.83,0.89,0.78,0.5,0.89,0.79,0.35,BalancedBaggingClassifier,"{'bootstrap': False, 'n_estimators': 15, 'oob_score': False, 'random_state': 42, 'replacement': True, 'sampling_strategy': 'all', 'warm_start': True}","SVC(C=0.1, class_weight='balanced', kernel='linear', probability=True,    random_state=42)",0.09
Balanced Bagging,0.83,0.89,0.78,0.5,0.89,0.79,0.35,BalancedBaggingClassifier,"{'bootstrap': False, 'n_estimators': 15, 'oob_score': False, 'random_state': 42, 'replacement': True, 'sampling_strategy': 'all', 'warm_start': False}","SVC(C=0.1, class_weight='balanced', kernel='linear', probability=True,    random_state=42)",0.09
Balanced Bagging,0.83,0.89,0.76,0.49,0.89,0.78,0.34,BalancedBaggingClassifier,"{'bootstrap': False, 'n_estimators': 7, 'oob_score': False, 'random_state': 42, 'replacement': True, 'sampling_strategy': 'auto', 'warm_start': True}","SVC(C=0.1, class_weight='balanced', kernel='linear', probability=True,    random_state=42)",0.06
Balanced Bagging,0.83,0.89,0.76,0.49,0.89,0.78,0.34,BalancedBaggingClassifier,"{'bootstrap': False, 'n_estimators': 7, 'oob_score': False, 'random_state': 42, 'replacement': True, 'sampling_strategy': 'auto', 'warm_start': False}","SVC(C=0.1, class_weight='balanced', kernel='linear', probability=True,    random_state=42)",0.06
Balanced Bagging,0.83,0.89,0.76,0.49,0.89,0.78,0.34,BalancedBaggingClassifier,"{'bootstrap': False, 'n_estimators': 7, 'oob_score': False, 'random_state': 42, 'replacement': True, 'sampling_strategy': 'majority', 'warm_start': False}","SVC(C=0.1, class_weight='balanced', kernel='linear', probability=True,    random_state=42)",0.06
Balanced Bagging,0.83,0.89,0.76,0.49,0.89,0.77,0.33,BalancedBaggingClassifier,"{'bootstrap': True, 'n_estimators': 21, 'oob_score': True, 'random_state': 42, 'replacement': True, 'sampling_strategy': 'all', 'warm_start': False}","SVC(C=0.5, class_weight='balanced', gamma='auto', probability=True,    random_state=42)",0.28
Balanced Bagging,0.83,0.89,0.76,0.49,0.89,0.77,0.33,BalancedBaggingClassifier,"{'bootstrap': True, 'n_estimators': 21, 'oob_score': False, 'random_state': 42, 'replacement': True, 'sampling_strategy': 'all', 'warm_start': True}","SVC(C=0.5, class_weight='balanced', gamma='auto', probability=True,    random_state=42)",0.29
Balanced Bagging,0.83,0.89,0.76,0.49,0.89,0.77,0.33,BalancedBaggingClassifier,"{'bootstrap': True, 'n_estimators': 21, 'oob_score': False, 'random_state': 42, 'replacement': True, 'sampling_strategy': 'all', 'warm_start': False}","SVC(C=0.5, class_weight='balanced', gamma='auto', probability=True,    random_state=42)",0.31
