Scenario,Features,Model,balanced_accuracy,sensitivity,specificity,f1_score,AUC,accuracy,precision,Model_Class,Hyperparams,Estimator,Estimator_Class,Estimator_Hyperparams,fit_time,train_balanced_accuracy,train_sensitivity,train_specificity,train_f1_score,train_AUC,train_accuracy,train_precision
Single_Model,without_Diagnosis_Delay,Decision Tree,0.75,0.74,0.76,0.43,0.83,0.76,0.3,DecisionTreeClassifier,"{'class_weight':'balanced','criterion':'entropy','max_depth':3,'random_state':42}",,,,0.01,0.74,0.76,0.73,0.43,0.8,0.73,0.3
Single_Model,without_Diagnosis_Delay,Decision Tree,0.75,0.74,0.76,0.43,0.83,0.76,0.3,DecisionTreeClassifier,"{'class_weight':'balanced','criterion':'gini','max_depth':3,'random_state':42}",,,,0.01,0.74,0.72,0.76,0.43,0.8,0.75,0.31
Single_Model,without_Diagnosis_Delay,Decision Tree,0.74,0.87,0.6,0.36,0.81,0.63,0.23,DecisionTreeClassifier,"{'class_weight':'balanced','criterion':'entropy','max_depth':4,'random_state':42}",,,,0.01,0.73,0.73,0.73,0.41,0.79,0.73,0.29
Single_Model,without_Diagnosis_Delay,Decision Tree,0.77,0.83,0.71,0.42,0.83,0.73,0.28,DecisionTreeClassifier,"{'class_weight':'balanced','criterion':'gini','max_depth':4,'random_state':42}",,,,0.01,0.72,0.65,0.78,0.42,0.78,0.76,0.31
Single_Model,without_Diagnosis_Delay,Decision Tree,0.77,0.81,0.72,0.42,0.82,0.73,0.28,DecisionTreeClassifier,"{'class_weight':'balanced','criterion':'gini','max_depth':5,'random_state':42}",,,,0.01,0.72,0.65,0.78,0.42,0.74,0.76,0.31
Single_Model,without_Diagnosis_Delay,Decision Tree,0.78,0.83,0.73,0.43,0.83,0.74,0.29,DecisionTreeClassifier,"{'class_weight':'balanced','criterion':'entropy','max_depth':5,'random_state':42}",,,,0.01,0.71,0.63,0.78,0.41,0.75,0.76,0.31
Single_Model,without_Diagnosis_Delay,Decision Tree,0.79,0.79,0.8,0.48,0.83,0.79,0.34,DecisionTreeClassifier,"{'class_weight':'balanced','criterion':'entropy','max_depth':7,'random_state':42}",,,,0.01,0.68,0.56,0.8,0.39,0.67,0.77,0.3
Single_Model,without_Diagnosis_Delay,Decision Tree,0.72,0.62,0.82,0.42,0.71,0.79,0.32,DecisionTreeClassifier,"{'class_weight':'balanced','criterion':'gini','max_depth':7,'random_state':42}",,,,0.01,0.68,0.56,0.8,0.39,0.67,0.77,0.3
Single_Model,without_Diagnosis_Delay,Decision Tree,0.72,0.6,0.84,0.43,0.69,0.81,0.33,DecisionTreeClassifier,"{'class_weight':'balanced','criterion':'entropy','max_depth':10,'random_state':42}",,,,0.01,0.65,0.45,0.85,0.36,0.63,0.8,0.31
Single_Model,without_Diagnosis_Delay,Decision Tree,0.66,0.43,0.88,0.37,0.63,0.83,0.33,DecisionTreeClassifier,"{'class_weight':None,'criterion':'entropy','max_depth':15,'random_state':42}",,,,0.01,0.65,0.39,0.91,0.38,0.64,0.84,0.39
