Scenario,Features,Model,balanced_accuracy,sensitivity,specificity,f1_score,AUC,accuracy,precision,Model_Class,Hyperparams,Estimator,Estimator_Class,Estimator_Hyperparams,fit_time,train_balanced_accuracy,train_sensitivity,train_specificity,train_f1_score,train_AUC,train_accuracy,train_precision
Single_Model,without_Diagnosis_Delay,Neural Networks,0.69,0.4,0.98,0.52,0.88,0.91,0.73,MLPClassifier,"{'activation':'relu','alpha':0.3,'hidden_layer_sizes':(22,44,22),'learning_rate':'constant','learning_rate_init':0.03,'max_iter':2000,'random_state':42,'solver':'adam'}",,,,0.01,0.7,0.45,0.94,0.49,0.82,0.88,0.56
Single_Model,without_Diagnosis_Delay,Neural Networks,0.69,0.4,0.98,0.52,0.88,0.91,0.73,MLPClassifier,"{'activation':'relu','alpha':0.3,'hidden_layer_sizes':(22,44,22),'learning_rate':'adaptive','learning_rate_init':0.03,'max_iter':2000,'random_state':42,'solver':'adam'}",,,,0.01,0.7,0.45,0.94,0.49,0.82,0.88,0.56
Single_Model,without_Diagnosis_Delay,Neural Networks,0.57,0.15,1.0,0.26,0.87,0.9,1.0,MLPClassifier,"{'activation':'tanh','alpha':0.3,'hidden_layer_sizes':(22,22,22),'learning_rate':'adaptive','learning_rate_init':0.1,'max_iter':2000,'random_state':42,'solver':'adam'}",,,,0.01,0.7,0.46,0.94,0.46,0.86,0.88,0.55
Single_Model,without_Diagnosis_Delay,Neural Networks,0.57,0.15,1.0,0.26,0.87,0.9,1.0,MLPClassifier,"{'activation':'tanh','alpha':0.3,'hidden_layer_sizes':(22,22,22),'learning_rate':'constant','learning_rate_init':0.1,'max_iter':2000,'random_state':42,'solver':'adam'}",,,,0.01,0.7,0.46,0.94,0.46,0.86,0.88,0.55
Single_Model,without_Diagnosis_Delay,Neural Networks,0.64,0.3,0.98,0.42,0.88,0.9,0.7,MLPClassifier,"{'activation':'relu','alpha':0.3,'hidden_layer_sizes':(22,44,22),'learning_rate':'adaptive','learning_rate_init':0.1,'max_iter':2000,'random_state':42,'solver':'adam'}",,,,0.01,0.7,0.44,0.95,0.5,0.85,0.89,0.61
Single_Model,without_Diagnosis_Delay,Neural Networks,0.64,0.3,0.98,0.42,0.88,0.9,0.7,MLPClassifier,"{'activation':'relu','alpha':0.3,'hidden_layer_sizes':(22,44,22),'learning_rate':'constant','learning_rate_init':0.1,'max_iter':2000,'random_state':42,'solver':'adam'}",,,,0.01,0.7,0.44,0.95,0.5,0.85,0.89,0.61
Single_Model,without_Diagnosis_Delay,Neural Networks,0.72,0.51,0.93,0.51,0.85,0.88,0.51,MLPClassifier,"{'activation':'relu','alpha':0.3,'hidden_layer_sizes':(22,22,22),'learning_rate':'constant','learning_rate_init':0.03,'max_iter':2000,'random_state':42,'solver':'sgd'}",,,,0.01,0.7,0.46,0.93,0.47,0.8,0.87,0.5
Single_Model,without_Diagnosis_Delay,Neural Networks,0.67,0.36,0.97,0.46,0.88,0.9,0.63,MLPClassifier,"{'activation':'tanh','alpha':0.5,'hidden_layer_sizes':(22,22),'learning_rate':'adaptive','learning_rate_init':0.1,'max_iter':2000,'random_state':42,'solver':'adam'}",,,,0.01,0.69,0.42,0.96,0.5,0.86,0.89,0.65
Single_Model,without_Diagnosis_Delay,Neural Networks,0.67,0.36,0.97,0.46,0.88,0.9,0.63,MLPClassifier,"{'activation':'tanh','alpha':0.5,'hidden_layer_sizes':(22,22),'learning_rate':'constant','learning_rate_init':0.1,'max_iter':2000,'random_state':42,'solver':'adam'}",,,,0.01,0.69,0.42,0.96,0.5,0.86,0.89,0.65
Single_Model,without_Diagnosis_Delay,Neural Networks,0.68,0.4,0.96,0.48,0.88,0.89,0.58,MLPClassifier,"{'activation':'relu','alpha':0.5,'hidden_layer_sizes':(22,44),'learning_rate':'adaptive','learning_rate_init':0.03,'max_iter':2000,'random_state':42,'solver':'adam'}",,,,0.01,0.69,0.43,0.96,0.49,0.85,0.89,0.61
Single_Model,without_Diagnosis_Delay,Neural Networks,0.68,0.4,0.96,0.48,0.88,0.89,0.58,MLPClassifier,"{'activation':'relu','alpha':0.5,'hidden_layer_sizes':(22,44),'learning_rate':'constant','learning_rate_init':0.03,'max_iter':2000,'random_state':42,'solver':'adam'}",,,,0.01,0.69,0.43,0.96,0.49,0.85,0.89,0.61
Single_Model,without_Diagnosis_Delay,Neural Networks,0.67,0.38,0.95,0.43,0.86,0.88,0.5,MLPClassifier,"{'activation':'relu','alpha':0.05,'hidden_layer_sizes':(22,44,22),'learning_rate':'constant','learning_rate_init':0.7,'max_iter':2000,'random_state':42,'solver':'sgd'}",,,,0.01,0.69,0.44,0.94,0.48,0.81,0.88,0.56
Single_Model,without_Diagnosis_Delay,Neural Networks,0.67,0.38,0.96,0.46,0.9,0.89,0.58,MLPClassifier,"{'activation':'tanh','alpha':0.5,'hidden_layer_sizes':(22,44,44,22),'learning_rate':'constant','learning_rate_init':0.3,'max_iter':2000,'random_state':42,'solver':'sgd'}",,,,0.01,0.69,0.42,0.96,0.5,0.86,0.89,0.65
Single_Model,without_Diagnosis_Delay,Neural Networks,0.63,0.28,0.99,0.4,0.84,0.9,0.72,MLPClassifier,"{'activation':'relu','alpha':0.1,'hidden_layer_sizes':(22,44,44,22),'learning_rate':'constant','learning_rate_init':0.5,'max_iter':2000,'random_state':42,'solver':'sgd'}",,,,0.01,0.69,0.43,0.95,0.48,0.81,0.88,0.57
Single_Model,without_Diagnosis_Delay,Neural Networks,0.72,0.51,0.93,0.51,0.82,0.88,0.5,MLPClassifier,"{'activation':'tanh','alpha':0.05,'hidden_layer_sizes':(22,44),'learning_rate':'adaptive','learning_rate_init':0.01,'max_iter':2000,'random_state':42,'solver':'adam'}",,,,0.01,0.69,0.43,0.95,0.48,0.8,0.88,0.57
Single_Model,without_Diagnosis_Delay,Neural Networks,0.72,0.51,0.93,0.51,0.82,0.88,0.5,MLPClassifier,"{'activation':'tanh','alpha':0.05,'hidden_layer_sizes':(22,44),'learning_rate':'constant','learning_rate_init':0.01,'max_iter':2000,'random_state':42,'solver':'adam'}",,,,0.01,0.69,0.43,0.95,0.48,0.8,0.88,0.57
Single_Model,without_Diagnosis_Delay,Neural Networks,0.65,0.34,0.96,0.41,0.85,0.88,0.52,MLPClassifier,"{'activation':'tanh','alpha':0.1,'hidden_layer_sizes':(22,22),'learning_rate':'adaptive','learning_rate_init':0.03,'max_iter':2000,'random_state':42,'solver':'adam'}",,,,0.01,0.69,0.44,0.94,0.47,0.82,0.87,0.53
Single_Model,without_Diagnosis_Delay,Neural Networks,0.65,0.34,0.96,0.41,0.85,0.88,0.52,MLPClassifier,"{'activation':'tanh','alpha':0.1,'hidden_layer_sizes':(22,22),'learning_rate':'constant','learning_rate_init':0.03,'max_iter':2000,'random_state':42,'solver':'adam'}",,,,0.01,0.69,0.44,0.94,0.47,0.82,0.87,0.53
Single_Model,without_Diagnosis_Delay,Neural Networks,0.62,0.3,0.95,0.35,0.84,0.87,0.44,MLPClassifier,"{'activation':'relu','alpha':0.5,'hidden_layer_sizes':(30,30,30),'learning_rate':'constant','learning_rate_init':0.1,'max_iter':2000,'random_state':42,'solver':'sgd'}",,,,0.01,0.69,0.43,0.95,0.48,0.82,0.88,0.58
Single_Model,without_Diagnosis_Delay,Neural Networks,0.68,0.47,0.89,0.42,0.8,0.84,0.37,MLPClassifier,"{'activation':'relu','alpha':0.0001,'hidden_layer_sizes':(22,44,44,22),'learning_rate':'adaptive','learning_rate_init':0.03,'max_iter':2000,'random_state':42,'solver':'adam'}",,,,0.01,0.69,0.44,0.94,0.47,0.79,0.87,0.52
Single_Model,without_Diagnosis_Delay,Neural Networks,0.68,0.47,0.89,0.42,0.8,0.84,0.37,MLPClassifier,"{'activation':'relu','alpha':0.0001,'hidden_layer_sizes':(22,44,44,22),'learning_rate':'constant','learning_rate_init':0.03,'max_iter':2000,'random_state':42,'solver':'adam'}",,,,0.01,0.69,0.44,0.94,0.47,0.79,0.87,0.52
Single_Model,without_Diagnosis_Delay,Neural Networks,0.68,0.43,0.94,0.46,0.8,0.88,0.5,MLPClassifier,"{'activation':'relu','alpha':0.1,'hidden_layer_sizes':(22,44,22),'learning_rate':'adaptive','learning_rate_init':0.7,'max_iter':2000,'random_state':42,'solver':'sgd'}",,,,0.01,0.69,0.44,0.94,0.47,0.79,0.87,0.52
Single_Model,without_Diagnosis_Delay,Neural Networks,0.65,0.32,0.97,0.42,0.89,0.9,0.62,MLPClassifier,"{'activation':'tanh','alpha':0.5,'hidden_layer_sizes':(22,22),'learning_rate':'constant','learning_rate_init':0.01,'max_iter':2000,'random_state':42,'solver':'adam'}",,,,0.01,0.69,0.41,0.96,0.49,0.86,0.89,0.66
Single_Model,without_Diagnosis_Delay,Neural Networks,0.65,0.32,0.97,0.42,0.89,0.9,0.62,MLPClassifier,"{'activation':'tanh','alpha':0.5,'hidden_layer_sizes':(22,22),'learning_rate':'adaptive','learning_rate_init':0.01,'max_iter':2000,'random_state':42,'solver':'adam'}",,,,0.01,0.69,0.41,0.96,0.49,0.86,0.89,0.66
