Scenario,Features,Model,balanced_accuracy,sensitivity,specificity,f1_score,AUC,accuracy,precision,Model_Class,Hyperparams,Estimator,Estimator_Class,Estimator_Hyperparams,fit_time,train_balanced_accuracy,train_sensitivity,train_specificity,train_f1_score,train_AUC,train_accuracy,train_precision
Single_Model,All_Features,SVM,0.77,0.57,0.96,0.61,0.93,0.91,0.66,SVC,"{'C':10,'class_weight':None,'gamma':'scale','kernel':'linear','probability':True,'random_state':42}",,,,0.02,0.71,0.45,0.98,0.56,0.91,0.91,0.75
Single_Model,All_Features,SVM,0.77,0.57,0.96,0.61,0.93,0.91,0.66,SVC,"{'C':10,'class_weight':None,'gamma':'auto','kernel':'linear','probability':True,'random_state':42}",,,,0.02,0.71,0.45,0.98,0.56,0.91,0.91,0.75
Single_Model,All_Features,SVM,0.77,0.57,0.96,0.61,0.93,0.91,0.66,SVC,"{'C':5,'class_weight':None,'gamma':'scale','kernel':'linear','probability':True,'random_state':42}",,,,0.02,0.71,0.44,0.98,0.56,0.91,0.91,0.76
Single_Model,All_Features,SVM,0.77,0.57,0.96,0.61,0.93,0.91,0.66,SVC,"{'C':5,'class_weight':None,'gamma':'auto','kernel':'linear','probability':True,'random_state':42}",,,,0.02,0.71,0.44,0.98,0.56,0.91,0.91,0.76
Single_Model,All_Features,SVM,0.77,0.57,0.96,0.61,0.93,0.91,0.66,SVC,"{'C':3,'class_weight':None,'gamma':'auto','kernel':'linear','probability':True,'random_state':42}",,,,0.02,0.71,0.44,0.98,0.55,0.91,0.91,0.76
Single_Model,All_Features,SVM,0.77,0.57,0.96,0.61,0.93,0.91,0.66,SVC,"{'C':3,'class_weight':None,'gamma':'scale','kernel':'linear','probability':True,'random_state':42}",,,,0.02,0.71,0.44,0.98,0.55,0.91,0.91,0.76
Single_Model,All_Features,SVM,0.75,0.53,0.97,0.6,0.93,0.91,0.68,SVC,"{'C':1,'class_weight':None,'gamma':'scale','kernel':'linear','probability':True,'random_state':42}",,,,0.02,0.7,0.42,0.98,0.53,0.91,0.91,0.76
Single_Model,All_Features,SVM,0.75,0.53,0.97,0.6,0.93,0.91,0.68,SVC,"{'C':1,'class_weight':None,'gamma':'auto','kernel':'linear','probability':True,'random_state':42}",,,,0.02,0.7,0.42,0.98,0.53,0.91,0.91,0.76
Single_Model,All_Features,SVM,0.74,0.53,0.96,0.57,0.91,0.91,0.62,SVC,"{'C':3,'class_weight':None,'gamma':'scale','kernel':'rbf','probability':True,'random_state':42}",,,,0.03,0.71,0.44,0.98,0.55,0.9,0.91,0.76
Single_Model,All_Features,SVM,0.74,0.53,0.94,0.54,0.89,0.89,0.56,SVC,"{'C':10,'class_weight':None,'gamma':'scale','kernel':'rbf','probability':True,'random_state':42}",,,,0.03,0.71,0.46,0.97,0.54,0.88,0.9,0.66
Single_Model,All_Features,SVM,0.74,0.53,0.94,0.54,0.9,0.89,0.56,SVC,"{'C':5,'class_weight':None,'gamma':'scale','kernel':'rbf','probability':True,'random_state':42}",,,,0.03,0.71,0.44,0.97,0.54,0.89,0.9,0.71
Single_Model,All_Features,SVM,0.74,0.51,0.97,0.58,0.93,0.91,0.67,SVC,"{'C':0.7,'class_weight':None,'gamma':'scale','kernel':'linear','probability':True,'random_state':42}",,,,0.02,0.7,0.42,0.98,0.54,0.91,0.91,0.77
