Model,balanced_accuracy,sensitivity,specificity,f1_score,AUC,accuracy,precision,Model_Class,Hyperparams,Estimator,fit_time
Balanced Bagging,0.79,0.74,0.84,0.51,0.89,0.83,0.39,BalancedBaggingClassifier,"{'bootstrap': True, 'n_estimators': 25, 'oob_score': False, 'random_state': 42, 'replacement': True, 'sampling_strategy': 'all', 'warm_start': False}","KNeighborsClassifier(metric='manhattan', n_neighbors=3)",0.13
Balanced Bagging,0.79,0.74,0.84,0.51,0.89,0.83,0.39,BalancedBaggingClassifier,"{'bootstrap': True, 'n_estimators': 25, 'oob_score': True, 'random_state': 42, 'replacement': True, 'sampling_strategy': 'all', 'warm_start': False}","KNeighborsClassifier(metric='manhattan', n_neighbors=3)",0.14
Balanced Bagging,0.79,0.74,0.84,0.51,0.89,0.83,0.39,BalancedBaggingClassifier,"{'bootstrap': True, 'n_estimators': 25, 'oob_score': False, 'random_state': 42, 'replacement': True, 'sampling_strategy': 'all', 'warm_start': True}","KNeighborsClassifier(metric='manhattan', n_neighbors=3)",0.16
Balanced Bagging,0.78,0.74,0.81,0.47,0.87,0.8,0.35,BalancedBaggingClassifier,"{'bootstrap': True, 'n_estimators': 7, 'oob_score': False, 'random_state': 42, 'replacement': True, 'sampling_strategy': 'auto', 'warm_start': False}","KNeighborsClassifier(metric='manhattan', n_neighbors=3)",0.04
Balanced Bagging,0.78,0.74,0.81,0.47,0.87,0.8,0.35,BalancedBaggingClassifier,"{'bootstrap': True, 'n_estimators': 7, 'oob_score': False, 'random_state': 42, 'replacement': True, 'sampling_strategy': 'auto', 'warm_start': True}","KNeighborsClassifier(metric='manhattan', n_neighbors=3)",0.05
Balanced Bagging,0.79,0.72,0.85,0.51,0.89,0.84,0.4,BalancedBaggingClassifier,"{'bootstrap': True, 'n_estimators': 21, 'oob_score': False, 'random_state': 42, 'replacement': True, 'sampling_strategy': 'all', 'warm_start': False}","KNeighborsClassifier(metric='manhattan', n_neighbors=3, weights='distance')",0.12
Balanced Bagging,0.79,0.72,0.85,0.51,0.89,0.84,0.4,BalancedBaggingClassifier,"{'bootstrap': True, 'n_estimators': 21, 'oob_score': False, 'random_state': 42, 'replacement': True, 'sampling_strategy': 'all', 'warm_start': True}","KNeighborsClassifier(metric='manhattan', n_neighbors=3, weights='distance')",0.12
Balanced Bagging,0.75,0.66,0.84,0.47,0.89,0.82,0.36,BalancedBaggingClassifier,"{'bootstrap': True, 'n_estimators': 15, 'oob_score': True, 'random_state': 42, 'replacement': True, 'sampling_strategy': 'all', 'warm_start': False}","KNeighborsClassifier(metric='manhattan', n_neighbors=3, weights='distance')",0.09
Balanced Bagging,0.75,0.66,0.84,0.47,0.89,0.82,0.36,BalancedBaggingClassifier,"{'bootstrap': True, 'n_estimators': 15, 'oob_score': False, 'random_state': 42, 'replacement': True, 'sampling_strategy': 'all', 'warm_start': False}","KNeighborsClassifier(metric='manhattan', n_neighbors=3, weights='distance')",0.1
Balanced Bagging,0.75,0.66,0.84,0.47,0.89,0.82,0.36,BalancedBaggingClassifier,"{'bootstrap': True, 'n_estimators': 15, 'oob_score': False, 'random_state': 42, 'replacement': True, 'sampling_strategy': 'all', 'warm_start': True}","KNeighborsClassifier(metric='manhattan', n_neighbors=3, weights='distance')",0.11
Balanced Bagging,0.78,0.74,0.81,0.47,0.88,0.8,0.35,BalancedBaggingClassifier,"{'bootstrap': True, 'n_estimators': 7, 'oob_score': False, 'random_state': 42, 'replacement': True, 'sampling_strategy': 'auto', 'warm_start': False}",KNeighborsClassifier(metric='manhattan'),0.04
Balanced Bagging,0.78,0.74,0.81,0.47,0.88,0.8,0.35,BalancedBaggingClassifier,"{'bootstrap': True, 'n_estimators': 7, 'oob_score': False, 'random_state': 42, 'replacement': True, 'sampling_strategy': 'majority', 'warm_start': False}",KNeighborsClassifier(metric='manhattan'),0.04
Balanced Bagging,0.78,0.74,0.81,0.47,0.88,0.8,0.35,BalancedBaggingClassifier,"{'bootstrap': True, 'n_estimators': 7, 'oob_score': True, 'random_state': 42, 'replacement': True, 'sampling_strategy': 'auto', 'warm_start': False}",KNeighborsClassifier(metric='manhattan'),0.04
Balanced Bagging,0.78,0.74,0.81,0.47,0.88,0.8,0.35,BalancedBaggingClassifier,"{'bootstrap': True, 'n_estimators': 7, 'oob_score': False, 'random_state': 42, 'replacement': True, 'sampling_strategy': 'majority', 'warm_start': True}",KNeighborsClassifier(metric='manhattan'),0.04
Balanced Bagging,0.78,0.74,0.81,0.47,0.88,0.8,0.35,BalancedBaggingClassifier,"{'bootstrap': True, 'n_estimators': 7, 'oob_score': True, 'random_state': 42, 'replacement': True, 'sampling_strategy': 'majority', 'warm_start': False}",KNeighborsClassifier(metric='manhattan'),0.05
Balanced Bagging,0.81,0.79,0.82,0.51,0.89,0.82,0.38,BalancedBaggingClassifier,"{'bootstrap': True, 'n_estimators': 25, 'oob_score': False, 'random_state': 42, 'replacement': True, 'sampling_strategy': 'all', 'warm_start': True}","KNeighborsClassifier(metric='manhattan', weights='distance')",0.14
