Model,balanced_accuracy,sensitivity,specificity,f1_score,AUC,accuracy,precision,Model_Class,Hyperparams,Estimator,fit_time
Balanced Bagging,0.83,0.85,0.82,0.53,0.93,0.82,0.38,BalancedBaggingClassifier,"{'bootstrap': True, 'n_estimators': 7, 'oob_score': False, 'random_state': 42, 'replacement': True, 'sampling_strategy': 'majority', 'warm_start': True}","MLPClassifier(activation='tanh', alpha=0.5, hidden_layer_sizes=(23,),              learning_rate_init=0.7, max_iter=2000, random_state=42,              solver='sgd')",0.01
Balanced Bagging,0.83,0.85,0.82,0.53,0.93,0.82,0.38,BalancedBaggingClassifier,"{'bootstrap': True, 'n_estimators': 7, 'oob_score': False, 'random_state': 42, 'replacement': True, 'sampling_strategy': 'majority', 'warm_start': False}","MLPClassifier(activation='tanh', alpha=0.5, hidden_layer_sizes=(23,),              learning_rate_init=0.7, max_iter=2000, random_state=42,              solver='sgd')",0.01
Balanced Bagging,0.83,0.85,0.82,0.53,0.93,0.82,0.38,BalancedBaggingClassifier,"{'bootstrap': True, 'n_estimators': 7, 'oob_score': False, 'random_state': 42, 'replacement': True, 'sampling_strategy': 'auto', 'warm_start': True}","MLPClassifier(activation='tanh', alpha=0.5, hidden_layer_sizes=(23,),              learning_rate_init=0.7, max_iter=2000, random_state=42,              solver='sgd')",0.01
Balanced Bagging,0.83,0.85,0.82,0.53,0.93,0.82,0.38,BalancedBaggingClassifier,"{'bootstrap': True, 'n_estimators': 7, 'oob_score': False, 'random_state': 42, 'replacement': True, 'sampling_strategy': 'auto', 'warm_start': False}","MLPClassifier(activation='tanh', alpha=0.5, hidden_layer_sizes=(23,),              learning_rate_init=0.7, max_iter=2000, random_state=42,              solver='sgd')",0.01
Balanced Bagging,0.83,0.85,0.82,0.53,0.93,0.82,0.38,BalancedBaggingClassifier,"{'bootstrap': True, 'n_estimators': 7, 'oob_score': True, 'random_state': 42, 'replacement': True, 'sampling_strategy': 'auto', 'warm_start': False}","MLPClassifier(activation='tanh', alpha=0.5, hidden_layer_sizes=(23,),              learning_rate_init=0.7, max_iter=2000, random_state=42,              solver='sgd')",0.01
Balanced Bagging,0.86,0.94,0.79,0.54,0.93,0.81,0.38,BalancedBaggingClassifier,"{'bootstrap': True, 'n_estimators': 25, 'oob_score': False, 'random_state': 42, 'replacement': True, 'sampling_strategy': 'all', 'warm_start': False}","MLPClassifier(activation='tanh', alpha=0.1, hidden_layer_sizes=(23,),              learning_rate='adaptive', learning_rate_init=0.7, max_iter=2000,              random_state=42)",0.01
Balanced Bagging,0.86,0.94,0.79,0.54,0.93,0.81,0.38,BalancedBaggingClassifier,"{'bootstrap': True, 'n_estimators': 25, 'oob_score': False, 'random_state': 42, 'replacement': True, 'sampling_strategy': 'all', 'warm_start': True}","MLPClassifier(activation='tanh', alpha=0.1, hidden_layer_sizes=(23,),              learning_rate='adaptive', learning_rate_init=0.7, max_iter=2000,              random_state=42)",0.01
Balanced Bagging,0.86,0.94,0.79,0.54,0.93,0.81,0.38,BalancedBaggingClassifier,"{'bootstrap': True, 'n_estimators': 25, 'oob_score': True, 'random_state': 42, 'replacement': True, 'sampling_strategy': 'all', 'warm_start': False}","MLPClassifier(activation='tanh', alpha=0.1, hidden_layer_sizes=(23,),              learning_rate='adaptive', learning_rate_init=0.7, max_iter=2000,              random_state=42)",0.01
Balanced Bagging,0.84,0.91,0.77,0.51,0.92,0.79,0.35,BalancedBaggingClassifier,"{'bootstrap': True, 'n_estimators': 7, 'oob_score': False, 'random_state': 42, 'replacement': False, 'sampling_strategy': 'all', 'warm_start': False}","MLPClassifier(activation='tanh', alpha=0.1, hidden_layer_sizes=(23,),              learning_rate='adaptive', learning_rate_init=0.7, max_iter=2000,              random_state=42)",0.01
Balanced Bagging,0.84,0.91,0.77,0.51,0.92,0.79,0.35,BalancedBaggingClassifier,"{'bootstrap': True, 'n_estimators': 7, 'oob_score': False, 'random_state': 42, 'replacement': False, 'sampling_strategy': 'all', 'warm_start': True}","MLPClassifier(activation='tanh', alpha=0.1, hidden_layer_sizes=(23,),              learning_rate='adaptive', learning_rate_init=0.7, max_iter=2000,              random_state=42)",0.01
Balanced Bagging,0.86,0.94,0.79,0.54,0.93,0.81,0.38,BalancedBaggingClassifier,"{'bootstrap': True, 'n_estimators': 25, 'oob_score': False, 'random_state': 42, 'replacement': True, 'sampling_strategy': 'all', 'warm_start': False}","MLPClassifier(activation='tanh', alpha=0.1, hidden_layer_sizes=(23,),              learning_rate_init=0.7, max_iter=2000, random_state=42)",0.01
Balanced Bagging,0.86,0.94,0.79,0.54,0.93,0.81,0.38,BalancedBaggingClassifier,"{'bootstrap': True, 'n_estimators': 25, 'oob_score': False, 'random_state': 42, 'replacement': True, 'sampling_strategy': 'all', 'warm_start': True}","MLPClassifier(activation='tanh', alpha=0.1, hidden_layer_sizes=(23,),              learning_rate_init=0.7, max_iter=2000, random_state=42)",0.01
Balanced Bagging,0.86,0.94,0.79,0.54,0.93,0.81,0.38,BalancedBaggingClassifier,"{'bootstrap': True, 'n_estimators': 25, 'oob_score': True, 'random_state': 42, 'replacement': True, 'sampling_strategy': 'all', 'warm_start': False}","MLPClassifier(activation='tanh', alpha=0.1, hidden_layer_sizes=(23,),              learning_rate_init=0.7, max_iter=2000, random_state=42)",0.01
Balanced Bagging,0.84,0.91,0.77,0.51,0.92,0.79,0.35,BalancedBaggingClassifier,"{'bootstrap': True, 'n_estimators': 7, 'oob_score': False, 'random_state': 42, 'replacement': False, 'sampling_strategy': 'all', 'warm_start': False}","MLPClassifier(activation='tanh', alpha=0.1, hidden_layer_sizes=(23,),              learning_rate_init=0.7, max_iter=2000, random_state=42)",0.01
Balanced Bagging,0.84,0.91,0.77,0.51,0.92,0.79,0.35,BalancedBaggingClassifier,"{'bootstrap': True, 'n_estimators': 7, 'oob_score': False, 'random_state': 42, 'replacement': False, 'sampling_strategy': 'all', 'warm_start': True}","MLPClassifier(activation='tanh', alpha=0.1, hidden_layer_sizes=(23,),              learning_rate_init=0.7, max_iter=2000, random_state=42)",0.01
Balanced Bagging,0.86,0.94,0.79,0.54,0.93,0.81,0.38,BalancedBaggingClassifier,"{'bootstrap': True, 'n_estimators': 21, 'oob_score': False, 'random_state': 42, 'replacement': False, 'sampling_strategy': 'all', 'warm_start': True}","MLPClassifier(alpha=0.5, hidden_layer_sizes=30, learning_rate_init=0.5,              max_iter=2000, random_state=42, solver='sgd')",0.01
Balanced Bagging,0.86,0.94,0.79,0.54,0.93,0.81,0.38,BalancedBaggingClassifier,"{'bootstrap': True, 'n_estimators': 21, 'oob_score': False, 'random_state': 42, 'replacement': False, 'sampling_strategy': 'all', 'warm_start': False}","MLPClassifier(alpha=0.5, hidden_layer_sizes=30, learning_rate_init=0.5,              max_iter=2000, random_state=42, solver='sgd')",0.01
Balanced Bagging,0.86,0.94,0.79,0.54,0.93,0.81,0.38,BalancedBaggingClassifier,"{'bootstrap': True, 'n_estimators': 21, 'oob_score': True, 'random_state': 42, 'replacement': False, 'sampling_strategy': 'all', 'warm_start': False}","MLPClassifier(alpha=0.5, hidden_layer_sizes=30, learning_rate_init=0.5,              max_iter=2000, random_state=42, solver='sgd')",0.02
Balanced Bagging,0.83,0.96,0.69,0.45,0.92,0.73,0.3,BalancedBaggingClassifier,"{'bootstrap': False, 'n_estimators': 25, 'oob_score': False, 'random_state': 42, 'replacement': True, 'sampling_strategy': 'all', 'warm_start': False}","MLPClassifier(alpha=0.5, hidden_layer_sizes=30, learning_rate_init=0.5,              max_iter=2000, random_state=42, solver='sgd')",0.01
Balanced Bagging,0.83,0.96,0.69,0.45,0.92,0.73,0.3,BalancedBaggingClassifier,"{'bootstrap': False, 'n_estimators': 25, 'oob_score': False, 'random_state': 42, 'replacement': True, 'sampling_strategy': 'all', 'warm_start': True}","MLPClassifier(alpha=0.5, hidden_layer_sizes=30, learning_rate_init=0.5,              max_iter=2000, random_state=42, solver='sgd')",0.01
Balanced Bagging,0.5,1.0,0.0,0.21,0.5,0.12,0.12,BalancedBaggingClassifier,"{'bootstrap': False, 'n_estimators': 21, 'oob_score': False, 'random_state': 42, 'replacement': True, 'sampling_strategy': 'majority', 'warm_start': False}","MLPClassifier(alpha=0.3, hidden_layer_sizes=(23, 46, 46, 23),              learning_rate_init=0.7, max_iter=2000, random_state=42,              solver='sgd')",0.04
Balanced Bagging,0.5,1.0,0.0,0.21,0.5,0.12,0.12,BalancedBaggingClassifier,"{'bootstrap': False, 'n_estimators': 25, 'oob_score': False, 'random_state': 42, 'replacement': True, 'sampling_strategy': 'majority', 'warm_start': False}","MLPClassifier(alpha=0.3, hidden_layer_sizes=(23, 46, 46, 23),              learning_rate_init=0.7, max_iter=2000, random_state=42,              solver='sgd')",0.05
Balanced Bagging,0.5,1.0,0.0,0.21,0.5,0.12,0.12,BalancedBaggingClassifier,"{'bootstrap': False, 'n_estimators': 25, 'oob_score': False, 'random_state': 42, 'replacement': True, 'sampling_strategy': 'majority', 'warm_start': True}","MLPClassifier(alpha=0.3, hidden_layer_sizes=(23, 46, 46, 23),              learning_rate_init=0.7, max_iter=2000, random_state=42,              solver='sgd')",0.05
Balanced Bagging,0.5,1.0,0.0,0.21,0.5,0.12,0.12,BalancedBaggingClassifier,"{'bootstrap': False, 'n_estimators': 25, 'oob_score': False, 'random_state': 42, 'replacement': True, 'sampling_strategy': 'auto', 'warm_start': True}","MLPClassifier(alpha=0.3, hidden_layer_sizes=(23, 46, 46, 23),              learning_rate_init=0.7, max_iter=2000, random_state=42,              solver='sgd')",0.06
Balanced Bagging,0.5,1.0,0.0,0.21,0.5,0.12,0.12,BalancedBaggingClassifier,"{'bootstrap': False, 'n_estimators': 25, 'oob_score': False, 'random_state': 42, 'replacement': True, 'sampling_strategy': 'auto', 'warm_start': False}","MLPClassifier(alpha=0.3, hidden_layer_sizes=(23, 46, 46, 23),              learning_rate_init=0.7, max_iter=2000, random_state=42,              solver='sgd')",0.06
