Model,balanced_accuracy,sensitivity,specificity,f1_score,AUC,accuracy,precision,Model_Class,Hyperparams,Estimator,fit_time
Balanced Bagging,0.62,0.98,0.27,0.27,0.75,0.35,0.15,BalancedBaggingClassifier,"{'bootstrap': False, 'n_estimators': 15, 'oob_score': False, 'random_state': 42, 'replacement': False, 'sampling_strategy': 'all', 'warm_start': True}","RadiusNeighborsClassifier(leaf_size=300, metric='manhattan', outlier_label=1)",0.08
Balanced Bagging,0.62,0.98,0.27,0.27,0.75,0.35,0.15,BalancedBaggingClassifier,"{'bootstrap': False, 'n_estimators': 15, 'oob_score': False, 'random_state': 42, 'replacement': False, 'sampling_strategy': 'all', 'warm_start': False}","RadiusNeighborsClassifier(leaf_size=300, metric='manhattan', outlier_label=1)",0.09
Balanced Bagging,0.62,0.98,0.27,0.27,0.75,0.35,0.15,BalancedBaggingClassifier,"{'bootstrap': False, 'n_estimators': 15, 'oob_score': False, 'random_state': 42, 'replacement': False, 'sampling_strategy': 'auto', 'warm_start': True}","RadiusNeighborsClassifier(leaf_size=300, metric='manhattan', outlier_label=1)",0.11
Balanced Bagging,0.62,0.98,0.27,0.27,0.75,0.35,0.15,BalancedBaggingClassifier,"{'bootstrap': False, 'n_estimators': 15, 'oob_score': False, 'random_state': 42, 'replacement': False, 'sampling_strategy': 'majority', 'warm_start': True}","RadiusNeighborsClassifier(leaf_size=300, metric='manhattan', outlier_label=1)",0.11
Balanced Bagging,0.62,0.98,0.27,0.27,0.75,0.35,0.15,BalancedBaggingClassifier,"{'bootstrap': False, 'n_estimators': 15, 'oob_score': False, 'random_state': 42, 'replacement': False, 'sampling_strategy': 'auto', 'warm_start': False}","RadiusNeighborsClassifier(leaf_size=300, metric='manhattan', outlier_label=1)",0.11
Balanced Bagging,0.62,0.98,0.27,0.27,0.75,0.35,0.15,BalancedBaggingClassifier,"{'bootstrap': False, 'n_estimators': 15, 'oob_score': False, 'random_state': 42, 'replacement': False, 'sampling_strategy': 'all', 'warm_start': True}","RadiusNeighborsClassifier(leaf_size=50, metric='manhattan', outlier_label=1)",0.08
Balanced Bagging,0.62,0.98,0.27,0.27,0.75,0.35,0.15,BalancedBaggingClassifier,"{'bootstrap': False, 'n_estimators': 15, 'oob_score': False, 'random_state': 42, 'replacement': False, 'sampling_strategy': 'all', 'warm_start': False}","RadiusNeighborsClassifier(leaf_size=50, metric='manhattan', outlier_label=1)",0.08
Balanced Bagging,0.62,0.98,0.27,0.27,0.75,0.35,0.15,BalancedBaggingClassifier,"{'bootstrap': False, 'n_estimators': 15, 'oob_score': False, 'random_state': 42, 'replacement': False, 'sampling_strategy': 'majority', 'warm_start': False}","RadiusNeighborsClassifier(leaf_size=50, metric='manhattan', outlier_label=1)",0.1
Balanced Bagging,0.62,0.98,0.27,0.27,0.75,0.35,0.15,BalancedBaggingClassifier,"{'bootstrap': False, 'n_estimators': 15, 'oob_score': False, 'random_state': 42, 'replacement': False, 'sampling_strategy': 'majority', 'warm_start': True}","RadiusNeighborsClassifier(leaf_size=50, metric='manhattan', outlier_label=1)",0.11
Balanced Bagging,0.62,0.98,0.27,0.27,0.75,0.35,0.15,BalancedBaggingClassifier,"{'bootstrap': False, 'n_estimators': 15, 'oob_score': False, 'random_state': 42, 'replacement': False, 'sampling_strategy': 'auto', 'warm_start': True}","RadiusNeighborsClassifier(leaf_size=50, metric='manhattan', outlier_label=1)",0.11
Balanced Bagging,0.62,0.98,0.27,0.27,0.75,0.35,0.15,BalancedBaggingClassifier,"{'bootstrap': False, 'n_estimators': 15, 'oob_score': False, 'random_state': 42, 'replacement': False, 'sampling_strategy': 'auto', 'warm_start': True}","RadiusNeighborsClassifier(leaf_size=500, metric='manhattan', outlier_label=1)",0.08
Balanced Bagging,0.62,0.98,0.27,0.27,0.75,0.35,0.15,BalancedBaggingClassifier,"{'bootstrap': False, 'n_estimators': 15, 'oob_score': False, 'random_state': 42, 'replacement': False, 'sampling_strategy': 'auto', 'warm_start': False}","RadiusNeighborsClassifier(leaf_size=500, metric='manhattan', outlier_label=1)",0.11
Balanced Bagging,0.62,0.98,0.27,0.27,0.75,0.35,0.15,BalancedBaggingClassifier,"{'bootstrap': False, 'n_estimators': 15, 'oob_score': False, 'random_state': 42, 'replacement': False, 'sampling_strategy': 'all', 'warm_start': False}","RadiusNeighborsClassifier(leaf_size=500, metric='manhattan', outlier_label=1)",0.11
Balanced Bagging,0.62,0.98,0.27,0.27,0.75,0.35,0.15,BalancedBaggingClassifier,"{'bootstrap': False, 'n_estimators': 15, 'oob_score': False, 'random_state': 42, 'replacement': False, 'sampling_strategy': 'majority', 'warm_start': True}","RadiusNeighborsClassifier(leaf_size=500, metric='manhattan', outlier_label=1)",0.12
Balanced Bagging,0.62,0.98,0.27,0.27,0.75,0.35,0.15,BalancedBaggingClassifier,"{'bootstrap': False, 'n_estimators': 15, 'oob_score': False, 'random_state': 42, 'replacement': False, 'sampling_strategy': 'all', 'warm_start': True}","RadiusNeighborsClassifier(leaf_size=500, metric='manhattan', outlier_label=1)",0.12
Balanced Bagging,0.62,0.98,0.27,0.27,0.75,0.35,0.15,BalancedBaggingClassifier,"{'bootstrap': False, 'n_estimators': 15, 'oob_score': False, 'random_state': 42, 'replacement': False, 'sampling_strategy': 'majority', 'warm_start': False}","RadiusNeighborsClassifier(leaf_size=100, metric='manhattan', outlier_label=1)",0.08
