Model,balanced_accuracy,sensitivity,specificity,f1_score,AUC,accuracy,precision,Model_Class,Hyperparams,Estimator,fit_time
Balanced Bagging,0.86,0.91,0.81,0.55,0.93,0.82,0.39,BalancedBaggingClassifier,"{'bootstrap': False, 'n_estimators': 7, 'oob_score': False, 'random_state': 42, 'replacement': False, 'sampling_strategy': 'auto', 'warm_start': True}","RandomForestClassifier(class_weight='balanced', criterion='entropy',                       max_depth=5, n_estimators=51, random_state=42)",0.06
Balanced Bagging,0.86,0.91,0.8,0.54,0.92,0.81,0.38,BalancedBaggingClassifier,"{'bootstrap': False, 'n_estimators': 7, 'oob_score': False, 'random_state': 42, 'replacement': True, 'sampling_strategy': 'majority', 'warm_start': False}","RandomForestClassifier(class_weight='balanced', criterion='entropy',                       max_depth=5, n_estimators=51, random_state=42)",0.06
Balanced Bagging,0.86,0.91,0.8,0.54,0.92,0.81,0.38,BalancedBaggingClassifier,"{'bootstrap': False, 'n_estimators': 7, 'oob_score': False, 'random_state': 42, 'replacement': True, 'sampling_strategy': 'auto', 'warm_start': False}","RandomForestClassifier(class_weight='balanced', criterion='entropy',                       max_depth=5, n_estimators=51, random_state=42)",0.06
Balanced Bagging,0.86,0.91,0.8,0.54,0.92,0.81,0.38,BalancedBaggingClassifier,"{'bootstrap': False, 'n_estimators': 7, 'oob_score': False, 'random_state': 42, 'replacement': True, 'sampling_strategy': 'majority', 'warm_start': True}","RandomForestClassifier(class_weight='balanced', criterion='entropy',                       max_depth=5, n_estimators=51, random_state=42)",0.06
Balanced Bagging,0.86,0.91,0.8,0.54,0.92,0.81,0.38,BalancedBaggingClassifier,"{'bootstrap': False, 'n_estimators': 7, 'oob_score': False, 'random_state': 42, 'replacement': True, 'sampling_strategy': 'auto', 'warm_start': True}","RandomForestClassifier(class_weight='balanced', criterion='entropy',                       max_depth=5, n_estimators=51, random_state=42)",0.06
Balanced Bagging,0.86,0.91,0.8,0.53,0.92,0.81,0.38,BalancedBaggingClassifier,"{'bootstrap': False, 'n_estimators': 7, 'oob_score': False, 'random_state': 42, 'replacement': True, 'sampling_strategy': 'majority', 'warm_start': False}","RandomForestClassifier(class_weight='balanced_subsample', max_depth=5,                       n_estimators=51, random_state=42)",0.06
Balanced Bagging,0.86,0.91,0.8,0.53,0.92,0.81,0.38,BalancedBaggingClassifier,"{'bootstrap': False, 'n_estimators': 7, 'oob_score': False, 'random_state': 42, 'replacement': True, 'sampling_strategy': 'auto', 'warm_start': True}","RandomForestClassifier(class_weight='balanced_subsample', max_depth=5,                       n_estimators=51, random_state=42)",0.06
Balanced Bagging,0.86,0.91,0.8,0.53,0.92,0.81,0.38,BalancedBaggingClassifier,"{'bootstrap': False, 'n_estimators': 7, 'oob_score': False, 'random_state': 42, 'replacement': True, 'sampling_strategy': 'majority', 'warm_start': True}","RandomForestClassifier(class_weight='balanced_subsample', max_depth=5,                       n_estimators=51, random_state=42)",0.06
Balanced Bagging,0.86,0.91,0.8,0.53,0.92,0.81,0.38,BalancedBaggingClassifier,"{'bootstrap': False, 'n_estimators': 7, 'oob_score': False, 'random_state': 42, 'replacement': True, 'sampling_strategy': 'auto', 'warm_start': False}","RandomForestClassifier(class_weight='balanced_subsample', max_depth=5,                       n_estimators=51, random_state=42)",0.06
Balanced Bagging,0.85,0.89,0.8,0.53,0.93,0.81,0.38,BalancedBaggingClassifier,"{'bootstrap': False, 'n_estimators': 7, 'oob_score': False, 'random_state': 42, 'replacement': False, 'sampling_strategy': 'auto', 'warm_start': True}","RandomForestClassifier(class_weight='balanced_subsample', max_depth=5,                       n_estimators=51, random_state=42)",0.06
Balanced Bagging,0.85,0.89,0.82,0.55,0.92,0.82,0.4,BalancedBaggingClassifier,"{'bootstrap': False, 'n_estimators': 7, 'oob_score': False, 'random_state': 42, 'replacement': False, 'sampling_strategy': 'auto', 'warm_start': False}","RandomForestClassifier(class_weight='balanced_subsample', criterion='entropy',                       max_depth=5, n_estimators=21, random_state=42)",0.03
Balanced Bagging,0.85,0.89,0.82,0.55,0.92,0.82,0.4,BalancedBaggingClassifier,"{'bootstrap': False, 'n_estimators': 7, 'oob_score': False, 'random_state': 42, 'replacement': False, 'sampling_strategy': 'majority', 'warm_start': True}","RandomForestClassifier(class_weight='balanced_subsample', criterion='entropy',                       max_depth=5, n_estimators=21, random_state=42)",0.03
Balanced Bagging,0.85,0.89,0.8,0.53,0.92,0.81,0.38,BalancedBaggingClassifier,"{'bootstrap': True, 'n_estimators': 19, 'oob_score': False, 'random_state': 42, 'replacement': False, 'sampling_strategy': 'all', 'warm_start': True}","RandomForestClassifier(class_weight='balanced_subsample', criterion='entropy',                       max_depth=5, n_estimators=21, random_state=42)",0.07
Balanced Bagging,0.85,0.89,0.8,0.53,0.92,0.81,0.38,BalancedBaggingClassifier,"{'bootstrap': True, 'n_estimators': 19, 'oob_score': False, 'random_state': 42, 'replacement': False, 'sampling_strategy': 'all', 'warm_start': False}","RandomForestClassifier(class_weight='balanced_subsample', criterion='entropy',                       max_depth=5, n_estimators=21, random_state=42)",0.07
Balanced Bagging,0.85,0.89,0.8,0.53,0.92,0.81,0.38,BalancedBaggingClassifier,"{'bootstrap': True, 'n_estimators': 19, 'oob_score': True, 'random_state': 42, 'replacement': False, 'sampling_strategy': 'all', 'warm_start': False}","RandomForestClassifier(class_weight='balanced_subsample', criterion='entropy',                       max_depth=5, n_estimators=21, random_state=42)",0.07
