Model,balanced_accuracy,sensitivity,specificity,f1_score,AUC,accuracy,precision,Model_Class,Hyperparams,Estimator,fit_time
Balanced Bagging,0.85,0.89,0.8,0.53,0.93,0.81,0.38,BalancedBaggingClassifier,"{'bootstrap': False, 'n_estimators': 21, 'oob_score': False, 'random_state': 42, 'replacement': True, 'sampling_strategy': 'majority', 'warm_start': False}","SVC(C=0.7, class_weight='balanced', kernel='linear', probability=True,    random_state=42)",0.05
Balanced Bagging,0.85,0.89,0.8,0.53,0.93,0.81,0.38,BalancedBaggingClassifier,"{'bootstrap': False, 'n_estimators': 21, 'oob_score': False, 'random_state': 42, 'replacement': True, 'sampling_strategy': 'majority', 'warm_start': True}","SVC(C=0.7, class_weight='balanced', kernel='linear', probability=True,    random_state=42)",0.05
Balanced Bagging,0.85,0.89,0.8,0.53,0.93,0.81,0.38,BalancedBaggingClassifier,"{'bootstrap': False, 'n_estimators': 21, 'oob_score': False, 'random_state': 42, 'replacement': True, 'sampling_strategy': 'auto', 'warm_start': True}","SVC(C=0.7, class_weight='balanced', kernel='linear', probability=True,    random_state=42)",0.05
Balanced Bagging,0.85,0.89,0.8,0.53,0.93,0.81,0.38,BalancedBaggingClassifier,"{'bootstrap': False, 'n_estimators': 21, 'oob_score': False, 'random_state': 42, 'replacement': True, 'sampling_strategy': 'auto', 'warm_start': False}","SVC(C=0.7, class_weight='balanced', kernel='linear', probability=True,    random_state=42)",0.05
Balanced Bagging,0.85,0.89,0.8,0.53,0.93,0.81,0.38,BalancedBaggingClassifier,"{'bootstrap': False, 'n_estimators': 25, 'oob_score': False, 'random_state': 42, 'replacement': True, 'sampling_strategy': 'majority', 'warm_start': True}","SVC(C=0.7, class_weight='balanced', kernel='linear', probability=True,    random_state=42)",0.06
Balanced Bagging,0.85,0.89,0.8,0.53,0.93,0.81,0.38,BalancedBaggingClassifier,"{'bootstrap': False, 'n_estimators': 21, 'oob_score': False, 'random_state': 42, 'replacement': True, 'sampling_strategy': 'majority', 'warm_start': True}","SVC(C=0.7, class_weight='balanced', gamma='auto', kernel='linear',    probability=True, random_state=42)",0.05
Balanced Bagging,0.85,0.89,0.8,0.53,0.93,0.81,0.38,BalancedBaggingClassifier,"{'bootstrap': False, 'n_estimators': 21, 'oob_score': False, 'random_state': 42, 'replacement': True, 'sampling_strategy': 'majority', 'warm_start': False}","SVC(C=0.7, class_weight='balanced', gamma='auto', kernel='linear',    probability=True, random_state=42)",0.05
Balanced Bagging,0.85,0.89,0.8,0.53,0.93,0.81,0.38,BalancedBaggingClassifier,"{'bootstrap': False, 'n_estimators': 21, 'oob_score': False, 'random_state': 42, 'replacement': True, 'sampling_strategy': 'auto', 'warm_start': False}","SVC(C=0.7, class_weight='balanced', gamma='auto', kernel='linear',    probability=True, random_state=42)",0.05
Balanced Bagging,0.85,0.89,0.8,0.53,0.93,0.81,0.38,BalancedBaggingClassifier,"{'bootstrap': False, 'n_estimators': 21, 'oob_score': False, 'random_state': 42, 'replacement': True, 'sampling_strategy': 'auto', 'warm_start': True}","SVC(C=0.7, class_weight='balanced', gamma='auto', kernel='linear',    probability=True, random_state=42)",0.05
Balanced Bagging,0.85,0.89,0.8,0.53,0.93,0.81,0.38,BalancedBaggingClassifier,"{'bootstrap': False, 'n_estimators': 25, 'oob_score': False, 'random_state': 42, 'replacement': True, 'sampling_strategy': 'majority', 'warm_start': False}","SVC(C=0.7, class_weight='balanced', gamma='auto', kernel='linear',    probability=True, random_state=42)",0.06
Balanced Bagging,0.85,0.89,0.8,0.53,0.93,0.81,0.38,BalancedBaggingClassifier,"{'bootstrap': False, 'n_estimators': 21, 'oob_score': False, 'random_state': 42, 'replacement': True, 'sampling_strategy': 'auto', 'warm_start': True}","SVC(C=0.5, class_weight='balanced', gamma='auto', kernel='linear',    probability=True, random_state=42)",0.05
Balanced Bagging,0.85,0.89,0.8,0.53,0.93,0.81,0.38,BalancedBaggingClassifier,"{'bootstrap': False, 'n_estimators': 25, 'oob_score': False, 'random_state': 42, 'replacement': True, 'sampling_strategy': 'majority', 'warm_start': True}","SVC(C=0.5, class_weight='balanced', gamma='auto', kernel='linear',    probability=True, random_state=42)",0.06
Balanced Bagging,0.85,0.89,0.8,0.53,0.93,0.81,0.38,BalancedBaggingClassifier,"{'bootstrap': False, 'n_estimators': 25, 'oob_score': False, 'random_state': 42, 'replacement': True, 'sampling_strategy': 'auto', 'warm_start': False}","SVC(C=0.5, class_weight='balanced', gamma='auto', kernel='linear',    probability=True, random_state=42)",0.06
Balanced Bagging,0.85,0.89,0.8,0.53,0.93,0.81,0.38,BalancedBaggingClassifier,"{'bootstrap': False, 'n_estimators': 25, 'oob_score': False, 'random_state': 42, 'replacement': True, 'sampling_strategy': 'auto', 'warm_start': True}","SVC(C=0.5, class_weight='balanced', gamma='auto', kernel='linear',    probability=True, random_state=42)",0.06
Balanced Bagging,0.85,0.89,0.8,0.53,0.93,0.81,0.38,BalancedBaggingClassifier,"{'bootstrap': False, 'n_estimators': 25, 'oob_score': False, 'random_state': 42, 'replacement': True, 'sampling_strategy': 'majority', 'warm_start': False}","SVC(C=0.5, class_weight='balanced', gamma='auto', kernel='linear',    probability=True, random_state=42)",0.06
Balanced Bagging,0.85,0.89,0.81,0.54,0.93,0.82,0.39,BalancedBaggingClassifier,"{'bootstrap': False, 'n_estimators': 25, 'oob_score': False, 'random_state': 42, 'replacement': True, 'sampling_strategy': 'auto', 'warm_start': True}","SVC(C=1, class_weight='balanced', kernel='linear', probability=True,    random_state=42)",0.06
Balanced Bagging,0.85,0.89,0.81,0.54,0.93,0.82,0.39,BalancedBaggingClassifier,"{'bootstrap': False, 'n_estimators': 25, 'oob_score': False, 'random_state': 42, 'replacement': True, 'sampling_strategy': 'majority', 'warm_start': False}","SVC(C=1, class_weight='balanced', kernel='linear', probability=True,    random_state=42)",0.06
Balanced Bagging,0.85,0.89,0.81,0.54,0.93,0.82,0.39,BalancedBaggingClassifier,"{'bootstrap': False, 'n_estimators': 25, 'oob_score': False, 'random_state': 42, 'replacement': True, 'sampling_strategy': 'majority', 'warm_start': True}","SVC(C=1, class_weight='balanced', kernel='linear', probability=True,    random_state=42)",0.06
Balanced Bagging,0.85,0.89,0.81,0.54,0.93,0.82,0.39,BalancedBaggingClassifier,"{'bootstrap': False, 'n_estimators': 25, 'oob_score': False, 'random_state': 42, 'replacement': True, 'sampling_strategy': 'auto', 'warm_start': False}","SVC(C=1, class_weight='balanced', kernel='linear', probability=True,    random_state=42)",0.06
Balanced Bagging,0.85,0.89,0.8,0.54,0.93,0.81,0.38,BalancedBaggingClassifier,"{'bootstrap': False, 'n_estimators': 11, 'oob_score': False, 'random_state': 42, 'replacement': False, 'sampling_strategy': 'all', 'warm_start': False}","SVC(C=1, class_weight='balanced', kernel='linear', probability=True,    random_state=42)",0.03
Balanced Bagging,0.85,0.89,0.81,0.54,0.93,0.82,0.39,BalancedBaggingClassifier,"{'bootstrap': False, 'n_estimators': 25, 'oob_score': False, 'random_state': 42, 'replacement': True, 'sampling_strategy': 'auto', 'warm_start': True}","SVC(C=1, class_weight='balanced', gamma='auto', kernel='linear',    probability=True, random_state=42)",0.06
Balanced Bagging,0.85,0.89,0.81,0.54,0.93,0.82,0.39,BalancedBaggingClassifier,"{'bootstrap': False, 'n_estimators': 25, 'oob_score': False, 'random_state': 42, 'replacement': True, 'sampling_strategy': 'majority', 'warm_start': False}","SVC(C=1, class_weight='balanced', gamma='auto', kernel='linear',    probability=True, random_state=42)",0.06
Balanced Bagging,0.85,0.89,0.81,0.54,0.93,0.82,0.39,BalancedBaggingClassifier,"{'bootstrap': False, 'n_estimators': 25, 'oob_score': False, 'random_state': 42, 'replacement': True, 'sampling_strategy': 'auto', 'warm_start': False}","SVC(C=1, class_weight='balanced', gamma='auto', kernel='linear',    probability=True, random_state=42)",0.06
Balanced Bagging,0.85,0.89,0.81,0.54,0.93,0.82,0.39,BalancedBaggingClassifier,"{'bootstrap': False, 'n_estimators': 25, 'oob_score': False, 'random_state': 42, 'replacement': True, 'sampling_strategy': 'majority', 'warm_start': True}","SVC(C=1, class_weight='balanced', gamma='auto', kernel='linear',    probability=True, random_state=42)",0.06
