Model,balanced_accuracy,sensitivity,specificity,f1_score,AUC,accuracy,precision,Model_Class,Hyperparams,Estimator,fit_time
Balanced Bagging,0.84,0.91,0.77,0.51,0.89,0.79,0.35,BalancedBaggingClassifier,"{'bootstrap': True, 'n_estimators': 7, 'oob_score': False, 'random_state': 42, 'replacement': False, 'sampling_strategy': 'all', 'warm_start': False}","MLPClassifier(alpha=0.5, hidden_layer_sizes=(22, 44, 44, 22),              learning_rate_init=0.3, max_iter=2000, random_state=42,              solver='sgd')",0.03
Balanced Bagging,0.84,0.87,0.8,0.53,0.88,0.81,0.38,BalancedBaggingClassifier,"{'bootstrap': True, 'n_estimators': 7, 'oob_score': False, 'random_state': 42, 'replacement': False, 'sampling_strategy': 'majority', 'warm_start': True}","MLPClassifier(alpha=0.3, hidden_layer_sizes=(22, 44, 44, 22),              learning_rate_init=0.1, max_iter=2000, random_state=42)",0.02
Balanced Bagging,0.84,0.87,0.8,0.53,0.88,0.81,0.38,BalancedBaggingClassifier,"{'bootstrap': True, 'n_estimators': 7, 'oob_score': False, 'random_state': 42, 'replacement': False, 'sampling_strategy': 'auto', 'warm_start': True}","MLPClassifier(alpha=0.3, hidden_layer_sizes=(22, 44, 44, 22),              learning_rate='adaptive', learning_rate_init=0.1, max_iter=2000,              random_state=42)",0.02
Balanced Bagging,0.83,0.89,0.78,0.5,0.89,0.79,0.35,BalancedBaggingClassifier,"{'bootstrap': False, 'n_estimators': 15, 'oob_score': False, 'random_state': 42, 'replacement': True, 'sampling_strategy': 'all', 'warm_start': False}","SVC(C=0.1, class_weight='balanced', gamma='auto', kernel='linear',    probability=True, random_state=42)",0.09
Balanced Bagging,0.83,0.89,0.78,0.5,0.89,0.79,0.35,BalancedBaggingClassifier,"{'bootstrap': False, 'n_estimators': 15, 'oob_score': False, 'random_state': 42, 'replacement': True, 'sampling_strategy': 'all', 'warm_start': True}","SVC(C=0.1, class_weight='balanced', kernel='linear', probability=True,    random_state=42)",0.09
Balanced Bagging,0.83,0.89,0.76,0.49,0.89,0.77,0.33,BalancedBaggingClassifier,"{'bootstrap': True, 'n_estimators': 21, 'oob_score': True, 'random_state': 42, 'replacement': True, 'sampling_strategy': 'all', 'warm_start': False}","SVC(C=0.5, class_weight='balanced', gamma='auto', probability=True,    random_state=42)",0.28
Balanced Bagging,0.83,0.85,0.81,0.53,0.88,0.82,0.38,BalancedBaggingClassifier,"{'bootstrap': False, 'n_estimators': 15, 'oob_score': False, 'random_state': 42, 'replacement': False, 'sampling_strategy': 'all', 'warm_start': False}","MLPClassifier(activation='tanh', alpha=0.1, hidden_layer_sizes=(22,),              learning_rate='adaptive', learning_rate_init=0.5, max_iter=2000,              random_state=42)",0.02
Balanced Bagging,0.83,0.85,0.81,0.53,0.88,0.82,0.38,BalancedBaggingClassifier,"{'bootstrap': False, 'n_estimators': 15, 'oob_score': False, 'random_state': 42, 'replacement': False, 'sampling_strategy': 'all', 'warm_start': True}","MLPClassifier(activation='tanh', alpha=0.1, hidden_layer_sizes=(22,),              learning_rate_init=0.5, max_iter=2000, random_state=42)",0.02
Balanced Bagging,0.82,0.89,0.75,0.48,0.89,0.77,0.33,BalancedBaggingClassifier,"{'bootstrap': False, 'n_estimators': 7, 'oob_score': False, 'random_state': 42, 'replacement': False, 'sampling_strategy': 'auto', 'warm_start': True}","RandomForestClassifier(class_weight='balanced_subsample', criterion='entropy',                       max_depth=5, n_estimators=15, random_state=42)",0.05
Balanced Bagging,0.82,0.89,0.75,0.47,0.88,0.76,0.32,BalancedBaggingClassifier,"{'bootstrap': False, 'n_estimators': 7, 'oob_score': False, 'random_state': 42, 'replacement': False, 'sampling_strategy': 'all', 'warm_start': False}","RandomForestClassifier(class_weight='balanced_subsample', criterion='entropy',                       max_depth=5, n_estimators=51, random_state=42)",0.11
Balanced Bagging,0.82,0.89,0.75,0.47,0.89,0.76,0.32,BalancedBaggingClassifier,"{'bootstrap': True, 'n_estimators': 11, 'oob_score': True, 'random_state': 42, 'replacement': True, 'sampling_strategy': 'auto', 'warm_start': False}","SVC(C=0.1, class_weight='balanced', gamma='auto', probability=True,    random_state=42)",0.2
