Model,balanced_accuracy,sensitivity,specificity,f1_score,AUC,accuracy,precision,Model_Class,Hyperparams,Estimator,fit_time
Balanced Bagging,0.78,0.79,0.76,0.45,0.87,0.77,0.31,BalancedBaggingClassifier,"{'bootstrap': False, 'n_estimators': 15, 'oob_score': False, 'random_state': 42, 'replacement': False, 'sampling_strategy': 'majority', 'warm_start': False}","ComplementNB(alpha=7.0, force_alpha=False)",0.02
Balanced Bagging,0.78,0.79,0.76,0.45,0.87,0.77,0.31,BalancedBaggingClassifier,"{'bootstrap': False, 'n_estimators': 15, 'oob_score': False, 'random_state': 42, 'replacement': False, 'sampling_strategy': 'all', 'warm_start': True}","ComplementNB(alpha=7.0, force_alpha=False)",0.02
Balanced Bagging,0.78,0.79,0.76,0.45,0.87,0.77,0.31,BalancedBaggingClassifier,"{'bootstrap': False, 'n_estimators': 15, 'oob_score': False, 'random_state': 42, 'replacement': False, 'sampling_strategy': 'all', 'warm_start': False}","ComplementNB(alpha=7.0, force_alpha=False)",0.02
Balanced Bagging,0.78,0.79,0.76,0.45,0.87,0.77,0.31,BalancedBaggingClassifier,"{'bootstrap': False, 'n_estimators': 15, 'oob_score': False, 'random_state': 42, 'replacement': False, 'sampling_strategy': 'auto', 'warm_start': False}","ComplementNB(alpha=7.0, force_alpha=False)",0.02
Balanced Bagging,0.78,0.79,0.76,0.45,0.87,0.77,0.31,BalancedBaggingClassifier,"{'bootstrap': False, 'n_estimators': 15, 'oob_score': False, 'random_state': 42, 'replacement': False, 'sampling_strategy': 'auto', 'warm_start': True}","ComplementNB(alpha=7.0, force_alpha=False)",0.02
Balanced Bagging,0.78,0.79,0.76,0.45,0.87,0.77,0.31,BalancedBaggingClassifier,"{'bootstrap': False, 'n_estimators': 15, 'oob_score': False, 'random_state': 42, 'replacement': False, 'sampling_strategy': 'majority', 'warm_start': False}","ComplementNB(alpha=7.0, force_alpha=True)",0.02
Balanced Bagging,0.78,0.79,0.76,0.45,0.87,0.77,0.31,BalancedBaggingClassifier,"{'bootstrap': False, 'n_estimators': 15, 'oob_score': False, 'random_state': 42, 'replacement': False, 'sampling_strategy': 'auto', 'warm_start': True}","ComplementNB(alpha=7.0, force_alpha=True)",0.02
Balanced Bagging,0.78,0.79,0.76,0.45,0.87,0.77,0.31,BalancedBaggingClassifier,"{'bootstrap': False, 'n_estimators': 15, 'oob_score': False, 'random_state': 42, 'replacement': False, 'sampling_strategy': 'all', 'warm_start': True}","ComplementNB(alpha=7.0, force_alpha=True)",0.02
Balanced Bagging,0.78,0.79,0.76,0.45,0.87,0.77,0.31,BalancedBaggingClassifier,"{'bootstrap': False, 'n_estimators': 15, 'oob_score': False, 'random_state': 42, 'replacement': False, 'sampling_strategy': 'majority', 'warm_start': True}","ComplementNB(alpha=7.0, force_alpha=True)",0.02
Balanced Bagging,0.78,0.79,0.76,0.45,0.87,0.77,0.31,BalancedBaggingClassifier,"{'bootstrap': False, 'n_estimators': 15, 'oob_score': False, 'random_state': 42, 'replacement': False, 'sampling_strategy': 'auto', 'warm_start': False}","ComplementNB(alpha=7.0, force_alpha=True)",0.03
Balanced Bagging,0.78,0.81,0.75,0.44,0.86,0.75,0.3,BalancedBaggingClassifier,"{'bootstrap': False, 'n_estimators': 7, 'oob_score': False, 'random_state': 42, 'replacement': True, 'sampling_strategy': 'auto', 'warm_start': False}","ComplementNB(alpha=5.0, force_alpha=False)",0.02
Balanced Bagging,0.77,0.81,0.74,0.43,0.86,0.75,0.29,BalancedBaggingClassifier,"{'bootstrap': False, 'n_estimators': 11, 'oob_score': False, 'random_state': 42, 'replacement': True, 'sampling_strategy': 'majority', 'warm_start': True}","ComplementNB(alpha=5.0, force_alpha=False)",0.02
Balanced Bagging,0.77,0.81,0.74,0.43,0.86,0.75,0.29,BalancedBaggingClassifier,"{'bootstrap': False, 'n_estimators': 11, 'oob_score': False, 'random_state': 42, 'replacement': True, 'sampling_strategy': 'auto', 'warm_start': False}","ComplementNB(alpha=5.0, force_alpha=False)",0.02
Balanced Bagging,0.77,0.81,0.74,0.43,0.86,0.75,0.29,BalancedBaggingClassifier,"{'bootstrap': False, 'n_estimators': 11, 'oob_score': False, 'random_state': 42, 'replacement': True, 'sampling_strategy': 'auto', 'warm_start': True}","ComplementNB(alpha=5.0, force_alpha=False)",0.02
Balanced Bagging,0.77,0.81,0.74,0.43,0.86,0.75,0.29,BalancedBaggingClassifier,"{'bootstrap': False, 'n_estimators': 11, 'oob_score': False, 'random_state': 42, 'replacement': True, 'sampling_strategy': 'majority', 'warm_start': False}","ComplementNB(alpha=5.0, force_alpha=False)",0.02
Balanced Bagging,0.78,0.81,0.74,0.44,0.86,0.75,0.3,BalancedBaggingClassifier,"{'bootstrap': False, 'n_estimators': 7, 'oob_score': False, 'random_state': 42, 'replacement': True, 'sampling_strategy': 'majority', 'warm_start': True}","ComplementNB(alpha=4.0, force_alpha=False)",0.02
Balanced Bagging,0.78,0.81,0.74,0.44,0.86,0.75,0.3,BalancedBaggingClassifier,"{'bootstrap': False, 'n_estimators': 7, 'oob_score': False, 'random_state': 42, 'replacement': True, 'sampling_strategy': 'auto', 'warm_start': False}","ComplementNB(alpha=4.0, force_alpha=False)",0.02
Balanced Bagging,0.78,0.81,0.74,0.44,0.86,0.75,0.3,BalancedBaggingClassifier,"{'bootstrap': False, 'n_estimators': 7, 'oob_score': False, 'random_state': 42, 'replacement': True, 'sampling_strategy': 'auto', 'warm_start': True}","ComplementNB(alpha=4.0, force_alpha=False)",0.02
Balanced Bagging,0.78,0.81,0.74,0.44,0.86,0.75,0.3,BalancedBaggingClassifier,"{'bootstrap': False, 'n_estimators': 7, 'oob_score': False, 'random_state': 42, 'replacement': True, 'sampling_strategy': 'majority', 'warm_start': False}","ComplementNB(alpha=4.0, force_alpha=False)",0.02
Balanced Bagging,0.77,0.81,0.74,0.43,0.87,0.75,0.29,BalancedBaggingClassifier,"{'bootstrap': False, 'n_estimators': 11, 'oob_score': False, 'random_state': 42, 'replacement': True, 'sampling_strategy': 'all', 'warm_start': False}","ComplementNB(alpha=4.0, force_alpha=False)",0.02
Balanced Bagging,0.78,0.81,0.74,0.44,0.86,0.75,0.3,BalancedBaggingClassifier,"{'bootstrap': False, 'n_estimators': 7, 'oob_score': False, 'random_state': 42, 'replacement': True, 'sampling_strategy': 'auto', 'warm_start': False}","ComplementNB(alpha=4.0, force_alpha=True)",0.02
Balanced Bagging,0.78,0.81,0.74,0.44,0.86,0.75,0.3,BalancedBaggingClassifier,"{'bootstrap': False, 'n_estimators': 7, 'oob_score': False, 'random_state': 42, 'replacement': True, 'sampling_strategy': 'majority', 'warm_start': False}","ComplementNB(alpha=4.0, force_alpha=True)",0.02
Balanced Bagging,0.78,0.81,0.74,0.44,0.86,0.75,0.3,BalancedBaggingClassifier,"{'bootstrap': False, 'n_estimators': 7, 'oob_score': False, 'random_state': 42, 'replacement': True, 'sampling_strategy': 'majority', 'warm_start': True}","ComplementNB(alpha=4.0, force_alpha=True)",0.02
Balanced Bagging,0.78,0.81,0.74,0.44,0.86,0.75,0.3,BalancedBaggingClassifier,"{'bootstrap': False, 'n_estimators': 7, 'oob_score': False, 'random_state': 42, 'replacement': True, 'sampling_strategy': 'auto', 'warm_start': True}","ComplementNB(alpha=4.0, force_alpha=True)",0.02
Balanced Bagging,0.77,0.81,0.74,0.43,0.87,0.75,0.29,BalancedBaggingClassifier,"{'bootstrap': False, 'n_estimators': 11, 'oob_score': False, 'random_state': 42, 'replacement': True, 'sampling_strategy': 'all', 'warm_start': True}","ComplementNB(alpha=4.0, force_alpha=True)",0.02
