Model,balanced_accuracy,sensitivity,specificity,f1_score,AUC,accuracy,precision,Model_Class,Hyperparams,Estimator,fit_time
Balanced Bagging,0.82,0.87,0.77,0.49,0.88,0.78,0.34,BalancedBaggingClassifier,"{'bootstrap': True, 'n_estimators': 25, 'oob_score': True, 'random_state': 42, 'replacement': True, 'sampling_strategy': 'all', 'warm_start': False}","DecisionTreeClassifier(class_weight='balanced', max_depth=4, random_state=42)",0.02
Balanced Bagging,0.82,0.87,0.77,0.49,0.88,0.78,0.34,BalancedBaggingClassifier,"{'bootstrap': True, 'n_estimators': 25, 'oob_score': False, 'random_state': 42, 'replacement': True, 'sampling_strategy': 'all', 'warm_start': True}","DecisionTreeClassifier(class_weight='balanced', max_depth=4, random_state=42)",0.02
Balanced Bagging,0.82,0.87,0.77,0.49,0.88,0.78,0.34,BalancedBaggingClassifier,"{'bootstrap': True, 'n_estimators': 25, 'oob_score': False, 'random_state': 42, 'replacement': True, 'sampling_strategy': 'all', 'warm_start': False}","DecisionTreeClassifier(class_weight='balanced', max_depth=4, random_state=42)",0.02
Balanced Bagging,0.82,0.87,0.76,0.48,0.89,0.77,0.33,BalancedBaggingClassifier,"{'bootstrap': False, 'n_estimators': 21, 'oob_score': False, 'random_state': 42, 'replacement': True, 'sampling_strategy': 'all', 'warm_start': True}","DecisionTreeClassifier(class_weight='balanced', max_depth=4, random_state=42)",0.02
Balanced Bagging,0.82,0.87,0.76,0.48,0.89,0.77,0.33,BalancedBaggingClassifier,"{'bootstrap': False, 'n_estimators': 21, 'oob_score': False, 'random_state': 42, 'replacement': True, 'sampling_strategy': 'all', 'warm_start': False}","DecisionTreeClassifier(class_weight='balanced', max_depth=4, random_state=42)",0.02
Balanced Bagging,0.82,0.87,0.78,0.49,0.89,0.79,0.34,BalancedBaggingClassifier,"{'bootstrap': False, 'n_estimators': 21, 'oob_score': False, 'random_state': 42, 'replacement': True, 'sampling_strategy': 'all', 'warm_start': False}","DecisionTreeClassifier(class_weight='balanced', max_depth=5, random_state=42)",0.02
Balanced Bagging,0.82,0.87,0.78,0.49,0.89,0.79,0.34,BalancedBaggingClassifier,"{'bootstrap': False, 'n_estimators': 21, 'oob_score': False, 'random_state': 42, 'replacement': True, 'sampling_strategy': 'all', 'warm_start': True}","DecisionTreeClassifier(class_weight='balanced', max_depth=5, random_state=42)",0.02
Balanced Bagging,0.82,0.85,0.79,0.5,0.89,0.8,0.35,BalancedBaggingClassifier,"{'bootstrap': True, 'n_estimators': 15, 'oob_score': False, 'random_state': 42, 'replacement': False, 'sampling_strategy': 'auto', 'warm_start': False}","DecisionTreeClassifier(class_weight='balanced', max_depth=5, random_state=42)",0.02
Balanced Bagging,0.82,0.85,0.79,0.5,0.89,0.8,0.35,BalancedBaggingClassifier,"{'bootstrap': True, 'n_estimators': 15, 'oob_score': False, 'random_state': 42, 'replacement': False, 'sampling_strategy': 'all', 'warm_start': False}","DecisionTreeClassifier(class_weight='balanced', max_depth=5, random_state=42)",0.02
Balanced Bagging,0.82,0.85,0.79,0.5,0.89,0.8,0.35,BalancedBaggingClassifier,"{'bootstrap': True, 'n_estimators': 15, 'oob_score': False, 'random_state': 42, 'replacement': False, 'sampling_strategy': 'auto', 'warm_start': True}","DecisionTreeClassifier(class_weight='balanced', max_depth=5, random_state=42)",0.02
Balanced Bagging,0.81,0.87,0.76,0.47,0.88,0.77,0.33,BalancedBaggingClassifier,"{'bootstrap': True, 'n_estimators': 15, 'oob_score': True, 'random_state': 42, 'replacement': True, 'sampling_strategy': 'all', 'warm_start': False}","DecisionTreeClassifier(class_weight='balanced', max_depth=3, random_state=42)",0.02
