Model,balanced_accuracy,sensitivity,specificity,f1_score,AUC,accuracy,precision,Model_Class,Hyperparams,Estimator,fit_time
Balanced Bagging,0.82,0.87,0.77,0.49,0.89,0.78,0.34,BalancedBaggingClassifier,"{'bootstrap': True, 'n_estimators': 21, 'oob_score': True, 'random_state': 42, 'replacement': True, 'sampling_strategy': 'auto', 'warm_start': False}","RandomForestClassifier(class_weight='balanced_subsample', criterion='entropy',                       max_depth=5, n_estimators=11, random_state=42)",0.08
Balanced Bagging,0.82,0.87,0.77,0.49,0.89,0.78,0.34,BalancedBaggingClassifier,"{'bootstrap': True, 'n_estimators': 21, 'oob_score': False, 'random_state': 42, 'replacement': True, 'sampling_strategy': 'auto', 'warm_start': True}","RandomForestClassifier(class_weight='balanced_subsample', criterion='entropy',                       max_depth=5, n_estimators=11, random_state=42)",0.08
Balanced Bagging,0.82,0.87,0.77,0.49,0.89,0.78,0.34,BalancedBaggingClassifier,"{'bootstrap': True, 'n_estimators': 21, 'oob_score': False, 'random_state': 42, 'replacement': True, 'sampling_strategy': 'majority', 'warm_start': True}","RandomForestClassifier(class_weight='balanced_subsample', criterion='entropy',                       max_depth=5, n_estimators=11, random_state=42)",0.09
Balanced Bagging,0.81,0.87,0.75,0.47,0.89,0.76,0.32,BalancedBaggingClassifier,"{'bootstrap': False, 'n_estimators': 21, 'oob_score': False, 'random_state': 42, 'replacement': False, 'sampling_strategy': 'all', 'warm_start': True}","RandomForestClassifier(class_weight='balanced_subsample', criterion='entropy',                       max_depth=5, n_estimators=11, random_state=42)",0.09
Balanced Bagging,0.81,0.87,0.75,0.47,0.89,0.76,0.32,BalancedBaggingClassifier,"{'bootstrap': False, 'n_estimators': 21, 'oob_score': False, 'random_state': 42, 'replacement': False, 'sampling_strategy': 'all', 'warm_start': False}","RandomForestClassifier(class_weight='balanced_subsample', criterion='entropy',                       max_depth=5, n_estimators=11, random_state=42)",0.09
Balanced Bagging,0.82,0.89,0.75,0.47,0.88,0.76,0.32,BalancedBaggingClassifier,"{'bootstrap': False, 'n_estimators': 7, 'oob_score': False, 'random_state': 42, 'replacement': False, 'sampling_strategy': 'all', 'warm_start': False}","RandomForestClassifier(class_weight='balanced_subsample', criterion='entropy',                       max_depth=5, n_estimators=51, random_state=42)",0.11
Balanced Bagging,0.81,0.87,0.75,0.47,0.89,0.76,0.32,BalancedBaggingClassifier,"{'bootstrap': False, 'n_estimators': 25, 'oob_score': False, 'random_state': 42, 'replacement': False, 'sampling_strategy': 'auto', 'warm_start': True}","RandomForestClassifier(class_weight='balanced_subsample', criterion='entropy',                       max_depth=5, n_estimators=51, random_state=42)",0.34
Balanced Bagging,0.81,0.87,0.75,0.47,0.89,0.76,0.32,BalancedBaggingClassifier,"{'bootstrap': False, 'n_estimators': 25, 'oob_score': False, 'random_state': 42, 'replacement': False, 'sampling_strategy': 'majority', 'warm_start': False}","RandomForestClassifier(class_weight='balanced_subsample', criterion='entropy',                       max_depth=5, n_estimators=51, random_state=42)",0.35
Balanced Bagging,0.81,0.87,0.75,0.47,0.89,0.76,0.32,BalancedBaggingClassifier,"{'bootstrap': False, 'n_estimators': 25, 'oob_score': False, 'random_state': 42, 'replacement': False, 'sampling_strategy': 'auto', 'warm_start': False}","RandomForestClassifier(class_weight='balanced_subsample', criterion='entropy',                       max_depth=5, n_estimators=51, random_state=42)",0.35
Balanced Bagging,0.81,0.87,0.75,0.47,0.89,0.76,0.32,BalancedBaggingClassifier,"{'bootstrap': False, 'n_estimators': 25, 'oob_score': False, 'random_state': 42, 'replacement': False, 'sampling_strategy': 'majority', 'warm_start': True}","RandomForestClassifier(class_weight='balanced_subsample', criterion='entropy',                       max_depth=5, n_estimators=51, random_state=42)",0.35
Balanced Bagging,0.81,0.85,0.78,0.49,0.88,0.79,0.34,BalancedBaggingClassifier,"{'bootstrap': True, 'n_estimators': 11, 'oob_score': False, 'random_state': 42, 'replacement': False, 'sampling_strategy': 'majority', 'warm_start': False}","RandomForestClassifier(class_weight='balanced', criterion='entropy',                       max_depth=5, n_estimators=15, random_state=42)",0.06
Balanced Bagging,0.81,0.85,0.78,0.49,0.88,0.79,0.34,BalancedBaggingClassifier,"{'bootstrap': True, 'n_estimators': 11, 'oob_score': False, 'random_state': 42, 'replacement': False, 'sampling_strategy': 'auto', 'warm_start': False}","RandomForestClassifier(class_weight='balanced', criterion='entropy',                       max_depth=5, n_estimators=15, random_state=42)",0.06
Balanced Bagging,0.81,0.85,0.78,0.49,0.88,0.79,0.34,BalancedBaggingClassifier,"{'bootstrap': True, 'n_estimators': 11, 'oob_score': False, 'random_state': 42, 'replacement': False, 'sampling_strategy': 'majority', 'warm_start': True}","RandomForestClassifier(class_weight='balanced', criterion='entropy',                       max_depth=5, n_estimators=15, random_state=42)",0.06
Balanced Bagging,0.81,0.85,0.78,0.49,0.88,0.79,0.34,BalancedBaggingClassifier,"{'bootstrap': True, 'n_estimators': 11, 'oob_score': False, 'random_state': 42, 'replacement': False, 'sampling_strategy': 'auto', 'warm_start': True}","RandomForestClassifier(class_weight='balanced', criterion='entropy',                       max_depth=5, n_estimators=15, random_state=42)",0.06
Balanced Bagging,0.81,0.85,0.78,0.49,0.88,0.79,0.34,BalancedBaggingClassifier,"{'bootstrap': True, 'n_estimators': 11, 'oob_score': True, 'random_state': 42, 'replacement': False, 'sampling_strategy': 'majority', 'warm_start': False}","RandomForestClassifier(class_weight='balanced', criterion='entropy',                       max_depth=5, n_estimators=15, random_state=42)",0.06
Balanced Bagging,0.81,0.87,0.76,0.47,0.89,0.77,0.33,BalancedBaggingClassifier,"{'bootstrap': False, 'n_estimators': 11, 'oob_score': False, 'random_state': 42, 'replacement': False, 'sampling_strategy': 'all', 'warm_start': True}","RandomForestClassifier(class_weight='balanced', criterion='entropy',                       max_depth=5, n_estimators=21, random_state=42)",0.08
Balanced Bagging,0.81,0.87,0.76,0.47,0.89,0.77,0.33,BalancedBaggingClassifier,"{'bootstrap': False, 'n_estimators': 11, 'oob_score': False, 'random_state': 42, 'replacement': False, 'sampling_strategy': 'all', 'warm_start': False}","RandomForestClassifier(class_weight='balanced', criterion='entropy',                       max_depth=5, n_estimators=21, random_state=42)",0.08
Balanced Bagging,0.81,0.87,0.75,0.47,0.89,0.77,0.32,BalancedBaggingClassifier,"{'bootstrap': False, 'n_estimators': 7, 'oob_score': False, 'random_state': 42, 'replacement': False, 'sampling_strategy': 'majority', 'warm_start': True}","RandomForestClassifier(class_weight='balanced', criterion='entropy',                       max_depth=5, n_estimators=21, random_state=42)",0.06
Balanced Bagging,0.81,0.87,0.75,0.47,0.89,0.77,0.32,BalancedBaggingClassifier,"{'bootstrap': False, 'n_estimators': 7, 'oob_score': False, 'random_state': 42, 'replacement': False, 'sampling_strategy': 'majority', 'warm_start': False}","RandomForestClassifier(class_weight='balanced', criterion='entropy',                       max_depth=5, n_estimators=21, random_state=42)",0.06
Balanced Bagging,0.81,0.87,0.75,0.47,0.89,0.77,0.32,BalancedBaggingClassifier,"{'bootstrap': False, 'n_estimators': 7, 'oob_score': False, 'random_state': 42, 'replacement': False, 'sampling_strategy': 'auto', 'warm_start': False}","RandomForestClassifier(class_weight='balanced', criterion='entropy',                       max_depth=5, n_estimators=21, random_state=42)",0.06
Balanced Bagging,0.82,0.89,0.75,0.48,0.89,0.77,0.33,BalancedBaggingClassifier,"{'bootstrap': False, 'n_estimators': 7, 'oob_score': False, 'random_state': 42, 'replacement': False, 'sampling_strategy': 'auto', 'warm_start': True}","RandomForestClassifier(class_weight='balanced_subsample', criterion='entropy',                       max_depth=5, n_estimators=15, random_state=42)",0.05
Balanced Bagging,0.82,0.89,0.75,0.48,0.89,0.77,0.33,BalancedBaggingClassifier,"{'bootstrap': False, 'n_estimators': 7, 'oob_score': False, 'random_state': 42, 'replacement': False, 'sampling_strategy': 'majority', 'warm_start': False}","RandomForestClassifier(class_weight='balanced_subsample', criterion='entropy',                       max_depth=5, n_estimators=15, random_state=42)",0.05
Balanced Bagging,0.82,0.89,0.75,0.48,0.89,0.77,0.33,BalancedBaggingClassifier,"{'bootstrap': False, 'n_estimators': 7, 'oob_score': False, 'random_state': 42, 'replacement': False, 'sampling_strategy': 'auto', 'warm_start': False}","RandomForestClassifier(class_weight='balanced_subsample', criterion='entropy',                       max_depth=5, n_estimators=15, random_state=42)",0.05
Balanced Bagging,0.82,0.89,0.75,0.48,0.89,0.77,0.33,BalancedBaggingClassifier,"{'bootstrap': False, 'n_estimators': 7, 'oob_score': False, 'random_state': 42, 'replacement': False, 'sampling_strategy': 'majority', 'warm_start': True}","RandomForestClassifier(class_weight='balanced_subsample', criterion='entropy',                       max_depth=5, n_estimators=15, random_state=42)",0.05
Balanced Bagging,0.81,0.87,0.75,0.47,0.88,0.76,0.32,BalancedBaggingClassifier,"{'bootstrap': False, 'n_estimators': 11, 'oob_score': False, 'random_state': 42, 'replacement': False, 'sampling_strategy': 'all', 'warm_start': False}","RandomForestClassifier(class_weight='balanced_subsample', criterion='entropy',                       max_depth=5, n_estimators=15, random_state=42)",0.06
