Scenario,Features,Model,balanced_accuracy,sensitivity,specificity,f1_score,AUC,accuracy,precision,Model_Class,Hyperparams,Estimator,Estimator_Class,Estimator_Hyperparams,fit_time,train_balanced_accuracy,train_sensitivity,train_specificity,train_f1_score,train_AUC,train_accuracy,train_precision
Single_Model,without_Diagnosis_Delay,Naïve Bayes,0.78,0.83,0.73,0.44,0.86,0.75,0.3,ComplementNB,"{'alpha':2.0,'force_alpha':True,'norm':False}",,,,0.01,0.78,0.77,0.79,0.48,0.83,0.78,0.35
Single_Model,without_Diagnosis_Delay,Naïve Bayes,0.78,0.83,0.73,0.44,0.86,0.75,0.3,ComplementNB,"{'alpha':2.0,'force_alpha':False,'norm':False}",,,,0.02,0.78,0.77,0.79,0.48,0.83,0.78,0.35
Single_Model,without_Diagnosis_Delay,Naïve Bayes,0.78,0.83,0.73,0.44,0.86,0.74,0.3,ComplementNB,"{'alpha':1.5,'force_alpha':False,'norm':False}",,,,0.01,0.78,0.77,0.78,0.48,0.83,0.78,0.35
Single_Model,without_Diagnosis_Delay,Naïve Bayes,0.78,0.83,0.73,0.44,0.86,0.74,0.3,ComplementNB,"{'alpha':1.5,'force_alpha':True,'norm':False}",,,,0.02,0.78,0.77,0.78,0.48,0.83,0.78,0.35
Single_Model,without_Diagnosis_Delay,Naïve Bayes,0.79,0.83,0.74,0.44,0.86,0.75,0.3,ComplementNB,"{'alpha':4.5,'force_alpha':False,'norm':False}",,,,0.01,0.78,0.77,0.79,0.48,0.83,0.79,0.35
Single_Model,without_Diagnosis_Delay,Naïve Bayes,0.79,0.83,0.74,0.44,0.86,0.75,0.3,ComplementNB,"{'alpha':4.5,'force_alpha':True,'norm':False}",,,,0.01,0.78,0.77,0.79,0.48,0.83,0.79,0.35
Single_Model,without_Diagnosis_Delay,Naïve Bayes,0.78,0.83,0.73,0.44,0.86,0.74,0.3,ComplementNB,"{'alpha':1.0,'force_alpha':False,'norm':False}",,,,0.01,0.78,0.77,0.78,0.48,0.83,0.78,0.35
Single_Model,without_Diagnosis_Delay,Naïve Bayes,0.78,0.83,0.73,0.44,0.86,0.74,0.3,ComplementNB,"{'alpha':1.0,'force_alpha':True,'norm':False}",,,,0.01,0.78,0.77,0.78,0.48,0.83,0.78,0.35
Single_Model,without_Diagnosis_Delay,Naïve Bayes,0.78,0.83,0.73,0.44,0.86,0.75,0.3,ComplementNB,"{'alpha':0.5,'force_alpha':True,'norm':False}",,,,0.01,0.78,0.77,0.78,0.48,0.83,0.78,0.35
Single_Model,without_Diagnosis_Delay,Naïve Bayes,0.78,0.83,0.73,0.44,0.86,0.75,0.3,ComplementNB,"{'alpha':0.5,'force_alpha':False,'norm':False}",,,,0.02,0.78,0.77,0.78,0.48,0.83,0.78,0.35
Single_Model,without_Diagnosis_Delay,Naïve Bayes,0.78,0.83,0.74,0.44,0.86,0.75,0.3,ComplementNB,"{'alpha':2.5,'force_alpha':True,'norm':False}",,,,0.01,0.78,0.77,0.79,0.48,0.83,0.78,0.35
Single_Model,without_Diagnosis_Delay,Naïve Bayes,0.78,0.83,0.74,0.44,0.86,0.75,0.3,ComplementNB,"{'alpha':2.5,'force_alpha':False,'norm':False}",,,,0.01,0.78,0.77,0.79,0.48,0.83,0.78,0.35
Single_Model,without_Diagnosis_Delay,Naïve Bayes,0.79,0.83,0.74,0.44,0.86,0.75,0.3,ComplementNB,"{'alpha':5.0,'force_alpha':False,'norm':False}",,,,0.01,0.78,0.76,0.79,0.48,0.83,0.79,0.35
Single_Model,without_Diagnosis_Delay,Naïve Bayes,0.79,0.83,0.74,0.44,0.86,0.75,0.3,ComplementNB,"{'alpha':5.0,'force_alpha':True,'norm':False}",,,,0.01,0.78,0.76,0.79,0.48,0.83,0.79,0.35
Single_Model,without_Diagnosis_Delay,Naïve Bayes,0.78,0.83,0.74,0.44,0.86,0.75,0.3,ComplementNB,"{'alpha':3.5,'force_alpha':False,'norm':False}",,,,0.01,0.78,0.77,0.79,0.48,0.83,0.79,0.35
Single_Model,without_Diagnosis_Delay,Naïve Bayes,0.78,0.83,0.74,0.44,0.86,0.75,0.3,ComplementNB,"{'alpha':3.5,'force_alpha':True,'norm':False}",,,,0.01,0.78,0.77,0.79,0.48,0.83,0.79,0.35
Single_Model,without_Diagnosis_Delay,Naïve Bayes,0.78,0.83,0.74,0.44,0.86,0.75,0.3,ComplementNB,"{'alpha':4.0,'force_alpha':False,'norm':False}",,,,0.01,0.78,0.76,0.79,0.48,0.83,0.79,0.35
Single_Model,without_Diagnosis_Delay,Naïve Bayes,0.78,0.83,0.74,0.44,0.86,0.75,0.3,ComplementNB,"{'alpha':4.0,'force_alpha':True,'norm':False}",,,,0.01,0.78,0.76,0.79,0.48,0.83,0.79,0.35
Single_Model,without_Diagnosis_Delay,Naïve Bayes,0.78,0.83,0.74,0.44,0.86,0.75,0.3,ComplementNB,"{'alpha':3.0,'force_alpha':True,'norm':False}",,,,0.01,0.78,0.77,0.79,0.48,0.83,0.78,0.35
Single_Model,without_Diagnosis_Delay,Naïve Bayes,0.78,0.83,0.74,0.44,0.86,0.75,0.3,ComplementNB,"{'alpha':3.0,'force_alpha':False,'norm':False}",,,,0.01,0.78,0.77,0.79,0.48,0.83,0.78,0.35
Single_Model,without_Diagnosis_Delay,Naïve Bayes,0.59,0.19,0.99,0.3,0.81,0.89,0.69,ComplementNB,"{'alpha':0.5,'force_alpha':True,'norm':True}",,,,0.01,0.55,0.11,0.99,0.18,0.78,0.87,0.58
Single_Model,without_Diagnosis_Delay,Naïve Bayes,0.59,0.19,0.99,0.3,0.81,0.89,0.69,ComplementNB,"{'alpha':0.5,'force_alpha':False,'norm':True}",,,,0.02,0.55,0.11,0.99,0.18,0.78,0.87,0.58
Single_Model,without_Diagnosis_Delay,Naïve Bayes,0.59,0.19,0.99,0.31,0.81,0.9,0.75,ComplementNB,"{'alpha':1.0,'force_alpha':True,'norm':True}",,,,0.01,0.54,0.1,0.99,0.17,0.78,0.87,0.58
